t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
782470140944261120,720438807443562496,neutral,other,2016-10-02T06:39:53.000Z,@guardiannews @guardian Yes-focus on #Brexit - that was what the majority of Britons voted. #BrexitNow!,['brexitnow']
782486247172366336,2980960463,neutral,remain,2016-10-02T07:43:53.000Z,"These people are coming to your town, your neighborhoods, your streets, your homes, sometime very soon. #brexitnow #Brexit #BrexitBritain https://t.co/1GYck4nfZD",['brexitnow']
782734024150319104,3192197441,negative,other,2016-10-03T00:08:28.000Z,"Backlash as Tory MP criticises PM’s Brexit timetable https://t.co/XCMFXfGid5
Anna Soubry constituents get her sacked #Peston #BrexitNow",['brexitnow']
782832393593978880,2980960463,negative,other,2016-10-03T06:39:21.000Z,#FreeSpeech is the #NWO Worst Enemy!  The #refugeeswelcome Lunatics don't want you to see these Video's: #Brexitnow #Brexit #BrexitBritain https://t.co/0abbl7uc4b,['brexitnow']
783182370564403200,2980960463,negative,remain,2016-10-04T05:50:02.000Z,Absolutely scandalous! The #refugeeswelcome Lunatics don't want you to know; stop destroying this country #Brexitnow #Brexit #BrexitBritain https://t.co/IQxnrXkAt3,['brexitnow']
784400616592322560,747742142588649472,positive,leave,2016-10-07T14:30:55.000Z,"Still MORE Brexit bollocks - of the 100, how many were ENTITLED to vote, and of THOSE how many voted out? #BrexitNow please https://t.co/p7YIlWEwO8",['brexitnow']
784648840112541696,2980960463,positive,leave,2016-10-08T06:57:16.000Z,"Lets also not forget, #freespeech  #WW3 #syria #rapefugee  #Brexitnow #Brexit #BrexitBritain : Thanks for Listening!",['brexitnow']
784701298868445184,2980960463,neutral,remain,2016-10-08T10:25:43.000Z,OMG! I'm sure someone will try to argue the 4yr Old Brought it on herself; how long can the World tolerate these people? #Brexitnow #Brexit https://t.co/s4sHM05LBu,['brexitnow']
785130867769434112,2980960463,negative,other,2016-10-09T14:52:40.000Z,#FreeSpeech is the #NWO Worst Enemy!  The #refugeeswelcome Lunatics don't want you to see these Video's: #Brexitnow #Brexit #BrexitBritain https://t.co/nuFmvP2Qm6,['brexitnow']
785134733390966784,2980960463,positive,leave,2016-10-09T15:08:02.000Z,"All I say is this: If anyone tells me I need to embrace Islam, I'll tell them to stick it up their Kazoo!! #Brexitnow #Brexit #BrexitBritain https://t.co/NI8qziuOFC",['brexitnow']
785245914822828032,3192197441,positive,other,2016-10-09T22:29:49.000Z,Very good news for UK. We may yet keep deals we were signatures to in EU… &amp; better ones bilaterally post Brexit #ChangeBritain #BrexitNow https://t.co/23oW6VW1ql,['brexitnow']
785284150290853888,2825603534,neutral,other,2016-10-10T01:01:45.000Z,"#Merkel's unilateral invitation has ignited anti-EU sentiment, contributed to #Brexit,now #Hungary, more to come   https://t.co/ihiatrguVV",['brexitnow']
785331165808984064,777825700870959104,negative,other,2016-10-10T04:08:35.000Z,#Trumpanzee lied to #Brits about £350M savings for NHS after #Brexit.Now UK building wall so he's not allowed back in. We're stuck with him. https://t.co/UALujMdUiw,['brexitnow']
785361721019994112,2980960463,negative,other,2016-10-10T06:10:00.000Z,"Excuse me, you #refugeeswelcome Lunatics! Seem's  you views on ""Mass Migration"" is hitting turbulence! #Brexitnow #Brexit #BrexitBritain https://t.co/LA2VXJWNYC",['brexitnow']
