t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1169550990187667456,919900558466736000,neutral,other,2019-09-05T10:00:59.000Z,#brexit #BrexitShanbles #brexitreality #sunlituplands https://t.co/UF4ZxQI3Ro,['brexitreality']
1169551280525795328,984797212327776128,neutral,leave,2019-09-05T10:02:09.000Z,@campbellclaret @BorisJohnson Exactly right. The purpose of a GE at this point is to muddy the waters. To blindfold the electorate. The problem is whether to accept the best #Brexit deal we can get or remain on existing terms. That's the decision that has to be made. #BrexitReality,['brexitreality']
1169583318242942976,984797212327776128,negative,other,2019-09-05T12:09:27.000Z,"@A50Challenge @IainDale Brexit in any form was always negative, just a question of how negative. The inability of folk like @IainDale, so quick to block dissenting views, to engage with views he finds inconvenient for his prejudices, is always going to leave them more deflated than most. #BrexitReality",['brexitreality']
1169585656038866944,984797212327776128,positive,other,2019-09-05T12:18:44.000Z,@7691Toro #Brexit is full of absurd arguments but one of the most absurd must be that we must have a 3rd GE vote in 4 years because if we have more than one vote on the specific issue a GE is supposed to resolve it would be undemocratic! #BrexitReality,['brexitreality']
1169646124501569536,898161074284965760,neutral,other,2019-09-05T16:19:01.000Z,"90% of global economic growth in the next 10-15 years is expected to be generated outside Europe, a third of it in China alone. https://t.co/83vHLPljwy #BrexitReality",['brexitreality']
1169705105903538176,95926754,neutral,remain,2019-09-05T20:13:23.000Z,"Zo, duidelijker kun je het niet zeggen... Kijk even de verschillende filmpjes en luister wat @ph_lamberts zegt over de Brexit. #BrexitReality https://t.co/Fq27aU2z5o",['brexitreality']
1169720771884830720,274165325,positive,leave,2019-09-05T21:15:39.000Z,"Thank you @Femi_Sorry for trying to help @Lugey6 understand Brexit. Why is the #BrexitParty so scared of another referendum on #Brexit. There were varied versions of leave promised, #BrexitReality thus need a mandate - people to confirm which realistic future relationship with EU https://t.co/6B97dz0Vg1",['brexitreality']
1169790668832530432,751343765298614272,neutral,other,2019-09-06T01:53:23.000Z,Why The Third Man is an essential primer for no-deal Brexit #BrexitReality  https://t.co/744RBZ2ODV,['brexitreality']
1170066362284331008,240647642,neutral,other,2019-09-06T20:08:54.000Z,Tim Martin’s Brexit argument goes flatter than his beer. #BrexitReality https://t.co/ZNN3OMZKGl,['brexitreality']
1170213216275841024,127830052,negative,remain,2019-09-07T05:52:26.000Z,"Plastic individual portion of dried herbs, garlic, onions, sugar, salt and pepper. M&amp;S Brexit Cookbook: add a sprinkle of denial + delusion to your food #noplanetb #noplastic #heartattack #BrexitReality #waitwhaaaat https://t.co/pGmOX9wj5x",['brexitreality']
1170234911548006400,751343765298614272,positive,other,2019-09-07T07:18:39.000Z,'A beautiful dream destroyed': Britons in EU on no-deal Brexit #BrexitReality  https://t.co/ME1e712d7E,['brexitreality']
1170268962367713280,1098182053,negative,other,2019-09-07T09:33:57.000Z,"@MTPA2020 @DaveL1953 @mellefluous @brexitparty_uk @mikegalsworthy @JeanneBartram @Femi_Sorry @LaylaMoran Nope leaving the Single Market creates issues that have no solutions or create severe harm.
Like the backstop which many Brexiters voted against. They themselves stopped Brexit #BrexitReality",['brexitreality']
1170361004699586560,919900558466736000,neutral,remain,2019-09-07T15:39:42.000Z,"""I’m not sure that Boris read the small print of the Cummings plan — this is the ultimate proof that one is a charlatan and the other a psychopath..."" #brexit #BrexitShambles #BrexitChaos #brexitreality #sunlituplands
 https://t.co/5vFM3ujFSI",['brexitreality']
1170368361424924672,919900558466736000,neutral,remain,2019-09-07T16:08:56.000Z,#brexit #BrexitShambles #brexitreality #BrexitChaos #sunlituplands https://t.co/KFKWW3tBlH,['brexitreality']
1170430813474893824,919900558466736000,neutral,remain,2019-09-07T20:17:06.000Z,Is this true? We leave in interesting times! That a Chinese curse btw !!! #Brexit #Brexitshambles #Sunlightuplands #BrexitReality https://t.co/fsvxQpTut6,['brexitreality']
1170434017839263744,919900558466736000,negative,remain,2019-09-07T20:29:50.000Z,The Titanic is slowly turning will it miss the iceberg??? #Brexit #Brexitshambles #Sunlightuplands #BrexitReality #brexitchaos https://t.co/yzbSbz9zFT,['brexitreality']
1170451984970915840,280915557,negative,other,2019-09-07T21:41:13.000Z,"Anti-Brexit protesters decry Johnson's 'coup' in cities across UK
#BrexitReality #NoMandatePM #BorisDictatorship #DisUnitedKingdom #EnoughisEnough
https://t.co/u6aKjDQgXY",['brexitreality']
1170480029953904640,919900558466736000,positive,remain,2019-09-07T23:32:40.000Z,Don't forget Cameron either! #brexit #BrexitShambles #brexitreality #BrexitChaos #sunlituplands https://t.co/dO9glxXGYl,['brexitreality']
1170606925765140480,2800483550,neutral,other,2019-09-08T07:56:54.000Z,#Brexit #BrexitReality https://t.co/c9CLs07sx7,['brexitreality']
1170626660133199872,280915557,negative,other,2019-09-08T09:15:19.000Z,"The reality of no-deal Brexit can no longer be distorted
#BrexitReality
https://t.co/SUiXeBEKGT",['brexitreality']
1170648441682370560,280915557,positive,remain,2019-09-08T10:41:52.000Z,"Mass tactical voting campaign planned to win second referendum on Brexit
#PeoplesVote #BrexitReality
https://t.co/uAPpr5J847",['brexitreality']
1170662688940285952,48699161,negative,remain,2019-09-08T11:38:29.000Z,"@JOBSUKWIDE @RobertBuckland OK, say we're out on Oct 31.  No deal.  Then what?  

It'll take decades to fix the mess.  

Decades of Brexit-related shit.  

Which will mostly be emergency legislation against the clock as crisis after crisis occurs because no-one had a plan or a clue.  #brexitreality",['brexitreality']
1170692270238162944,280915557,positive,leave,2019-09-08T13:36:02.000Z,"No-deal Brexit could hit cancer trials that save children’s lives
#BrexitReality #Phitt #Chiltern #ChildCancer
https://t.co/f9C0BoeWkD",['brexitreality']
1170806268992327680,2800483550,neutral,remain,2019-09-08T21:09:01.000Z,#Brexit #BrexitReality Steve Bannon is a white supremacist and he's pulling the strings in our government. https://t.co/6qLRoanpDC,['brexitreality']
1170995454504525824,295305844,neutral,other,2019-09-09T09:40:47.000Z,"@LeoVaradkar  @rtenews @BBCNews @itvnews 

Perhaps the most significant comment from #BorisJohnson in #Dublin was his Freudian slip of 30 Years!
#borisjohnsonspeech 
#Brexit 
#BrexitREALITY",['brexitreality']
1171012568925818880,58176799,neutral,other,2019-09-09T10:48:47.000Z,"That was embarrassing watching @BorisJohnson at that press conference, pure waffle and zero substance, Varadkar on the other hand was assured and statesmanlike, told it exactly as it is there is no such thing as a clean Brexit. #stopthecoup #BrexitREALITY #BrexitCrisis",['brexitreality']
1171020317222944768,919900558466736000,neutral,remain,2019-09-09T11:19:34.000Z,##brexit #brexitshambles #brexitreality #BrexitChaos #sunlituplands https://t.co/jXIFh3iZEI,['brexitreality']
1171065050754375680,85231060,positive,remain,2019-09-09T14:17:20.000Z,"The #Brexit calendar is like my #todolist. If not complete, I just change the date. #BrexitShambles #BrexitREALITY #BrexitChaos",['brexitreality']
1171084538539315200,21198205,neutral,remain,2019-09-09T15:34:46.000Z,The will of the people @BorisJohnson #brexit #BrexitChaos #BrexitReality https://t.co/K7q9NnvMKA,['brexitreality']
1171337652081180672,919900558466736000,neutral,remain,2019-09-10T08:20:33.000Z,#Brexit #Brexitshambles #Sunlightuplands #BrexitReality #brexitchaos #Brexit https://t.co/zV4KQmGBWj,['brexitreality']
1171355465072218112,919900558466736000,positive,remain,2019-09-10T09:31:20.000Z,Wow! #Brexit #Brexitshambles #Sunlightuplands #BrexitReality #brexitchaos https://t.co/wkk2vdjJnr,['brexitreality']
1171409485732155392,335244447,negative,remain,2019-09-10T13:05:59.000Z,Yet another side effect of Brexit I fear.... #pensionsbill #BrexitReality https://t.co/zaV7T5MwDa,['brexitreality']
1171413477757521920,894274440,neutral,remain,2019-09-10T13:21:51.000Z,"@MMMPeg59 @njterrie @pomsmama @CynthiaCoy8 @dorisat58862534 @ReporterPhoenix @kimmybeaa @pinewoodsdojo @LifeOnTheBeach7 @MOTRPolitics1 @Catlady628 @criteria681 @NaphiSoc @EMPRESSROOTSGAL @Starz_Wayne @CBCalamity @Scott_In_Worc @bam2rubble @graceslick77 @brainboomr22 @jimmy_schrader @JujuJudge @MidnightBlu1880 @nnnooan06 @DMansini @tess_tess2 @SusanBordo @MarilynT4 @AsherAdventure @FRafieyan @bigsurcowboy @townlecat @Irenie_M @bannerite @ScottsHusband @KgKathryn @RodDavis @B52Malmet @ProudResister @AdamParkhomenko @FunderburkBobby @UROCKlive1 @Top_Sergeant @kennethfawalter @ICEgov @realDonaldTrump @HouseDemocrats Boris “Trump” Johnson’s continued coup attempts keep meeting Resistance, Roadblocks and REALITY! https://t.co/bptjBMgv7y #England #UK #Britain #Brexit #brexitisflawed #RupertMurdoch #MurdochFamily 
#BrexitReality #TheSun #meglomaniac #communicationsmonopoly #rightwingtard #KKK",['brexitreality']
1171695870951219200,207499547,negative,other,2019-09-11T08:03:59.000Z,PSA boss compares no-deal Brexit to train crash #Brexit #Brexitcast #BrexitBritain #BrexitReality #NoDeal #NoDealBrexit #Vauxhall https://t.co/YqsjrFDohV,['brexitreality']
1171868235379204096,919900558466736000,neutral,remain,2019-09-11T19:28:54.000Z,#Brexit #Brexitshambles #Sunlightuplands #BrexitReality #brexitchaos https://t.co/leOMMGoyfa,['brexitreality']
