t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1106287010879340544,695530636153655296,negative,remain,2019-03-14T20:12:31.000Z,"Thank you @guyverhofstadt for calling out the #liar and #traitor that is @Nigel_Farage for his self-serving hypocrisy. So sad and ashamed to be #English right now
#ukip
#Brexit
#BrexitShambles",['brexitshambles']
1106287517886758912,7142602,neutral,other,2019-03-14T20:14:32.000Z,"REVEALED: The Brexit advice from Trump that the PM ignored...
#brexitshitshow #brexitshambles https://t.co/YkyaOcmPor",['brexitshambles']
1106288037116461056,1304347712,neutral,remain,2019-03-14T20:16:36.000Z,Give her enough rope ! #Brexit  #BrexitMayhem  #Brextension #BrexitVote #BrexitShambles #TheresaMay #ZombieGovernment https://t.co/ht5UvJd7Oi,['brexitshambles']
1106288100161044480,53620920,neutral,remain,2019-03-14T20:16:51.000Z,A complete explanation of this week’s #brexit #BrexitShambles https://t.co/YIoNzzLS5k,['brexitshambles']
1106288907635703808,7193032,positive,other,2019-03-14T20:20:04.000Z,"Dear Britain please either run a second referendum or give it up (and use your energies productively). 
kthanx, 
everyone else in the world 
#Brexit #BrexitMayhem #BrexitBetrayal #BrexitShambles #BrexitDeal #BrexitChaos #BrexitDebate #EnoughIsEnough",['brexitshambles']
1106289608101367808,2527613173,negative,remain,2019-03-14T20:22:51.000Z,@MasterChefUK a quick dash from the House of Commons to the kitchen for @stevedouble not a bad idea to seek an alternative career given the state of #BrexitMayhem #BrexitShambles #Cornwall #brexit #chefs #BrexitVote https://t.co/w6Gcc3XRrL,['brexitshambles']
1106290369359212544,179931221,neutral,remain,2019-03-14T20:25:52.000Z,Steve Bell on the third day of Brexit votes #TheresaMay #ZombieGovernment #BrexitVote #BrexitShambles #Brexit #Tories #BrexitShamble #BrexitShambles #backstop #brexitshambles #FinalSay #PeoplesVote #beherenow  - political cartoon gallery in London https://t.co/dePcTdnXF6 https://t.co/B75bs8mZl5,['brexitshambles']
1106290533578801152,22239247,neutral,remain,2019-03-14T20:26:31.000Z,"@GaryLineker By staying in the Europe, do you think they are trying to send message! #Brexit #BrexitMayhem #BrexitBetrayal #BrexitShambles",['brexitshambles']
1106290655486185472,367845242,neutral,remain,2019-03-14T20:27:00.000Z,"So @jeremycorbyn ordered his MPs to abstain in the vote for a second referendum but then, after the amendment was defeated, reiterated his support for one. 

Umm....?

#Brexit  #BrexitMayhem #BrexitShambles",['brexitshambles']
1106293327475982336,97219755,neutral,other,2019-03-14T20:37:37.000Z,UKIP leader Gerard Batten just said on BBC 'you get what you vote for' with PR re. MEP elections. But the EU is undemocratic? Huh? #brexitshambles #ukip #brexit @mrjamesob @UKIP @GerardBattenMEP,['brexitshambles']
1106294989317988352,191911750,negative,other,2019-03-14T20:44:14.000Z,"@realDonaldTrump - Please get #FriendsofIreland to create #UnitedIreland so #England #Scotland #Wales can end misery of #BrexitShambles
North and Southern #Ireland want to be in #EU
#DonaldTrump I don't want #Brexit but my country needs to get on with real politics!
#BBCqt #BBCtw https://t.co/QmCeLHtfVg",['brexitshambles']
1106295367715438592,19089871,negative,remain,2019-03-14T20:45:44.000Z,"The will of the people, as May is fond of saying, has changed since the referendum. Continuing down this path is like me carrying on buying dog food 2 years after my dog died. Insane #BrexitMayhem #brexit #BrexitShambles",['brexitshambles']
1106295579401957376,1182479840,neutral,other,2019-03-14T20:46:34.000Z,"Brexit, #BrexitShambles #BrexitBetrayal 🤬🤯🙈 https://t.co/DccUw3mOnr",['brexitshambles']
1106295865361293312,562215582,positive,leave,2019-03-14T20:47:42.000Z,"How have the government even been allowed the option of pushing brexit back? The vote was to leave the EU, not fuck about for 2 years and then not leave! So much for a democracy! Country is a joke #BrexitBetrayal #BrexitShambles",['brexitshambles']
1106298029886320640,97219755,neutral,other,2019-03-14T20:56:19.000Z,@mrjamesob UKIP leader tonight extolling the democratic virtues of the EU. #brexitshambles #lbc #brexit https://t.co/yB6J3WVInJ,['brexitshambles']
1106298179056750592,961407354884456320,neutral,other,2019-03-14T20:56:54.000Z,"Brexit's takeoff.
See the full cartoon at https://t.co/cZ9D4yT94L
#Brexit #BrexitVote #BrexitShambles @theresa_may  #GreatBritain https://t.co/0JALbXME5e",['brexitshambles']
1106298844973805568,97219755,neutral,other,2019-03-14T20:59:33.000Z,@mrjamesob UKIP leader extolling the virtues of democracy within the EU tonight. This is the undemocratic EU he campaigned against. #brexit #brexitshambles #ukip https://t.co/cZa4l1yp3l,['brexitshambles']
1106299238428934144,881464471205687296,neutral,remain,2019-03-14T21:01:07.000Z,#BrexitShambles That’s why #brexit is a shambles. @JDavidHickey @kcshowcork https://t.co/KdCv0lXleT,['brexitshambles']
1106299569883746304,395814403,positive,remain,2019-03-14T21:02:26.000Z,So the fate of Brexit lies in the hands of some Italian fascists in the EU parliament who can veto any extension to Article 50? We want to have a good hard look at ourselves as a nation if we think that preferable to second referendum. #BrexitShambles,['brexitshambles']
1106302906129616896,264987008,positive,other,2019-03-14T21:15:41.000Z,"Are we in a parallel universe? The Brexit Secretary commends a vote to the HOP, then votes against the vote.   Politics and Parliament is becoming a laughing stock #Brexit #BrexitShambles #brexitchaos #brexitfarce",['brexitshambles']
1106303687994101760,166024573,negative,remain,2019-03-14T21:18:48.000Z,"I still don't understand anything about brexit..... Other than its a bit chaotic. 

Sorry @lrobi665

#brexitshambles",['brexitshambles']
1106304554835107840,214923438,neutral,leave,2019-03-14T21:22:14.000Z,The Brexit Secretary tells M.P’s they must vote one way and then votes the other way himself! #brexitshambles,['brexitshambles']
1106305231963459584,1002276446847594496,neutral,remain,2019-03-14T21:24:56.000Z,#Brexit: #JohnBercow Speaker at the House of Commons sets an example for fellow politicians by placing the first order himself! @EricIdle @NeilInnes #PoliticsLive #BrexitShambles https://t.co/s4pCv2BmnP,['brexitshambles']
1106305432212172800,179931221,neutral,remain,2019-03-14T21:25:43.000Z,Dave Brown on the third day of Brexit votes #TheresaMay #ZombieGovernment #BrexitVote #BrexitShambles #Brexit #Tories #BrexitShamble #BrexitShambles #backstop #brexitshambles #FinalSay #PeoplesVote #beherenow  - political cartoon gallery in London https://t.co/dePcTdnXF6 https://t.co/gLFWXb3Vyr,['brexitshambles']
1106305650445955072,20666042,neutral,remain,2019-03-14T21:26:35.000Z,When will the shitshow that is Brexit ever be over ??#BrexitMayhem #BrexitShambles,['brexitshambles']
1106306780735393792,1105925296056909824,positive,remain,2019-03-14T21:31:05.000Z,"As the Queen is german surely she would rather Brexit not happen rather than the joke British politicians have turned it into 
#brexit #BrexitMayhem #BrexitShambles #BrexitChaos",['brexitshambles']
