t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1087639372424454144,16600476,neutral,other,2019-01-22T09:13:28.000Z,"FT: Infrastructure investors put ‘blanket ban’ on UK assets | #BrexitSucks. #ExitBrexit, ⁦@theresa_may⁩ @GregHands. #Brexit  https://t.co/wpTaPM9RWl",['brexitsucks']
1088150166778060800,16600476,negative,other,2019-01-23T19:03:11.000Z,"Business Insider: Companies are fleeing the UK as #Brexit looms — and their actions paint a grim picture for the nation | #BrexitSucks. #ExitBrexit, ⁦@GregHands⁩ @Theresa_May.  https://t.co/ltwWDuUitE",['brexitsucks']
1088388168829812736,16600476,negative,other,2019-01-24T10:48:55.000Z,"“Don’t listen to the Brexiteers’ madness,” says @Airbus CEO. #Brexit #BrexitSucks #ExitBrexit https://t.co/IZbqUuDdVU",['brexitsucks']
1089106702807511040,16600476,negative,other,2019-01-26T10:24:07.000Z,"Bloomberg: @Citi’s #Brexit Warning for London | #BrexitSucks. #ExitBrexit, @Theresa_May @GregHands.   https://t.co/49wF7eJknO",['brexitsucks']
1089107868962435072,16600476,negative,other,2019-01-26T10:28:45.000Z,"Business Insider: David Miliband says #Brexit has made Britain an object of pity around the world | #BrexitSucks. #ExitBrexit, @Theresa_May @GregHands.  https://t.co/nnAyVXs3jK",['brexitsucks']
1092778517312491520,16600476,positive,leave,2019-02-05T13:34:36.000Z,"More great #Brexit news. Thanks for that @theresa_may. Please #ExitBrexit because #BrexitSucks, @GregHands. https://t.co/5mRnS4XMW7",['brexitsucks']
1093448944477179904,70514858,negative,other,2019-02-07T09:58:38.000Z,"Brits Will Face Immediate Return Of Mobile Phone Roaming Charges Under No-Deal Brexit, Government Reveals 

#BrexitSucks  https://t.co/CQsIwvlEGH",['brexitsucks']
1096324113080246272,16600476,positive,other,2019-02-15T08:23:31.000Z,"FT: #Brexit vote ‘shambles’ blows hole in @Theresa_May’s authority | Er...again. #BrexitShambles #BrexitSucks #ExitBrexit 
 https://t.co/ADa8bPGH2z",['brexitsucks']
1097504352833540096,16600476,positive,leave,2019-02-18T14:33:23.000Z,"BBC: @Honda set to close Swindon car plant | Welcome to glorious #Brexit Britain. Thanks, ⁦@theresa_may⁩ ⁦@GregHands⁩. Wonderful job. Here’s an idea: Any chance of admitting that #BrexitSucks and finding a way to #ExitBrexit!?  https://t.co/Xvs9r4w4er",['brexitsucks']
1097613485628887040,336844259,neutral,other,2019-02-18T21:47:02.000Z,Facts #brexit #brexitsucks #draggingukdown https://t.co/6aRoi7RDno,['brexitsucks']
1098044011108024320,1149527358,negative,other,2019-02-20T02:17:47.000Z,"@iamjohnoliver @LastWeekTonight All great empires only die from within. As wild as it may be, this may be the end. The world will be weaker and more dangerous with Brexit. #BrexitCrisis #brexitsucks #SaveTheWorld",['brexitsucks']
1099267300648202240,93772068,positive,leave,2019-02-23T11:18:42.000Z,It's a beautiful day for buying awesome floral shirts as our Brexit SELL-OFF continues! https://t.co/Lqj2hMs2j4 #WhyNot #YouKnowYouWantTo #FloralShirts #UniqueFloralShirts #GetSomeColour #BentBanani #BentBananiFloralShirts #Brexit #ExitBrexit #BrexitSucks,['brexitsucks']
1101377088458813440,16600476,positive,other,2019-03-01T07:02:15.000Z,FT: Britain has a chance to think again on #Brexit | “parliament has the unilateral right to revoke Article 50 and allow voters an informed choice in a second referendum.” #BrexitSucks #ExitBrexit  https://t.co/bOTDn45QUj,['brexitsucks']
1101990562977247232,3929075062,neutral,other,2019-03-02T23:39:58.000Z,"Are you a parent? 

What do you think of Brexit?

#BrexitSucks https://t.co/ZsVp0DbfSm",['brexitsucks']
