t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1087517209679806464,860519553046118400,negative,other,2019-01-22T01:08:02.000Z,REUNITE! REUNITE! Notice Rees-Mogg uses the word REUNITE regarding the Tories and UKIP! Brexit is and always has been a #Tory internal battel/civil war. Simple as.#brexit #brexshit https://t.co/s72TSEZJqr,['brexshit']
1087622464056762368,2522923753,neutral,remain,2019-01-22T08:06:17.000Z,@JohnRentoul have a look #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1087627648111648768,62513665,positive,remain,2019-01-22T08:26:53.000Z,@SteveLawrence_ Hopefully the end of May comes before March #PeoplesVote #StopBrexit #FinalSay #Mayhem = #BrexitShambles + #Idiocracy &amp; #Brexit means #Brexshit,['brexshit']
1087628786374529024,2522923753,negative,remain,2019-01-22T08:31:24.000Z,@EmmaKennedy @alicewoolley1 how stupid can we get. . . is everyone now infected by  #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1087629164360937472,2522923753,neutral,remain,2019-01-22T08:32:54.000Z,"@Fiocca1983 @Femi_Sorry @RemainerNow but you're asking the impossible of Corbyn, he's a #redkipper #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote",['brexshit']
1087629770958036992,2522923753,positive,remain,2019-01-22T08:35:19.000Z,@snb19692 @campbellclaret we're getting there. . . help Steve. . . send money!!  anything to stop #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1087635346559590400,829061,positive,other,2019-01-22T08:57:28.000Z,Any minute now Gazza will turn up in his dressing gown with a fishing rod and a bucket of chicken. He would probably do a better job... #brexshit RT @Reuters: UK Brexit minister: We are working on what to ask from the EU https://t.co/GjH1LFpsgT https://t.co/RZCZ20rpxh,['brexshit']
1087638747364184064,2522923753,negative,remain,2019-01-22T09:10:59.000Z,"@wildnoe @ChelsClive @EmmaKennedy go on, remind yourself of the stupidity of those suppporting #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote",['brexshit']
1087639241876824064,2522923753,positive,remain,2019-01-22T09:12:57.000Z,@ChelsClive but by threatening that she hopes to get support from the MPs who want  #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1087662957759250432,1081491241651572736,negative,remain,2019-01-22T10:47:11.000Z,"We’re trying to get our head around WTO this morning 🤔🙁😠😤😡🤬Our professional assessment is that If No-Deal leads to WTO rules it’s a load of #Brexit #Bollocks #BrexShit Very damaging to business, jobs &amp; the economy😱😱 #Stay2SaveUK #FBPE #RemoveNoDeal https://t.co/LkfIkLkV5M",['brexshit']
1087741968745185280,2522923753,negative,remain,2019-01-22T16:01:09.000Z,@Keir_Starmer @sonofr @hilarybennmp there is no mental flexibility there at all  . . . she's not up to the job  #Maybegone  #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1087745350952239104,2522923753,neutral,remain,2019-01-22T16:14:35.000Z,@PJ_Braithwaite @MrUlster fresh thinking. . . that is what we need to avert  #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1087745708512477184,1018992433214972032,positive,other,2019-01-22T16:16:00.000Z,"Dyson to move company HQ to Singapore https://t.co/J20emFpWz3

But I thought Brexit was going to be amazing, providing endless business opportunities.
#brexshit #dyson #singaporeofthenorth",['brexshit']
1087746969261559808,2522923753,negative,remain,2019-01-22T16:21:01.000Z,"@rosskempsell @MarkUrban01 i've stopped buying JCBs, and going to Wetherspoons. . . no more Dysons now for me. . . #BDS the three of them . . . that's how we stop #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote   !!!!",['brexshit']
1087747100346064896,2522923753,negative,remain,2019-01-22T16:21:32.000Z,"@Frances_Coppola i've stopped buying JCBs, and going to Wetherspoons. . . no more Dysons now for me. . . #BDS the three of them . . . that's how we stop #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote   !!!!",['brexshit']
1087749658171052032,2522923753,positive,remain,2019-01-22T16:31:42.000Z,@went1955 @AOC time we had some politicians in the Uk with the balls to do and be the same. . . I'll join and support and enable them . . . we need change. . . just maybe it could be enabled by #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1087765992506359808,45454575,negative,remain,2019-01-22T17:36:36.000Z,"So another billionaire Brexiteer is moving his company out of the UK before Brexit.

Apparently it’s “nothing to do with Brexit” but about “future-proofing” the business.

The irony!! 

#Brexit #BrexShit #Dyson 

https://t.co/n6zjiIAq72",['brexshit']
1087780741453369344,884115355,neutral,remain,2019-01-22T18:35:13.000Z,"@jdwtweetsuk get yer pish out my face!

#Wetherspoons #brexshit #Brexit https://t.co/pqT93J3eVQ",['brexshit']
1087808827347664896,2522923753,positive,remain,2019-01-22T20:26:49.000Z,@peterkyle @tony_nog @FinancialTimes @peoplesvote_uk help and support any way out of #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1087812796794974208,98618405,positive,remain,2019-01-22T20:42:35.000Z,"@Peston I think it translates to ""if you think £399 for a hairdryer is a fair price, you're probably rich enough not to worry about Brexit"" #brexshit",['brexshit']
1087984482450395136,164020823,positive,remain,2019-01-23T08:04:49.000Z,"The EU - Cooperation on security, science, education, culture, the ability to sell product across 28 countries without regulatory issues. Peace in N. Ireland. Democratic representation of millions via MEPs working together! #brexit #peoplesvote #brexshit #brexitshambles",['brexshit']
1087987730011828224,2522923753,neutral,remain,2019-01-23T08:17:43.000Z,@IanDunt @LeightonAndrews this is the living breathing reality of #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1088004256051924992,107045970,neutral,remain,2019-01-23T09:23:23.000Z,Well.........this hasn't aged well. #brexit #brexitshambles #dyson #brexshit https://t.co/eMPX2RcJ5D,['brexshit']
1088064561213779968,107045970,positive,other,2019-01-23T13:23:01.000Z,"@petewood8one @iainmartin1 Yet Dyson abandons Britain.

And who can forget Boris 'fuck business' Johnson. And Liam 'easiest deal in history' Fox. So please pipe down about your greater understanding of how business works.

Good man #brexit #borisjohnson #dyson #brexitshambles #brexshit",['brexshit']
1088096184177254400,28530320,negative,remain,2019-01-23T15:28:40.000Z,"Companies press #Brexit panic button in further blow to Theresa May
#Brexshit #BrexitShambles #FBPE  https://t.co/Qcp2C9sngi",['brexshit']
1088098084280811520,141994504,negative,other,2019-01-23T15:36:13.000Z,"#brexshit #brexit
For the EU to prosper, Britain must leave | Eoin Drea https://t.co/U4rUASyoqS",['brexshit']
1088098920268554240,28530320,negative,remain,2019-01-23T15:39:33.000Z,"Oh do fuck off Jacob, so democratic  eh? | Jacob Rees-Mogg tells Theresa May to suspend parliament if MPs block no-deal #Brexit
#Brexshit #BrexitShambles #FBPE  https://t.co/PeSlg6uDAN",['brexshit']
1088104838397943808,28530320,neutral,remain,2019-01-23T16:03:04.000Z,"Dutch government says over 250 companies in talks about relocating to Netherlands because of #Brexit
#Brexshit #BrexitShambles #FBPE  https://t.co/Oi5X488WsA",['brexshit']
1088152067632439296,820399094,negative,other,2019-01-23T19:10:44.000Z,"@Jacob_Rees_Mogg If you're not going to back Theresa May's deal then perhaps you should be suspended from Parliament for blocking brexit ? #BrexitDeal
#Brexit #BrexitShambles #brexshit 
https://t.co/iV4dVPrFpn",['brexshit']
1088230316253343744,21259141,neutral,remain,2019-01-24T00:21:40.000Z,Watching Brexit Fall Apart #Brexit #Brexshit  https://t.co/g83CgswTkI,['brexshit']
1088326798969094144,2522923753,negative,remain,2019-01-24T06:45:03.000Z,@CarolineLucas @tfoale hey Caroline. .  .you're showing vision and wisdom again . . . they really don't like this. . . it mind undermine their obsession with #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1088326964279197696,2522923753,positive,remain,2019-01-24T06:45:43.000Z,@davidyelland @tfoale pretty suitable for the mess we have become with #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1088327291971821568,2522923753,negative,remain,2019-01-24T06:47:01.000Z,@paullewismoney this stinks. . . rather like everything to do with the corrupt and corrupting #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1088329009312776192,2522923753,negative,remain,2019-01-24T06:53:50.000Z,@MnsrMysterioso @tfoale something good is coming out of this mess. . . . let's suck them dry and kick out the disaster capitalists. . . along with #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1088354838319120384,2522923753,negative,remain,2019-01-24T08:36:28.000Z,"@DrPhillipLeeMP @Airbus but it will probably be too late. . . we need a high-powered Q&amp;A roadshow, around the UK now, explaining factually, community by community, the damage and the implications of  #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote",['brexshit']
1088379183254945792,2522923753,neutral,remain,2019-01-24T10:13:13.000Z,@back_fights @ChelsClive @terrychristian @BathforEurope we alone are responsible for the creation of #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1088387785352974336,28530320,neutral,remain,2019-01-24T10:47:23.000Z,"This seems very apt.
#Brexit #Brexshit #BrexitShambles #FBPE https://t.co/fTrwF55Hzy",['brexshit']
1088466138382651392,941362504197910400,negative,remain,2019-01-24T15:58:44.000Z,"No surprise to me. As I work with business on the continent and am under threat to lose that, I still do not get that people try to tell me otherwise. #brexit is #brexshit hence Scotland needs to leave #indyref2 https://t.co/Jwo4w3cZui",['brexshit']
1088496577960923136,2522923753,neutral,remain,2019-01-24T17:59:42.000Z,@paulmasonnews that's #brexshit #FBPE #Brexit #exitbrexit  #stopbrexit #PeoplesVote,['brexshit']
1088516938052104192,353307211,neutral,remain,2019-01-24T19:20:36.000Z,"@SunderlandEcho “Some people have called for No Deal Brexit”...... I think she’ll find your paper reckons 70%of HER constituents want that! 
I thought she was supposed to represent them!?
At least she knows it’s a total shambles like......
#Brexshit https://t.co/FJSRS65SgG",['brexshit']
