t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1171434236487729152,704587653564538880,neutral,other,2019-09-10T14:44:20.000Z,OMG. Its beyond belief. #BREXIT #BritishIndependence https://t.co/Ni3YIocFP3,['britishindependence']
1171442660994777088,1155744659613859840,neutral,other,2019-09-10T15:17:49.000Z,"@MoggMentum #BritishIndependence ? Yes !
But what is the sense of #Brexit if it means 
- more Pakistanis and less Polishs ?
- more US and less Europe ?
- more ease for big-money and less defense of the humbles ?
#BritishIndependence 1000xYes but Stop The Scam !",['britishindependence']
1171450509074395136,1155744659613859840,neutral,other,2019-09-10T15:49:00.000Z,"@TobyBaxendale @EUVoteLeave23rd #BritishIndependence ? Yes !
But what is the sense of #Brexit if it means 
- more Pakistanis and less Polishs ?
- more US and less Europe ?
- more ease for big-money and less defense of the humbles ?
#BritishIndependence 1000xYes but Stop The Scam !",['britishindependence']
1171496643281047552,782865319446601728,negative,remain,2019-09-10T18:52:19.000Z,@labourlewis I watched it live - you were anything but - you brought disgrace on the House. The only silenced people are the Brexit voters. #britishindependence #borispeoplespm,['britishindependence']
1171501706632253440,445757070,positive,other,2019-09-10T19:12:26.000Z,@Jay_Beecher #BrexitAlliance #BritishIndependence You’re right of course. Keep up the fight as it nears Brexit day the Remainiacs are only going to get more and more fervent.,['britishindependence']
1171504746013720576,1143600176,neutral,other,2019-09-10T19:24:31.000Z,"@haveigotnews The public aren't allowed into the dinning rooms in the HoP, if they were, #BorisJohnson would have 17.4 million allies dinning with him. 
#DownWithRemonstreamMedia
#BritishIndependence
#Brexit",['britishindependence']
1171523706562072576,70925032,positive,leave,2019-09-10T20:39:52.000Z,@Iwontcalmdown @JuliaHB1 Cummings is a very clever man. I’m waiting for the shocker announcement #dontwriteborisoff #shockerannouncement #waiting #Britishindependence #Brexit,['britishindependence']
1171540059549573120,2298634316,negative,leave,2019-09-10T21:44:51.000Z,"Having seen and listened to a number of interviews this week, it seems that the remainers have been given a list of words to use as often as possible. Everyone is a negative word and part of project fear.
So from now on I will not use Brexit but #BritishIndependence and #WTOrules",['britishindependence']
1171676781851631616,1018085394041265920,negative,other,2019-09-11T06:48:08.000Z,How stupid us this tweet! #BritishIndependence #brexit #BackBoris https://t.co/7hn2p9Q76H,['britishindependence']
1171677545525403648,43996487,positive,remain,2019-09-11T06:51:10.000Z,"@JohnCaveAusten @Jay_Beecher The key is not another public demonstration but for the Conservatives to reach a non-aggression pact with the Brexit Party &amp; to mobilise all #Brexiteers, especially via Twitter, to ensure they all vote at the next General Election. #Brexiteersfollowback #BritishIndependence",['britishindependence']
1171684907959115776,83380760,negative,other,2019-09-11T07:20:25.000Z,Leaving the EU with a no-deal Brexit is likely to result in medication shortages and potential death. This is not fear-mongering folks. This is from the NHS.  #BritishIndependence,['britishindependence']
1171685254710595584,769644436288577408,negative,leave,2019-09-11T07:21:48.000Z,@Caramshall If it’s something remainers don’t agree with then must be bots. We could say the same about the remain tweets. Now it will be    an absurd accusation of some sort of algorithm that counters bot accusations. #BritishIndependence #brexit,['britishindependence']
1171687042989862912,1880291970,negative,leave,2019-09-11T07:28:54.000Z,"#BritishIndependence is bullshit, we'll never be fully independent even if we leave the EU ,we'll need trade deals with other country's including an awful deal with the USA, because no one survives alone these days 

#brexit #BritishIndependenceBullshit",['britishindependence']
1171687704045719552,326041216,neutral,other,2019-09-11T07:31:32.000Z,"It's about time. We won the biggest vote in British history and the remain bias Parliament have denied us our democratic choice. Let us give Brexit a try, let us have #BritishIndependence",['britishindependence']
1171687917107974144,900622710,negative,other,2019-09-11T07:32:23.000Z,"""It's not Brexit it's #BritishIndependence, Brexit hurts my feelings when I say it!""

Can someone give these cunts a hug?",['britishindependence']
1171689486981500928,711591530427973632,negative,remain,2019-09-11T07:38:37.000Z,#BritishIndependence what was that about the damage brexit will do to the UK https://t.co/S1B9V2UHG6,['britishindependence']
1171693130388840448,102955736,negative,leave,2019-09-11T07:53:05.000Z,"I suspect Dominic Cummings is behind this pitiful attempt to rebrand the wilfully idiotic carnage of hard Brexit with the superficially fluffy sounding 
#BritishIndependence.

We were NEVER independent - we we dependent on the brutalised colonies we robbed and sponged off",['britishindependence']
1171695667649101824,204448129,negative,other,2019-09-11T08:03:10.000Z,"#BritishIndependence from:
Russian interference in Referendums
Tory MPs preventing investigation by Met
Poisonous, self-interested voices pretending the harm from No Deal Brexit is a bump in the road.",['britishindependence']
1171697182547816448,19587428,neutral,other,2019-09-11T08:09:12.000Z,"I’ll only be happy when Northern Ireland is independent from the UK 
 Looks like a Brexit deal is going to be the start of making this happen. 
Boris to screw the People by not having a deal. 
lose Northern Ireland by creating one? Sucks to be you right now #BritishIndependence",['britishindependence']
1171697625994878976,29097110,negative,remain,2019-09-11T08:10:57.000Z,@JenLawliet #BritishIndependence ...from the stupidity of Brexit,['britishindependence']
1171698161422872576,1540529606,negative,remain,2019-09-11T08:13:05.000Z,"Sorry but if you think Bullshit #Boris is anything other than a self-serving amoral useful idiot to others, you're deluded.
 #Brexit is a construction of destruction; a tool to destroy the EU and the UK.
Can we have #BritishIndependence from this corrupt self-destructive insanity https://t.co/Zf1RmsO1at",['britishindependence']
