t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
877788634644176896,19441006,negative,remain,2017-06-22T07:21:33.000Z,"#Brexit can and will be stopped! It is not ‘the will of the people’!

#CancelBrexit https://t.co/qa9BhtlNGs",['cancelbrexit']
877869161170575360,773416317739233280,neutral,other,2017-06-22T12:41:32.000Z,"@lfeatherstone ""Brexit, or Tories, Brexit or Tories ""
I think there needs to be a temporary cross-party Coalition with the single purpose of #CancelBrexit",['cancelbrexit']
877889538802065408,4774708829,neutral,remain,2017-06-22T14:02:31.000Z,"""You may say I'm a dreamer - but I'm not the only one"" @eucopresident Donald Tusk on #BrexitReversal #Brexit #CancelBrexit https://t.co/2cOPspCukd",['cancelbrexit']
877925097318645760,780840449963532160,negative,other,2017-06-22T16:23:48.000Z,"JonWorcesterMan: RT EUGrassroots: ""Listen to the people &amp; abandon hard #Brexit"" says EU | #CancelBrexit #StopBre… https://t.co/KOmGrJIFSg",['cancelbrexit']
877928558773100544,780840449963532160,negative,remain,2017-06-22T16:37:34.000Z,"ukneedshelp: RT EUGrassroots: ""Listen to the people &amp; abandon hard #Brexit"" says EU | #CancelBrexit #StopBrexit … https://t.co/KOmGrJr50I",['cancelbrexit']
877928572093988864,780840449963532160,negative,remain,2017-06-22T16:37:37.000Z,"lunaperla: RT EUGrassroots: ""Listen to the people &amp; abandon hard #Brexit"" says EU | #CancelBrexit #StopBrexit #B… https://t.co/KOmGrJIFSg",['cancelbrexit']
878300524499619840,47598058,neutral,remain,2017-06-23T17:15:37.000Z,"When will our lily-livered Parliamentary representatives finally get sensible and #cancelbrexit
Brexit isn't working, it's based on lies https://t.co/hWHR8lYjnm",['cancelbrexit']
878478722663428096,48582984,neutral,leave,2017-06-24T05:03:43.000Z,Brexit forever or #Brexit never? #CancelBrexit https://t.co/jsjfX5Kb5r,['cancelbrexit']
878716574403895296,19441006,negative,other,2017-06-24T20:48:51.000Z,"And as Farage admitted, the Referendum was advisory. 

#CancelBrexit 
#Brexit
https://t.co/2D6LdeA2Wt https://t.co/iuQtYVYO3M",['cancelbrexit']
878751749728817152,19441006,positive,leave,2017-06-24T23:08:38.000Z,"Remember that, when you want to stop Freedom of Movement, Jeremy!!

#CancelBrexit #Brexit https://t.co/MY7akUuIV8",['cancelbrexit']
878767413285834752,19441006,neutral,remain,2017-06-25T00:10:52.000Z,"And then he legged it…

#brexitshambles 
#CancelBrexit 
#Brexit https://t.co/NkPZNVnbev",['cancelbrexit']
878880423450902528,19441006,neutral,remain,2017-06-25T07:39:56.000Z,"They don’t realise that Corbyn is supporting hard #Brexit.  Why are you upset!

#remain 
#CancelBrexit https://t.co/E1Fi1nxeIk",['cancelbrexit']
879294003937718272,780840449963532160,negative,remain,2017-06-26T11:03:21.000Z,dotdotdot17345: Which is yet another reasonwhy Corbyn shouldn't support brexit #cancelbrexit #StopBrexit uklabou… https://t.co/8THZgT6jUB,['cancelbrexit']
881983385710866432,30700854,negative,other,2017-07-03T21:10:00.000Z,"@Peston @PhilipHammondUK ""Post Brexit"". If that's Hammond's route then we're right royally screwed by @Conservatives RW Loons. #CancelBrexit #RemainInEU #NoBrexit",['cancelbrexit']
882991631581970432,701078951184220160,negative,remain,2017-07-06T15:56:24.000Z,#Brexit impoverishing the UK - Living standards in free-fall since disastrous referendum | #StopBrexit #CancelBrexit https://t.co/CYuSyFagF3,['cancelbrexit']
883608240860344320,194167885,negative,remain,2017-07-08T08:46:35.000Z,Brexit isn't workable or realistic. Disaster for economy #cancelbrexit https://t.co/6kX9V1mdoY,['cancelbrexit']
885481628159680512,493544561,positive,other,2017-07-13T12:50:46.000Z,"There's only one good Brexit, and that is a cancelled one. #cancelbrexit  https://t.co/scL3MMT9wy",['cancelbrexit']
886868983563026432,392485698,positive,leave,2017-07-17T08:43:37.000Z,@dicidido1 @campbellclaret @France2tv Lord Haw Haw was a traitor to his country. Alastair is a traitor to Brexit and so has the country's best interests at heart #cancelbrexit,['cancelbrexit']
887575439371362304,28533091,positive,other,2017-07-19T07:30:49.000Z,Have just burst out laughing on the bus at this. Omg. What a complete and utter shambles Brexit is proving to be. #CancelBrexit https://t.co/TXMuDQEkGB,['cancelbrexit']
887632075356024832,18532144,negative,other,2017-07-19T11:15:52.000Z,"Margaret Thatcher’s prized ‘rebate’ dragged into Brexit bill talks.

#cancelBrexit #youknowitmakessense https://t.co/X1JnbFw7pE",['cancelbrexit']
887678751789789184,2911124404,neutral,other,2017-07-19T14:21:21.000Z,"#khstudioguests @nnimrodd for #CANCELBREXIT with the advice, 'Spend the BREXIT divorce bill on the NHS instead.' ❤️🌭 https://t.co/UZfVSYiLVr",['cancelbrexit']
887935005493743616,19441006,negative,remain,2017-07-20T07:19:37.000Z,"Corbyn’s stance on #Brexit is irresponsible and dangerous regardless of what you think about Blair.

#StopBrexit #CANCELBREXIT #Remain https://t.co/jzkJ1WIccl",['cancelbrexit']
888315028885168128,19441006,positive,remain,2017-07-21T08:29:41.000Z,"Aha! - that’s why Farage, Gove and Murdoch love #Brexit so much! To halt capitalism….

#stopBrexit 
#CANCELBREXIT 
#Remain https://t.co/KPTtPV11YR",['cancelbrexit']
889877030124257280,30700854,negative,remain,2017-07-25T15:56:31.000Z,"@ChukaUmunna @Just_Clive @LabourList @UKLabour Why did you ruin that tweet with the words ""after Brexit""? #CancelBrexit",['cancelbrexit']
891266400022659072,30700854,neutral,other,2017-07-29T11:57:23.000Z,@NickBoles The most sensible &amp; un-selfish transition is a reversal of the economic insanity of brexit (just to save @Conservatives ) #CancelBrexit,['cancelbrexit']
893372097124323328,30700854,negative,remain,2017-08-04T07:24:40.000Z,".@skystephen There is no ""best deal"" for #brexit Priti Patel! There is only the economic insanity of it for the UK&amp;NI - just #CancelBrexit",['cancelbrexit']
893376797991202816,30700854,positive,other,2017-08-04T07:43:21.000Z,@ChukaUmunna And what the dinosaurs @jeremycorbyn &amp; @JohnMcDonnelMP who are #brexit champions siding with @theresa_may &amp; a hard Brexit? #CancelBrexit,['cancelbrexit']
894587306442608640,2911124404,neutral,remain,2017-08-07T15:53:29.000Z,Out in Paris wearing #CANCELBREXIT with friends #katharinehamnett #BREXIT #mondays https://t.co/VLFMBCyRLE,['cancelbrexit']
897435470736609280,365201697,negative,other,2017-08-15T12:31:04.000Z,"Everyone, loved ones included, who claimed there would be no border after Brexit, can suck my balls #notinmyname #cancelbrexit #exitbrexit https://t.co/aN9C5ITwGD",['cancelbrexit']
897713722633990144,502064476,negative,remain,2017-08-16T06:56:44.000Z,"#r4today Increasingly, the cost of #Brexit is revealed. Sooner or later, we'll #CancelBrexit &amp; #Remain, but sooner wd minimise the damage https://t.co/ENJUnRgpGy",['cancelbrexit']
