t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
746784455671619584,15229477,neutral,other,2016-06-25T19:17:43.000Z,#Brexit point of view by @patrickdixon. Appetizer quotes added. #EUreform https://t.co/gwDEP1upcG https://t.co/GYA8kCULnn,['eureform']
747329951183970304,400234197,neutral,other,2016-06-27T07:25:19.000Z,"Colm Tóibín: EU must open up after Brexit
via @IrishTimes
Required reading on the @EUCouncil  @JunckerEU #eureform https://t.co/Pgw8fzdfHT",['eureform']
747402253666033664,260718641,negative,remain,2016-06-27T12:12:37.000Z,@Raspoetin69 pak die Sociaal-democratische handschoen op en grijp je kans. Verkwansel deze niet aan Brexit geneuzel maar #EUREFORM,['eureform']
747466480623755264,80267704,neutral,other,2016-06-27T16:27:50.000Z,"EU reform needed following #Brexit #EUReform 
https://t.co/ff212MrLzu",['eureform']
747943322853904384,941564690,negative,other,2016-06-29T00:02:38.000Z,"@tom_peters If it makes #JeffreySachs sound like a rep from #Anonymous, it can't be all bad. #Brexit #EUReform 
https://t.co/5bCKlKSrRK",['eureform']
748050428735127552,93207353,neutral,leave,2016-06-29T07:08:14.000Z,EU members created this cyborg body — now it's time to back it: Margaret Evans https://t.co/qdeZtoZOkR &lt; #Brexit #euco #EUreform,['eureform']
748085395263467520,455729797,negative,other,2016-06-29T09:27:11.000Z,@IlvesToomas #Brexit Mr @JunckerEU quintessence of eurobureaucratism. Out of touch arrogant vengeful and shameless #JunckerOUT #EUReform,['eureform']
749500650799656960,546239230,positive,remain,2016-07-03T07:10:54.000Z,Well worth a read. #Brexit #EUreform https://t.co/YskE291rv2,['eureform']
750333654388408320,746649583934124032,negative,remain,2016-07-05T14:20:58.000Z,"I am shocked and saddened, on reflection, that previous governments have let the EEC go to the #EU without public opinion #brexit #EUReform",['eureform']
750947640414769152,253615321,neutral,other,2016-07-07T07:00:44.000Z,"If Europe is to survive #Brexit, it must fix its banks  https://t.co/fbhSKBx2sP https://t.co/g8pVuZqTPi via @FT #investEU #EUreform #fintech",['eureform']
750971418322632704,253615321,negative,remain,2016-07-07T08:35:13.000Z,Rodrigues: #Brexit blame game will throw Europe into chaos @EurActiv https://t.co/xlKUXFYu4B #EUreform #moreEUnow #EUref #EUref2,['eureform']
751421006481395712,69009086,neutral,other,2016-07-08T14:21:43.000Z,Watch @andrealeadsom discuss her journey from #EUreform to #brexit in our pre-brexit debate w/ @nick_clegg https://t.co/5tGAG1hwKf,['eureform']
751465010338099200,253615321,neutral,leave,2016-07-08T17:16:34.000Z,The Waiting Game: Playing for Time After #Brexit https://t.co/tu6I2L4sWf via @SPIEGELONLINE #EUref #EUref2 #EUreform,['eureform']
752482745448853504,253615321,neutral,other,2016-07-11T12:40:41.000Z,Juncker to decide on new UK portfolio by end of month https://t.co/WuIK6tg7VC #Brexit #EUref #EUreform,['eureform']
752626062262149120,2931141700,positive,other,2016-07-11T22:10:11.000Z,The promise of Regrexit | @scoopit https://t.co/lAwOzgYkyS #Brexit #EUreform,['eureform']
754237062765772800,329989704,neutral,other,2016-07-16T08:51:43.000Z,#EUreform #brexit Define 'free movement'  https://t.co/MFpwhSJW4Y,['eureform']
754237505747185664,329989704,positive,other,2016-07-16T08:53:29.000Z,#EUreform #brexit We have fantastic negotiators. Define 'free trade'  https://t.co/adSq7FiO2i,['eureform']
755043626263142400,457773410,neutral,other,2016-07-18T14:16:43.000Z,D(e)F: Nach dem Brexit Föderalismus? Der #Verhofstadt-Bericht zur Reform des EU-Vertrags https://t.co/7Ywi3rHDKT @GuyVerhofstadt #EUreform,['eureform']
755304662631350272,2317376480,neutral,other,2016-07-19T07:33:59.000Z,#Brexit is and must be a wake-up call for all of us. #EUreform My speech to @KreabEU: https://t.co/UxSioZxCjO https://t.co/KD5DEQ1Rjv,['eureform']
756024846954496000,253615321,neutral,other,2016-07-21T07:15:44.000Z,Meet the Remainers scrambling to keep their EU citizenship https://t.co/VZwPKqaYxc #Brexit #EUref #Eureform #europeanunion #moreEUnow,['eureform']
756472605129973760,1498076587,negative,other,2016-07-22T12:54:58.000Z,Polish PM: EU executive has not learnt its lesson on Brexit - urgent need for #eureform https://t.co/JAJlPG2mTc https://t.co/n8oXxpdLvi,['eureform']
757671748007518208,93207353,neutral,leave,2016-07-25T20:19:56.000Z,"@pet_jor I don't think Sweden or Finland are going to follow #Brexit, but they are hardly members for real #EUreform either. #euco",['eureform']
757949406767448064,253615321,neutral,other,2016-07-26T14:43:15.000Z,Did #Brexit Bring a Long-Awaited Restart of Pro-Europeanism?* https://t.co/Z33YK1d6KW via @euinside #EUref #EUreform #moreEUnow,['eureform']
759717551815421952,205714033,positive,other,2016-07-31T11:49:13.000Z,Can the #EU persuade the #UK to change its mind on #Brexit? Well worth a read. #EUreform #pleasestay https://t.co/IFeuTcYWtp,['eureform']
760061519107231744,93207353,positive,other,2016-08-01T10:36:02.000Z,@JohnSpringford @AgataGostynska @jdportes @MayfairCynic May's #EUreform perversion being 'less perfect union'. #euco #Brexit,['eureform']
761185707796881408,253615321,positive,other,2016-08-04T13:03:09.000Z,"A guide to Europe’s key eurosceptic parties, and how successful they are https://t.co/09EvqQ9Y0l #EUref #Brexit #moreEUnow #EUreform",['eureform']
767722030590464000,2746904628,neutral,other,2016-08-22T13:56:10.000Z,"After #Brexit #Italy, #France, and #Germany look for a common position on #EUreform. #Ventotene https://t.co/Mkws3ZdvRs",['eureform']
767998928574963712,985200140,positive,leave,2016-08-23T08:16:27.000Z,‘Big Three’ leaders insist #EU not finished after #Brexit @EurActiv https://t.co/iG3IV3GJ9L #EuReform #ITA #FRA #GER,['eureform']
770506665636532224,93207353,neutral,other,2016-08-30T06:21:19.000Z,"#EUCO #EUreform: After #Brexit, Merkel keeping Berlin at the helm of rudderless Europe https://t.co/O3FxxjyoO9",['eureform']
771291908018671616,560460861,positive,other,2016-09-01T10:21:35.000Z,Will #Brexit helps to settle the #Spitzenkandidaten debate once and for all? Reflections by @AndrewDuffEU #EUReform https://t.co/TXeq5SLWyC,['eureform']
771669452110827520,2854049247,positive,remain,2016-09-02T11:21:48.000Z,First a #EU_reform with no corruption and second a #Brexit referendum https://t.co/lb14Knc2WF,['eureform']
773758223186821120,253615321,neutral,other,2016-09-08T05:41:50.000Z,Brussels to push for closer EU military unity post-Brexit https://t.co/K4G946ou2F via @FT #EUreform,['eureform']
773836127052636160,323805066,positive,other,2016-09-08T10:51:24.000Z,"Outcome of #Brexit must be good for Europe and Britain, says deputy Finnish PM Timo Soini @ecrgroup #EUreform",['eureform']
773836578267525120,323805066,positive,leave,2016-09-08T10:53:12.000Z,British people have had their say and that must be respected says deputy PM of Finland Timo Soini #brexit #EUreform @ecrgroup,['eureform']
773837727641001984,323805066,neutral,other,2016-09-08T10:57:46.000Z,"#Brexit referendum should have been wake up call for Brussels, Finland's deputy PM Timo Soini tells @ecrgroup Autumn university #EUreform",['eureform']
776757773648465920,332997838,neutral,leave,2016-09-16T12:20:59.000Z,Can't understand as we r still a fully paid up member of EU how UK isn't invited to the various meetings/summits #bbcdp #Brexit #EUreform,['eureform']
781784378284310528,253615321,negative,other,2016-09-30T09:14:55.000Z,Renzi's EU attacks are survival strategy - No camp at 35.5% and the Yes at 29.6% No second Brexit! https://t.co/ZADc3TR6Q6 #EUreform,['eureform']
