t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
991058136898338816,957032285756379136,negative,remain,2018-04-30T20:54:07.000Z,"In a nutshell.
Still genuinely #baffled: why is Jeremy Corbyn so desperate to force brexit through? What possible motive could he have, to inflict such harm on his supporters, against their will?
#ExitFromBrexit #StopBrexit #FBPE #TakeBackControl https://t.co/49M33RiAgT",['exitfrombrexit']
991058136898338816,957032285756379136,negative,remain,2018-04-30T20:54:07.000Z,"In a nutshell.
Still genuinely #baffled: why is Jeremy Corbyn so desperate to force brexit through? What possible motive could he have, to inflict such harm on his supporters, against their will?
#ExitFromBrexit #StopBrexit #FBPE #TakeBackControl https://t.co/49M33RiAgT",['exitfrombrexit']
991097198178983936,41359434,positive,remain,2018-04-30T23:29:20.000Z,"More evidence that
@UKLabour will NOT #StopBrexit
#Labour is PRO-Brexit
Voting for them in the #LocalElections sends a message that YOU support #Brexit
Vote for an #ExitFromBrexit in the #Localelections2018
#LE2018 https://t.co/sKpKrr9zUi",['exitfrombrexit']
991097198178983936,41359434,positive,remain,2018-04-30T23:29:20.000Z,"More evidence that
@UKLabour will NOT #StopBrexit
#Labour is PRO-Brexit
Voting for them in the #LocalElections sends a message that YOU support #Brexit
Vote for an #ExitFromBrexit in the #Localelections2018
#LE2018 https://t.co/sKpKrr9zUi",['exitfrombrexit']
991158284102062080,310906464,negative,other,2018-05-01T03:32:04.000Z,"Retweeted Liberal Democrats (@LibDems):

Victory! Lib Dem Lords have just defeated the Tory Government on their attempts to bypass Parliament on the Brexit deal #ExitfromBrexit https://t.co/BSl5ZBgs38",['exitfrombrexit']
991158284102062080,310906464,negative,other,2018-05-01T03:32:04.000Z,"Retweeted Liberal Democrats (@LibDems):

Victory! Lib Dem Lords have just defeated the Tory Government on their attempts to bypass Parliament on the Brexit deal #ExitfromBrexit https://t.co/BSl5ZBgs38",['exitfrombrexit']
991189766837358592,992876316,positive,other,2018-05-01T05:37:10.000Z,Labour’s support of Brexit is not compatible with the society they purport to want. Brexit will make the UK poorer and Labour would not be able to afford its spending plans. If you want change - first you must #ExitFromBrexit https://t.co/kH5sBKE68L,['exitfrombrexit']
991189766837358592,992876316,positive,other,2018-05-01T05:37:10.000Z,Labour’s support of Brexit is not compatible with the society they purport to want. Brexit will make the UK poorer and Labour would not be able to afford its spending plans. If you want change - first you must #ExitFromBrexit https://t.co/kH5sBKE68L,['exitfrombrexit']
991197867531436032,992876316,positive,remain,2018-05-01T06:09:21.000Z,There are none more complicit in helping Brexit become a reality than the Labour leadership.  In doing so they will suppress further the rights of the poor and those in need - the very people they seek to represent. It doesn’t have to be this way #ABTV #ExitFromBrexit,['exitfrombrexit']
991197867531436032,992876316,positive,remain,2018-05-01T06:09:21.000Z,There are none more complicit in helping Brexit become a reality than the Labour leadership.  In doing so they will suppress further the rights of the poor and those in need - the very people they seek to represent. It doesn’t have to be this way #ABTV #ExitFromBrexit,['exitfrombrexit']
991234120935182336,1872769464,negative,other,2018-05-01T08:33:25.000Z,"A Conservative MP has claimed that the result of the Brexit vote has been thrown into question by the Cambridge Analytica data scandal, increasing pressure for a fresh public vote on the exit deal.
#FinalSay #peoplesvote #ExitfromBrexit #CambridgeAnalytica https://t.co/xKXXvKwRIP",['exitfrombrexit']
991234120935182336,1872769464,negative,other,2018-05-01T08:33:25.000Z,"A Conservative MP has claimed that the result of the Brexit vote has been thrown into question by the Cambridge Analytica data scandal, increasing pressure for a fresh public vote on the exit deal.
#FinalSay #peoplesvote #ExitfromBrexit #CambridgeAnalytica https://t.co/xKXXvKwRIP",['exitfrombrexit']
991237423471489024,2389336800,positive,remain,2018-05-01T08:46:32.000Z,Not one of my #Harvard students thinks #Brexit is a good idea | by @sikorskiradek https://t.co/PgOwNMUfbE #exitfrombrexit #Trump #Poland,['exitfrombrexit']
991237423471489024,2389336800,positive,remain,2018-05-01T08:46:32.000Z,Not one of my #Harvard students thinks #Brexit is a good idea | by @sikorskiradek https://t.co/PgOwNMUfbE #exitfrombrexit #Trump #Poland,['exitfrombrexit']
991266743686434816,1156784420,positive,remain,2018-05-01T10:43:03.000Z,"Better than bringing in one of the arch-#Brexiteer @UKLabour front bench to campaign in UK's most pro-#Remain borough 🙄 I suppose ...
Labour/Tory = Brexit
#WATON #ABTVtoStopBrexit #StopBrexit #ExitFromBrexit https://t.co/sHvGrCod63",['exitfrombrexit']
991266743686434816,1156784420,positive,remain,2018-05-01T10:43:03.000Z,"Better than bringing in one of the arch-#Brexiteer @UKLabour front bench to campaign in UK's most pro-#Remain borough 🙄 I suppose ...
Labour/Tory = Brexit
#WATON #ABTVtoStopBrexit #StopBrexit #ExitFromBrexit https://t.co/sHvGrCod63",['exitfrombrexit']
991285354434048000,56639526,positive,other,2018-05-01T11:57:00.000Z,"@liarpoliticians @LibDems Oh yes it can ! People will vote on a number of issues. For many of them, brexit will be the more important local issue. Brexit will affect jobs, salaries, the local environment, communities etc. Vote for a party that cares about the future @libdems #exitfrombrexit",['exitfrombrexit']
