t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1087431127336448000,454942518,negative,remain,2019-01-21T19:25:58.000Z,"Written to my MP @JackLopresti again tonight. It feels pointless, but we have to keep the pressure up!
#Brexit #StopBrexit #FBPE",['fbpe']
1087440395976536064,929793024657428480,negative,remain,2019-01-21T20:02:48.000Z,"Cowards to the left of me, racists to the right, here I am, fighting #brexit for you. #oldMoat #withington #Manchester #StopBrexit #fbpe",['fbpe']
1087448758030422016,1746555991,neutral,remain,2019-01-21T20:36:02.000Z,"The #EU isn't a ""they"" it's a ""we""! #BREXIT #FBPE #STOPBREXIT #PeoplesVote",['fbpe']
1087451279041925120,705749959631638528,neutral,remain,2019-01-21T20:46:03.000Z,Definitely not ... 😢😔 #Brexit #FBPE #PeoplesVote #stopbrexit https://t.co/unBcTvOVWr,['fbpe']
1087457497772785664,939946272215232256,negative,remain,2019-01-21T21:10:46.000Z,"Remainers trying to steal Brexit, says man instrumental in botching Brexit. #FBPE #StopBrexit
https://t.co/XIquh6Diso",['fbpe']
1087458954727358464,1024395903648575488,negative,remain,2019-01-21T21:16:33.000Z,BBC News - Brexit: David Cameron warned by Donald Tusk over 'stupid referendum' https://t.co/ytFWfrehn3 x look out for this on 28th Jan. #FBPE,['fbpe']
1087459230599299072,253615321,neutral,other,2019-01-21T21:17:39.000Z,How MPs are seeking to take control of Brexit - https://t.co/cE9T0l1JQB via @FT #Brexit #TheresaMay #TeresaMay #Corbyn #JeremyCorbyn #FBPE #Barnier,['fbpe']
1087460361840873472,118736440,positive,remain,2019-01-21T21:22:08.000Z,"Worth noting that the party that shouts 2nd Referendum from the rooftops - the Liberal Democrats polling average for January (11 polls) is just 9.4%
 #Brexit #BrexitCrisis #FBPE &amp; in the last 8 polls it's just 9%,&amp;in the last 6 it's just 8.8% so they're actually going backwards!",['fbpe']
1087463141548703744,62563458,positive,leave,2019-01-21T21:33:11.000Z,"@PippaCrerar Pippa, @ukLabour’s Brexit Plan is no where near a ‘Norway+’.  Norway+ would involve membership of the single market &amp; customs union, and of course, freedom of movement. The Labour Brexit proposal rules this out, tho’ they expect to pick &amp; choose. An impossible Brexit. #fbpe #ffs",['fbpe']
1087466186550456320,4912226817,positive,leave,2019-01-21T21:45:17.000Z,"@GuitarMoog Well you #euSupremacist #fbpe lot had your change to unite and help shape our positive #brexit future. Unfortunately you choose to aid and abet the EU in delivering to truly horrible deal. #euNationalist will now get what they deserve: a #hardbrexit &amp; a very #CleanBrexit.
#brexit",['fbpe']
1087470565181612032,2651308555,neutral,remain,2019-01-21T22:02:41.000Z,"Thanks to @bbchw for having me on today to talk about protecting #EU citizens’ rights under threat from #Brexit #FBPE  #Worcestershirehour 
https://t.co/gJfTUsrCZB",['fbpe']
1087474168160010240,27745433,negative,remain,2019-01-21T22:17:00.000Z,"#PeoplesVote #FBPE, soft Brexiters &amp;Remainers: Tories won't extend A50/call a ref. Its v.likely to be either May's deal or no deal unless we get #ToriesOut. #VoteLabour for either soft Brexit/ref/Remain (btw, if Corbyn cant get his deal it won't lead to May's/hard/no deal Brexit)",['fbpe']
1087475823521746944,969593202360684544,positive,leave,2019-01-21T22:23:35.000Z,"@Anna_Soubry @Fransfedup @Jacob_Rees_Mogg @peoplesvote_uk @Jacob_Rees_Mogg doesn't understand the character of our nation. BRITS DON'T QUIT. Back a #PeoplesVote and call to remain. Build a better future than the one on offer, rather than give up. #britsdontquit #brexit #FBPE #skydebate #marr #Ridge #TuesdayMotivation https://t.co/uBVxhnphOk",['fbpe']
