t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
746779530954575872,17883011,negative,other,2016-06-25T18:58:09.000Z,At the Fuck Brexit rally this afternoon...🍋🍋🍋 #fuckbrexit #brexit #eu #weloveeu #boris… https://t.co/1OXVEkcZuC,['fuckbrexit']
746781576642498560,17883011,negative,other,2016-06-25T19:06:17.000Z,✊🏼✊🏼✊🏼 At the Fuck Brexit rally this afternoon...🇪🇺🇪🇺🇪🇺 #fuckbrexit #brexit #eu #weloveeu #boris… https://t.co/JXUCU343HO,['fuckbrexit']
747015955847471104,95259869,neutral,leave,2016-06-26T10:37:37.000Z,"why are people referring to brexit as 'independence day,' 😳 can u not #fuckbrexit",['fuckbrexit']
747040295951360000,297875762,negative,other,2016-06-26T12:14:20.000Z,Millennials blame older generations for #Brexit https://t.co/Gst5yaFo1N via @YouTube - #FuckBrexit,['fuckbrexit']
747090803214917632,42275429,neutral,other,2016-06-26T15:35:02.000Z,These wankers appeared on my lawn because of Brexit. #fuckbrexit. https://t.co/tLD2TA8Bbc,['fuckbrexit']
747100116109123584,19643354,positive,remain,2016-06-26T16:12:02.000Z,"Just heard my Spanish sister-in-law and her Chinese pal were asked ""Why are you still here? Leave won."" #brexit #fuckbrexit #disgraceful",['fuckbrexit']
747103512627126272,360618573,negative,other,2016-06-26T16:25:32.000Z,Is noone else terrified that at the time of greatest national crisis since WW2 we have invisible PM/gov &amp; no opposition? #brexit #fuckbrexit,['fuckbrexit']
747127307962200064,186710539,negative,remain,2016-06-26T18:00:05.000Z,"https://t.co/MIl8vPnnQu
#Brexit #Racism Assholes reveal themselves in full force
#Bigotry #WhiteHate #FuckBrexit
#FuckIntolerance",['fuckbrexit']
747205311438684160,3019023141,negative,other,2016-06-26T23:10:03.000Z,"Racist incidents feared to be linked to Brexit result - So it begins.....
#fuckracists #fuckfacists #fuckbrexit  https://t.co/euUoZpuiTb",['fuckbrexit']
749108517894631424,93605978,neutral,other,2016-07-02T05:12:43.000Z,What future for post-Brexit UK science? #FUCKBREXIT https://t.co/tK2U8palCz,['fuckbrexit']
749879483725905920,368845081,neutral,other,2016-07-04T08:16:15.000Z,"https://t.co/W4PKaNxFzY “BoJo urges Set out brexit positives” … Uh, wasn’t this *your* job during the campaign? #FuckBrexit",['fuckbrexit']
749984975743844352,96193102,negative,leave,2016-07-04T15:15:26.000Z,Fuck the Brexit vote we are going to Europe anyway! #fuckbrexit #cancerouswombontour @ Port of… https://t.co/gNLjTFo6WQ,['fuckbrexit']
751401156837044224,187618021,negative,other,2016-07-08T13:02:50.000Z,"Stocked up on some European wine earlier. French, Spanish and Italian reds. Fuck you brexit! #fuckbrexit https://t.co/ih3aDUDq78",['fuckbrexit']
753509501886685184,369417281,neutral,other,2016-07-14T08:40:39.000Z,Pre-Brexit; 0 Pokémon. Post-Brexit; 150 Pokémon. #FuckBrexit,['fuckbrexit']
756419925468651520,93605978,negative,remain,2016-07-22T09:25:38.000Z,"Well done Leavers!!! #FUCKBREXIT Brexit plunges UK economy to worst level since 2009, data suggests https://t.co/Z0yAp91sSN",['fuckbrexit']
757110981612933120,2826747794,neutral,other,2016-07-24T07:11:39.000Z,#FuckBrexit This is a total tragedy. Popular student exchange could face post-Brexit axe https://t.co/tX1bt6GB3f,['fuckbrexit']
758574442528243712,2778686421,positive,other,2016-07-28T08:06:55.000Z,Ooh that's nice... #brexit #fuckbrexit #toolate @TfL #londonisopen https://t.co/PRuBNrjzZR,['fuckbrexit']
759690718747254784,741736436613951488,neutral,remain,2016-07-31T10:02:36.000Z,Nijmegen today is dark! But it's still brighter than Brexit. #fuckbrexit https://t.co/QryuYIBTAh,['fuckbrexit']
777576827367911424,93605978,negative,leave,2016-09-18T18:35:36.000Z,It is not ‘time to move on’ over Brexit: it’s time to fight https://t.co/xPTihjBBXF #fuckbrexit,['fuckbrexit']
