t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
684888812833640448,3135565264,neutral,other,2016-01-07T00:06:32.000Z,"lets head for the #Brexit's 

#VoteLeave
#EURef
#StrongerIn
#LeaveEU
#StrongerOut
#LeadNotLeave
#VoteREMAIN
#No2EU https://t.co/zIjn6Kb9BS",['leadnotleave']
685791584823193600,3135565264,neutral,leave,2016-01-09T11:53:49.000Z,"Reasons to #LeaveEU

#EURef  #VoteLeave #Brexit #StrongerIn #VoteREMAIN 
 #remaininEU #LeadNotLeave #BetterOffOut https://t.co/2UxE5Hx4T2",['leadnotleave']
687004808797110272,3135565264,positive,leave,2016-01-12T20:14:45.000Z,"Another good reason Why I'm going to #VoteLeave

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit https://t.co/nlTMHdcqcF",['leadnotleave']
687011447365365760,3135565264,neutral,leave,2016-01-12T20:41:07.000Z,"Im voting to #LeaveEU 

what about you..?

#EURef #VoteLeave #No2EU #StrongerIn #VoteREMAIN #LeadNotLeave #Brexit https://t.co/G5ySvN85ig",['leadnotleave']
687030735883087872,3135565264,neutral,leave,2016-01-12T21:57:46.000Z,"Im voting to #LeaveEU

#BetterOffOut #LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit https://t.co/ETeHZDBQ2I",['leadnotleave']
687389633131507712,3135565264,neutral,other,2016-01-13T21:43:54.000Z,"@Cllrporter @Arron_banks 

#Brussels (#EU) is the thorn in our side

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN",['leadnotleave']
687561860896395264,3039502624,positive,other,2016-01-14T09:08:16.000Z,"Seven options, none good. Still no idea what a vote for #Brexit actually means for the UK #LeadNotLeave #StrongerIn https://t.co/hZbkBhTeh1",['leadnotleave']
688257126616059904,3135565264,neutral,other,2016-01-16T07:11:00.000Z,"Im voting to #LeaveEU

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN https://t.co/cGKBdI0HgA",['leadnotleave']
688259074555691008,3135565264,neutral,leave,2016-01-16T07:18:45.000Z,"Its Your Choice
#LeaveEU or #remaininEU ?

#EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN #VoteLeave  https://t.co/J5DRIIGUCf",['leadnotleave']
688259996241399808,3135565264,negative,remain,2016-01-16T07:22:25.000Z,"do you want to live in a failed #EU State ?

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN https://t.co/RhDaCxBW8A",['leadnotleave']
688270888702205952,3135565264,neutral,leave,2016-01-16T08:05:41.000Z,"Just think what UK could do with all that money we send to #EU ?

#LeaveEU #EURef #StrongerIn  #LeadNotLeave #Brexit https://t.co/n1ir6w6FDl",['leadnotleave']
688284386945400832,3135565264,neutral,other,2016-01-16T08:59:20.000Z,"When I see these two I remember #Merkel &amp; #Junker 

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit  https://t.co/ZSnj4tLzAb",['leadnotleave']
688504042247553024,3135565264,neutral,remain,2016-01-16T23:32:10.000Z,"Im voting to #LeaveEU

So I can get back my British Passport 

#EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit https://t.co/ipMj3OKdy4",['leadnotleave']
688691020192727040,3135565264,neutral,other,2016-01-17T11:55:09.000Z,"Im voting to #LeaveEU

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN https://t.co/ED9jTZ9GLJ",['leadnotleave']
688691271590895616,3135565264,neutral,leave,2016-01-17T11:56:09.000Z,"Im voting to #LeaveEU

#VoteLeave #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN https://t.co/qxu4EyRcGh",['leadnotleave']
688873673781022720,3135565264,positive,other,2016-01-18T00:00:57.000Z,"will the last person out please turn off the light.

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit
 https://t.co/tdgHWaOty7",['leadnotleave']
688885832162365440,3135565264,positive,leave,2016-01-18T00:49:15.000Z,"if you want #democracy you need to #VoteLeave

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit  https://t.co/iq9NnorB66",['leadnotleave']
689517237573656576,3135565264,neutral,leave,2016-01-19T18:38:14.000Z,"Britain is giving your money to #EU then to be told what to do ?

#LeaveEU #EURef #StrongerIn  #LeadNotLeave #Brexit https://t.co/kMtao9COcF",['leadnotleave']
689521498000859136,3135565264,negative,remain,2016-01-19T18:55:10.000Z,"thanks #EU for destroying our fishing industry

 #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN https://t.co/NHiYck9nke",['leadnotleave']
690797721100353536,3135565264,neutral,other,2016-01-23T07:26:25.000Z,"Reasons to #LeaveEU

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN https://t.co/8MxSmrIQgy",['leadnotleave']
690798835703136256,3135565264,neutral,other,2016-01-23T07:30:51.000Z,"Britain is #BetterOffOut

 #LeaveEU #EURef #StrongerIn #StrongerOut
#Brexit #EUreferendum #VoteIN  #LeadNotLeave 

https://t.co/w7KQHHcD7o",['leadnotleave']
691787651087736832,3135565264,positive,other,2016-01-26T01:00:03.000Z,"Who do you want running your Country ?

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN https://t.co/h1KftiblPE",['leadnotleave']
692865632308625408,3135565264,neutral,remain,2016-01-29T00:23:34.000Z,"Are the British public really gonna fall for this ?

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit
 https://t.co/IYVefZkGVs",['leadnotleave']
693212348505571328,3135565264,neutral,other,2016-01-29T23:21:17.000Z,"Clutching at Straws..!!! 

#battlingbrexit #LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN  https://t.co/CzLC8fyJWk",['leadnotleave']
693724473837633536,3135565264,positive,other,2016-01-31T09:16:17.000Z,"Who do you want running your Country ?

#Marr #LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN https://t.co/RRSIZW4XCr",['leadnotleave']
693826445341237248,3135565264,positive,other,2016-01-31T16:01:29.000Z,"I want OUT ..!!

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN https://t.co/SIw9AThIic",['leadnotleave']
694585634250440704,3135565264,positive,other,2016-02-02T18:18:14.000Z,"I love my Country &amp; I'm not falling for this sham of an #EUdeal 

#LeaveEU #EURef #StrongerIn  #LeadNotLeave #Brexit https://t.co/5YfsW9job6",['leadnotleave']
694589128416071680,3135565264,positive,other,2016-02-02T18:32:07.000Z,"PM's #EU package was ""hardly worth the wait..pathetic""

#LeaveEU #EURef #StrongerIn  #LeadNotLeave #Brexit #EUdeal https://t.co/eZ5jEFCJCs",['leadnotleave']
694599009059639296,3135565264,neutral,leave,2016-02-02T19:11:23.000Z,"Im voting to #LeaveEU ....

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #EUdeal  https://t.co/BsoF7Bp7iG",['leadnotleave']
695015671219019776,3135565264,neutral,other,2016-02-03T22:47:03.000Z,"The UK is being taken for a ride ,thats why Im voting to #LeaveEU

#EURef #StrongerIn #LeadNotLeave #Brexit #VoteIN https://t.co/6dIWZOhMKO",['leadnotleave']
695016762715291648,3135565264,positive,leave,2016-02-03T22:51:23.000Z,"`#Turkey are being given visa free access to #EU in Oct 2016 ?

#LeaveEU #EURef #StrongerIn  #LeadNotLeave #Brexit  https://t.co/tJ5cQtqo04",['leadnotleave']
695302094530674688,3135565264,positive,leave,2016-02-04T17:45:12.000Z,"should be good ...

#NigelFarage is on #bbcqt tonight 

#LeaveEU #EURef #StrongerIn #EUdeal #LeadNotLeave #Brexit https://t.co/PE5yc0u0UF",['leadnotleave']
695309131843026944,3135565264,neutral,leave,2016-02-04T18:13:09.000Z,"its all about if you #BelieveInBritain 

#EUdeal #LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit  https://t.co/MG9EYpKS4u",['leadnotleave']
695313866721476608,3135565264,positive,leave,2016-02-04T18:31:58.000Z,"Another good reason Why I'm going to #VoteLeave

#LeaveEU #EURef #StrongerIn #EUdeal #LeadNotLeave #Brexit #No2EU https://t.co/sctMWBIUZB",['leadnotleave']
695317114303967232,3135565264,negative,other,2016-02-04T18:44:53.000Z,"You might not like the truth but it must be told

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit  https://t.co/252C8F3lrv",['leadnotleave']
696611041627795456,3135565264,neutral,other,2016-02-08T08:26:29.000Z,"Before you Vote in #EUreferendum,you must read this 

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit https://t.co/sO4zr50gen",['leadnotleave']
696612401500782592,3135565264,neutral,other,2016-02-08T08:31:53.000Z,"Who runs OUR Country ?

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN #BetterOffOut https://t.co/oRLbOvwxF9",['leadnotleave']
696613866109796352,3135565264,negative,leave,2016-02-08T08:37:42.000Z,"Those People in the #EuropeanUnion Dont care about Us

#LeaveEU #EURef #StrongerIn #VoteLeave #LeadNotLeave #Brexit https://t.co/SjQmOAsqRQ",['leadnotleave']
696682121075826688,3135565264,neutral,leave,2016-02-08T13:08:56.000Z,"The #EUReferendum is About Britain’s History,Heritage &amp; Future 

#LeaveEU #EURef #StrongerIn #LeadNotLeave #Brexit https://t.co/vvAhptjyHS",['leadnotleave']
696711695599869952,3135565264,neutral,leave,2016-02-08T15:06:27.000Z,"It's Your Decision

Democracy V Dictatorship ?

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit https://t.co/rxrGfCpY3F",['leadnotleave']
696730096103776256,3135565264,negative,remain,2016-02-08T16:19:34.000Z,"We have nothing fear from #Brexit

#BelieveInBritain 

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #No2EU https://t.co/gvCoILTPuC",['leadnotleave']
696964622444851200,3135565264,neutral,other,2016-02-09T07:51:29.000Z,"If UK #remaininEU this will be Our Leader ?

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN https://t.co/4OA9PKK7wE",['leadnotleave']
