t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1087439686732267520,931571397280845824,negative,leave,2019-01-21T19:59:59.000Z,"Time until BREXIT is 67 days, 02 hours, 59 minutes and 59 seconds   #BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE #ScotRef #Indyref #Indyref2 #FBPE 
From our friends @WhichHeatPress - Looking for a new Heat Press? - Stahls Clam Basic https://t.co/sVsT3nrDop #HeatPress #HTV",['leave']
1087466114458763264,1464351686,positive,remain,2019-01-21T21:45:00.000Z,Maybe rather than #Remain v #Leave it’s worth looking at some questions to help determine whether you actually want a #NoDealBrexit. #brexit https://t.co/TGQBCG6Zw5,['leave']
1087471050684653568,567638278,negative,other,2019-01-21T22:04:37.000Z,"@darrengrimes_ #EU likely quite scared of #Brexit ..it may turn into who's #Nextit in a potential house of cards. #UK Allies, #US defeated Germans, saved #Europe in #WWII . No need for UK to kowtow to #EU Enough already - Let's just #Leave",['leave']
1087497982323363840,239014529,neutral,remain,2019-01-21T23:51:38.000Z,"Thing is, everyone who voted #Leave is still beating the same drum, even after seeing the shit show of what the government has made of negotiations, and they still believe that we're better off left to our own devices. Yeah, I get jokes. #brexit #comedy #funnyhow https://t.co/gGUmjktFIt",['leave']
1087515181641580544,931571397280845824,negative,leave,2019-01-22T00:59:59.000Z,"Time until BREXIT is 66 days, 22 hours, 0 minutes and 0 seconds   #BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE #ScotRef #Indyref #Indyref2 #FBPE 
From our friends @WhichHeatPress - Looking for a new Heat Press? - Stahls Clam Basic https://t.co/sVsT3nrDop #HeatPress #HTV",['leave']
1087517690623913984,82952403,negative,other,2019-01-22T01:09:57.000Z,"@andreajenkyns Which Brexit did people vote for? We know that @theresa_may believes #BrexitMeansBrexit but does anyone know what Leavers thought they were voting for? Has anyone polled ""What did #Brexit mean to you when you voted #Leave ?"" Did all 52% vote for same thing? The 48% #Remain did!",['leave']
1087518263972675584,106810446,positive,remain,2019-01-22T01:12:13.000Z,"@Keir_Starmer @hilarybennmp Why not #parliament ask #UK'S universities to do an in depths research about #Brexit and it's impacts on the country and come with recommendations, then make a intelligent decision in parliament. #Leave or #Remain whichever is best for the country.",['leave']
1087530281467297792,931571397280845824,negative,leave,2019-01-22T01:59:59.000Z,"Time until BREXIT is 66 days, 20 hours, 59 minutes and 59 seconds   #BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE #ScotRef #Indyref #Indyref2 #FBPE 
From our friends @WhichHeatPress - Looking for a new Heat Press? - Stahls Clam Basic https://t.co/sVsT3nrDop #HeatPress #HTV",['leave']
1087531051218620416,72377367,negative,other,2019-01-22T02:03:02.000Z,@PennyMidasRollo That should take between 6 and 10% off their % votes. What will people like @lisanandy do in @UKLabour constituencies with c70% #LEAVE. We desperately need a single issue #Brexit disruptor party to radically shake the corrupt system. @Nigel_Farage,['leave']
1087534310121447424,1048632992,negative,remain,2019-01-22T02:15:59.000Z,@GeorgeAylett Obviously @jeremycorbyn has at last realized although many #Labour MPs represent deprived NorthernTowns &amp; areas which voted #Leave voters were misled &amp; believed Tory NHS lies on RedBus &amp; Farage immigration scaremongering #Labour KNOWS Poor&amp;Vulnerable will suffer most with Brexit,['leave']
1087629384889102336,1013529779247702016,negative,other,2019-01-22T08:33:47.000Z,"Roland Rudd live from #davos on #bbcr4 telling the 17 million who voted to #leave they are ill informed, wrong and must vote again. The voice of the elite live from on high at #Davos2019  #brexit #projectfear",['leave']
1087635977923973120,931571397280845824,negative,leave,2019-01-22T08:59:59.000Z,"Time until BREXIT is 66 days, 13 hours, 59 minutes and 59 seconds   #BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE #ScotRef #Indyref #Indyref2 #FBPE 
From our friends @WhichHeatPress - Looking for a new Heat Press? - Stahls Clam Basic https://t.co/sVsT3nrDop #HeatPress #HTV",['leave']
1087636528636092416,1162607108,positive,leave,2019-01-22T09:02:10.000Z,"@BlayneyDeborah @DavidDavisMP Your not getting it :) It is not about economics it’s about sovereignty and democracy, my ancestors literally fought for this country to be free. I want it all back cost is irrelevant.
So grow a backbone and join us #leave #Brexit #Uk 
Or you can chase a handful traitors silver",['leave']
1087639217977651200,947801338376867840,positive,leave,2019-01-22T09:12:51.000Z,Remoaners @Anna_Soubry and #DominicGrieve are now telling us that they don’t want to stop #Brexit. They merely want to give the electorate the opportunity to vote again to make sure we really do want to #Leave. How magnanimous of them.,['leave']
1087648380984152064,998906666962837632,positive,other,2019-01-22T09:49:16.000Z,@Jacob_Rees_Mogg you have stood firm on #Brexit please as it's chief visible proponent take leadership in distancing #Leave from xenophobia,['leave']
1087664858370375680,795724684952272896,positive,other,2019-01-22T10:54:44.000Z,"@acgrayling @WCullmac And I am with you. The narrow #leave win in 2016 gives absolutely no mandate for the cataclysmic change which #Brexit means.
There has been no consideration at all for the many millions who voted to #Remain and the millions who are content with things as they are, &amp; didn't vote.",['leave']
