t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1169356813914890240,300754848,neutral,remain,2019-09-04T21:09:24.000Z,"#BorisJohnson is adamant Britain will #LeaveEU; T-May was adamant she'd allow the EU make the UK a puppet state; the Lib-Dems were adamant they'd oppose #Brexit at any cost.

#Corbyn was adamant he wanted a #GeneralElection. When offered one, he hid in the toilet.

#NoDealBrexit https://t.co/alJ0VyApxq",['leaveeu']
1169369299359870976,836721050008313728,negative,other,2019-09-04T21:59:01.000Z,"Labour leader #Corbyn has a new recruit: former Labour PM 'Tony' #Blair - the man who bombed Iraq &amp; who gave EU back part of the UK EU rebate, for nothing in return. Tony Blair says he'd back Corbyn to prevent a #NoDeal Brexit. Don't vote Labour. #LeaveEU https://t.co/FFDNi6Lu3E",['leaveeu']
1169370595529777152,769644436288577408,negative,leave,2019-09-04T22:04:10.000Z,"Another reason to support #brexit. There are currently 6 nations in Europe that have banned the burka, Austria, Denmark, France, Belgium, Latvia, and Bulgaria. So this is the glorious EU remainers are so desperate to be apart of @Conservatives @BorisJohnson @jeremycorbyn #leaveEU https://t.co/XNUET4YJBp",['leaveeu']
1169375693530107904,836721050008313728,negative,other,2019-09-04T22:24:25.000Z,"Poll, Conservative Home: Almost half of Conservative Party members would oppose the Withdrawal Agreement even if the #Backstop is removed. The Withdrawal Agreement would keep UK as a vassal state of EU. We voted to #LeaveEU. Clean #Brexit. (#Conservatives) https://t.co/Qy12qeEYdW",['leaveeu']
1169494770093350912,25262575,negative,leave,2019-09-05T06:17:36.000Z,Nothing but a Big Cock ! #brexit #BrexitVote #BrexitShambles #brexitcock #LeaveMeansLeave #LeaveOct31 #LeaveEU @labourleave @LeaveMnsLeave @DominicRaab @KateHoeyMP @BorisJohnson @brexitparty_uk @Jacob_Rees_Mogg @Nigel_Farage @johnredwood @fishingforleave https://t.co/c6jC8EV0Th,['leaveeu']
1169497707590934528,1095399797215907840,neutral,remain,2019-09-05T06:29:16.000Z,"Corbyn, tellement sûr de perdre qu'il ne veut même pas jouer... Le comble du déni de démocratie !
#frexit #brexit #LeaveEU #UPR @UPR_Asselineau https://t.co/hBG6HZePXz",['leaveeu']
1169508310992728064,847076390507827200,neutral,other,2019-09-05T07:11:24.000Z,"Wou den Haushär ufänkt ze randaléieren...

https://t.co/e8nok0fv9o

#moien #news #media #online #info #letzebuerg #letzebuergesch #SurrenderBill #NoDealBrexit #Brexit #BoJo #LeaveOct31 #LeaveEU #NoDealBrexit",['leaveeu']
1169513261437521920,909361341697286144,neutral,other,2019-09-05T07:31:04.000Z,"#brexit #BrexitShambles #BrexitParty #LeaveEU 
I propose a national demonstration this Saturday in all cities, towns and villages to show these arrogant self serving MPs, what the true feeling is of the people they represent.",['leaveeu']
1169528926324047872,1054012054317740032,neutral,leave,2019-09-05T08:33:19.000Z,"@GoldingJag @TessaOutlook Some people would change their vote from leave to remain just to get it all over with, or due to the scare-mongering. I feel the first referendum more accurately reflects what people truly want. #Brexit #VoteLeave #LeaveEU",['leaveeu']
1169535993638260736,329077935,positive,leave,2019-09-05T09:01:24.000Z,"Do the elite in Westminster truly believe our brexit vote will somehow be forgotten as they dither and prolong the process expecting us to 'go away quietly,' my resolve is stronger than ever, 2 years 5 years. I will not surrender. #LeaveEU",['leaveeu']
1169556687470153728,2384282461,positive,leave,2019-09-05T10:23:38.000Z,Konnie Huq explodes at Mike Parry over Brexit! https://t.co/8R4r44YeFr via @YouTube - brilliantly pathetic - loving the #remoaner angst. Can’t wait to #LeaveEU. As #labourleave I’d prefer a #NoDealBrexit just to get out. Anyway the #Ashes is more important today 😁,['leaveeu']
1169558364386418688,256181570,negative,leave,2019-09-05T10:30:18.000Z,"YOU ARE AN ABOMINATION TO HUMANITY...LOOK AT YOUR ANGER..LOOK AT YOUR MANNER...YOU ARE ABSOLUTELY DISGUSTING @jessphillips ..we, the people are ANGRY at you for blocking democracy! ..get that inti your thick head. #Brexit #LeaveEU #TheBrexitParty https://t.co/3B7qHVQPKt",['leaveeu']
1169559505342013440,450093807,negative,remain,2019-09-05T10:34:50.000Z,"@Conservatives #MPs @UKParliament @UKHouseofLords @HouseofCommons who voted against @BorisJohnson have betrayed their party, leader they voted for &amp; 17.4 #LeaveEU voters⚡️ “Bill forcing PM to ask for no-deal #Brexit delay a betrayal!

https://t.co/wsvvxrI3Zt https://t.co/zWBhKshn7A",['leaveeu']
1169579825893388288,769644436288577408,positive,other,2019-09-05T11:55:34.000Z,Jeremy Lefroy will not be standing in the next general election as MP for Stafford. Been invited to attend the meeting at the country show ground to select a new candidate to run. I will be backing a pro Brexit candidate. #brexit #Conservatives #leaveEU @Conservatives,['leaveeu']
1169580553835831296,1909242403,positive,other,2019-09-05T11:58:28.000Z,https://t.co/gWTQun2ivU  Civil Contingencies Act 2004 Interesting way in which it could be used to fight for Brexit #Brexit #LeaveEU,['leaveeu']
1169598606636195840,599985558,negative,other,2019-09-05T13:10:12.000Z,Brexit Mess - What is happening ? Nigel Green deVere CEO https://t.co/OLkCtcTcHY #negotiate #mess #brexitmess #election #boris #wealth #deVere #PM #borisjohnson #jojohnson #quit #government #brexit #pound #sterling #leave #EU #leaveEU #markets #finance,['leaveeu']
1169639235059666944,704020620598767616,negative,other,2019-09-05T15:51:39.000Z,"Brits more worried about Jeremy Corbyn in power than No Deal Brexit, poll reveals.

#brexit #LeaveOct31 #LeaveEU
#PMQs #StopTheCoup
 https://t.co/XJmpS06iMG",['leaveeu']
1169646704875974656,1498991760,positive,remain,2019-09-05T16:21:20.000Z,@jeremycorbyn One fly in the ointment. So many new members support #RemainEU. They all voted @LibDems in the #EUParliament to show they did not want a #LeaveEU party Not everyone is #Lexit @UKLabour 16.1 million &amp; growing is a lot of electors to ignore #JC4PM when #Brexit is sorted,['leaveeu']
1169657487441768448,1105886038478766080,neutral,leave,2019-09-05T17:04:10.000Z,@bbclaurak He’s doing a fab job! Can’t wait to vote for Boris! 👍👏🇬🇧 #Brexit #LeaveEU #WTOBrexit,['leaveeu']
1169661243738791936,794162089560571904,negative,other,2019-09-05T17:19:06.000Z,Here's to a no deal Brexit #brexit #LeaveEU https://t.co/P8ywBhijaT,['leaveeu']
1169696528228896768,926187339902222336,neutral,other,2019-09-05T19:39:18.000Z,EU Referendum Results - BBC News #Brexit #LeaveOct31 #DemocracyisDEAD #Labour #GeneralElection2019 #LeaveEU https://t.co/lmfRjN4fdd,['leaveeu']
1169735263586836480,211247889,positive,other,2019-09-05T22:13:14.000Z,I've just watched Thornbury  clearly state that if labour wins the general election she will go to Europe and negotiate the best leave deal posible and then campaign against her own deal. FM. #Brexit #LeaveEU,['leaveeu']
1169738889675845632,302665348,negative,leave,2019-09-05T22:27:38.000Z,No thank you Fiona Bruce is an instant turn off in our house. Do love reading all the tweets saying what an awful panel and biased program you run! #Brexit #BrexitBetrayal #BrexitBritain #LeaveOctober31st #LeaveEU #BorisJohnson https://t.co/6JWXNoD6iZ,['leaveeu']
1169758574601486336,169728596,negative,other,2019-09-05T23:45:51.000Z,"@HackneyAbbott @UKLabour What a load of codswallop, they running scared they have not seen nothing yet from the people.  They can not do dirty deals with EU lawyers, like they did with the bill this week.
#brexitoct31 #brexit #LeaveEU #LeaveMeansLeave",['leaveeu']
