t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
686513300243378176,53027368,positive,leave,2016-01-11T11:41:40.000Z,#EU's cunning plan to avoid #Brexit - De Spiegel #UK #EUreferendum #EUref #LoveEuropeLeaveEU #LeaveEU #VoteLeave https://t.co/iypk7IO7f8,['loveeuropeleaveeu']
686561377276825600,3135565264,neutral,leave,2016-01-11T14:52:42.000Z,"take back control of OUR country 

#LoveEuropeLeaveEU

#EURef #VoteLeave #Brexit #StrongerIn #VoteREMAIN #LeaveEU https://t.co/fIWXzpwDj5",['loveeuropeleaveeu']
688660698096885760,53027368,neutral,leave,2016-01-17T09:54:39.000Z,#EU What #Brexit can do for #Britain +the world #EUreferendum #EUref #LoveEuropeLeaveEU #VoteLeave #LeaveEU https://t.co/z1SYyj79Tc @LeaveEU,['loveeuropeleaveeu']
688666451809570816,20550442,negative,leave,2016-01-17T10:17:31.000Z,"#BrExit No shock to me, Britain wants out of the costly, corrupt ineffective #EU
#LoveEuropeLeaveEU https://t.co/1WBYkbaO0R",['loveeuropeleaveeu']
689719712603836416,20550442,positive,leave,2016-01-20T08:02:48.000Z,"#BrExit - Great Britain waking up to the #EU.
#LoveEuropeLeaveEU https://t.co/XtbGG68bAe",['loveeuropeleaveeu']
690457494259396608,20550442,negative,other,2016-01-22T08:54:29.000Z,"#BrExit #NoShitSherlock
#LoveEuropeLeaveEU
#Migration 'putting #EU at grave risk' https://t.co/9iu0NsiYGD",['loveeuropeleaveeu']
690960938854408192,3135565264,neutral,leave,2016-01-23T18:14:59.000Z,"I'm Turning my back on the #EU

#LoveEuropeLeaveEU #GrassrootsOut #LeaveEU #EURef #VoteLeave #Brexit https://t.co/EXQqrs3Pl4",['loveeuropeleaveeu']
691199270591033344,20550442,neutral,other,2016-01-24T10:02:02.000Z,"#BrExit #EU #Schengen
#LoveEuropeLeaveEU
#France 'should send army to #Calais' https://t.co/mh2Afaoz2j",['loveeuropeleaveeu']
692071177108525056,20550442,positive,other,2016-01-26T19:46:41.000Z,"We need this here
#Schengen #BrExit #LoveEuropeLeaveEU
#BBCNews #Denmark approves controversial #migrant assets bill https://t.co/ag37Vh43CX",['loveeuropeleaveeu']
692375760364027904,20550442,negative,remain,2016-01-27T15:56:59.000Z,"Sounds like the #Irish don't want a #UK #EU #BrExit so don't be fooled by propaganda from #Eire
#LoveEuropeLeaveEU
https://t.co/PoarpiGk4O",['loveeuropeleaveeu']
693372531412242432,20550442,neutral,other,2016-01-30T09:57:48.000Z,"#BrExit #LoveEuropeLeaveEU
The #EU needs the #UK more than we need them. We're #BetterOffOut. So, why stay? https://t.co/hQUBWyZTQq",['loveeuropeleaveeu']
693385594400043008,20550442,positive,leave,2016-01-30T10:49:42.000Z,"#BrExit #LoveEuropeLeaveEU
#BetterOffOut #GrassRootsOut #UKIP #EU @UKIP @UkipBexley @UKIPHQ 
PLEASE SHARE https://t.co/hQUBWyZTQq",['loveeuropeleaveeu']
693862389868007424,20550442,neutral,leave,2016-01-31T18:24:19.000Z,"#LeaveEU #BrExit #BetterOffOut however you look at it, it makes sense to go.
#LoveEuropeLeaveEU https://t.co/suNqPM38xZ",['loveeuropeleaveeu']
694225760253526016,20550442,neutral,leave,2016-02-01T18:28:13.000Z,"#BrExit #BetterOffOut #LeaveEU
#LoveEuropeLeaveEU
#British business needs to remain neutral about leaving the #EU
https://t.co/s4flVSf8tF",['loveeuropeleaveeu']
694836699659132928,20550442,negative,leave,2016-02-03T10:55:53.000Z,"#BrExit #BetterOffOut #LeaveEU #EU
#LoveEuropeLeaveEU #VoteLeave.
We wouldn't join, why stay? https://t.co/lV1jTVnlMk",['loveeuropeleaveeu']
