t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1107732717754556416,124410425,positive,other,2019-03-18T19:57:15.000Z,"Yep we #Brexiteers are NOT done ye. Let them try, over our even more determined #Brexit #British Independent bodies! #No2EU yes to #MBGA. https://t.co/pDqxTHitlD",['no2eu']
1109457876865728512,19744029,positive,other,2019-03-23T14:12:25.000Z,"NO SECOND REFERENDUM WE WANT #BREXIT #NO2EU PLEASE SIGN 
https://t.co/NALpGBzQhZ",['no2eu']
1110984958187835392,822232168969682944,negative,other,2019-03-27T19:20:29.000Z,"Will the #UK avoid fascism?

#brexit #leave #leavemeansleave #snp #indyref2 #EU #PMQs #BBCBreakfast #bbcqt #bbc #BBCNews #ukgov #ukgovchat #bbcpolitics #no2eu https://t.co/zC5I8HJ5DS",['no2eu']
1118932196314832896,261805462,negative,remain,2019-04-18T17:39:59.000Z,"@SteveHedley3 @RMTunion @georgegalloway @jeremycorbyn Correct @SteveHedley3. Anyone who says they're standing for election to the fake EU parlt to deliver Brexit is a fool, or a knave. When #No2EU stood candidates in 2009 and 2014, we said we'd refuse to take our seats if we won. Today the argument for abstention is even stronger.",['no2eu']
1121350526652825600,810834227403124608,negative,leave,2019-04-25T09:49:33.000Z,"@transferdicky @DG17__ @yankeeperson2 @BeeAHoney_ @skisidjames @sharonhearne11 @WAP1941 2. So none of those bodies are #Remainers

Swore blind had to join #Euro

On pain of dire consequences

Forecast &lt;13,000 #Poles would come

Hardly any #Romanians

Projected catastrophe on #Leave vote...

#CryingWolf

#Brexit #LetsGoWTO #noDeal #No2EU",['no2eu']
1124327685260488704,810834227403124608,negative,leave,2019-05-03T14:59:43.000Z,"Dang! Forgot to photo my ""#Spoiled"" #Ballot #BallotPaper

#SpoiledBallot #SpoiledBallotPaper #SpoiledBallotSlip

#Vote #VotingSlip #SpoiledVotingSlip

#NoneOfTheAbove #NotAParty X

#No2EU #Brexit #NoDeal #LetsGoWTO",['no2eu']
1127317497651318784,810834227403124608,negative,other,2019-05-11T21:00:10.000Z,"@BBC #FFS Watching #BrexitBehindClosedDoors-#Storyville @BBC

#MichelBarnier already knew BEFORE negotiations started that #DavidDavis was #BrexitSec

BUT that #OillyRobbins was #MaysRightHandMan

#Brexit #Leave #NoDeal #LetsGoWTO #WTO #No2EU",['no2eu']
1127347688364761088,810834227403124608,negative,other,2019-05-11T23:00:08.000Z,"@BBC #FFS Now I've heard everything

Watching #BrexitBehindClosedDoors-#Storyville #BBC

#GuyVerhofstadt says #EU brought #Peace to #NI

#Remainiacs threatening #Leavers with #Terrorist campaign 

#Brexit #Leave #NoDeal #LetsGoWTO #WTO #No2EU",['no2eu']
1127352620321050624,810834227403124608,negative,other,2019-05-11T23:19:44.000Z,"@BBC #O_M_G_!

Watching #BrexitBehindClosedDoors-#Storyville @BBC

#GuyVerhofstadt surprised #TheresaMay gave a #Brxit speech in a ""European City""!

Doesn't he know #London is a #EuropeanCity?!

#Brexit #Leave #NoDeal #LetsGoWTO #WTO #No2EU",['no2eu']
1127359237351464960,810834227403124608,negative,remain,2019-05-11T23:46:02.000Z,"@BBC #FFS Now I've heard everything

Watching #BrexitBehindClosedDoors-#Storyville #BBC

#GuyVerhofstadt says #OllyRobbins #May's secret #Remain ""#Negotiater"" asked him for #Belgian Citizenship

#Brexit #Leave #NoDeal #LetsGoWTO #WTO #No2EU",['no2eu']
