t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
782507779936452608,2584178034,negative,leave,2016-10-02T09:09:27.000Z,"@brianmoore666 many idiot Leavers say they are fine with falling off a cliff as long as Johnny Foreigner has to go ""home"". #Brexit #NoBrexit",['nobrexit']
783004886027866112,3313059731,neutral,remain,2016-10-03T18:04:47.000Z,"@britasticuk oh, AND how about giving us an ACTUAL apology 4 this bullshits, u brexit supporting maniac :)
#nobrexit #nonations #noborders!!",['nobrexit']
783237521975152640,746371177174679552,negative,other,2016-10-04T09:29:11.000Z,"@GuyVerhofstadt @ASquareOfSkye We must stop the hate and lie fuelled populist madness of #Brexit. 
The best #Brexit is #NoBrexit",['nobrexit']
783283774943535104,380851095,positive,other,2016-10-04T12:32:59.000Z,The best brexit for the UK is #NoBrexit https://t.co/cj05AMLIDa,['nobrexit']
783335604453044224,761271909333995520,positive,other,2016-10-04T15:58:56.000Z,"Brexiters now basically saying it's okay that they lied in order to win because, hey… they won, so get over it.
#noBrexit #Brexit https://t.co/OqJulkxE0p",['nobrexit']
783379514336444416,380851095,positive,other,2016-10-04T18:53:25.000Z,@song_title @guardian the only good brexit is #NoBrexit so you only way to get this right is to abandon it. #TheresaMayhem,['nobrexit']
783674512642609152,774995564912054272,positive,remain,2016-10-05T14:25:38.000Z,@BritsfortheEU The only good brexit is NO brexit #UKIPDied #nobrexit,['nobrexit']
783675756840976384,774995564912054272,positive,other,2016-10-05T14:30:35.000Z,@BritsfortheEU Help Lizz Leffman fight brexit https://t.co/PP7sRMSQ05 #UKIPDied #nobrexit,['nobrexit']
783723334076866560,380851095,positive,leave,2016-10-05T17:39:38.000Z,The best #brexit for the UK?  #NoBrexit #UKIPDied @BritsfortheEU @BritsfortheEU2,['nobrexit']
783966596708663296,3961640224,neutral,other,2016-10-06T09:46:16.000Z,"Brexit - order a Ferrrari, get a Trabant #NoBrexit - if a dealer did that without asking, would you be happy? #NoBrexit https://t.co/FdTxzsQdpw",['nobrexit']
783955171122511872,3961640224,positive,leave,2016-10-06T09:00:52.000Z,The best #Brexit is #NoBrexit not #SoftBrexit,['nobrexit']
784132576910934016,380851095,positive,other,2016-10-06T20:45:49.000Z,Do we really want to see our country trashed by brexit? Only good brexit for the UK is #NoBrexit https://t.co/1ss9EZLfHt,['nobrexit']
784121422453043200,103299900,neutral,other,2016-10-06T20:01:30.000Z,"That's #Brexit democracy for you

#NoBrexit https://t.co/w41AjP9SlR",['nobrexit']
784196730451623936,3961640224,positive,remain,2016-10-07T01:00:44.000Z,@suttonnick @solange_lebourg can remain MPs who backed Brexit misguidedly hoping it'd be soft please come back to support Remain #NoBrexit,['nobrexit']
784429629226491904,137090726,negative,other,2016-10-07T16:26:12.000Z,"The UK's currency weakness is 100% due to Brexit concerns. 
#BadIdea #NeverBrexit #NoBrexit https://t.co/HwcJFYKMEz",['nobrexit']
784468408100323328,103299900,negative,other,2016-10-07T19:00:17.000Z,"@Hugodixon @FT @FinancialTimes 
It IS a misunderstanding; #Brexit is a misunderstanding 
#NoBrexit",['nobrexit']
784664443808542720,103299900,positive,other,2016-10-08T07:59:16.000Z,"@hendopolis @UKIPNFKN 
That's all perfectly acceptable after #Brexit and now the govt has officialised foreigner bashing.
#NoBrexit",['nobrexit']
784871441078554624,103299900,negative,other,2016-10-08T21:41:48.000Z,"@LeaveEUOfficial @TelegraphNews 
Very weird, there must be more to this. It is not undemocratic to stand up against #Brexit 

#NoBrexit",['nobrexit']
