t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1055128318419369984,526020270,neutral,other,2018-10-24T16:06:09.000Z,"An Irish Socialist gives his perspective on the European Union.
#NoToEU #EndEUAusterity #Socialism 
""Irish Border Resident on British and EU Imperialism and Brexit""
 https://t.co/Z6MqWshwhl via @YouTube",['notoeu']
1055128318419369984,526020270,neutral,other,2018-10-24T16:06:09.000Z,"An Irish Socialist gives his perspective on the European Union.
#NoToEU #EndEUAusterity #Socialism 
""Irish Border Resident on British and EU Imperialism and Brexit""
 https://t.co/Z6MqWshwhl via @YouTube",['notoeu']
1058754356940587008,526020270,neutral,leave,2018-11-03T16:14:44.000Z,"Come and hear what Communists and Socialists have to say about the right-wing union of European capitalist states (EU) and #Brexit on Thursday 22 November in London 2018.
#NoToEU #EndEUAusterity #WorkersRights #HumanRights
#Communists #Communism #Socialists #Socialism https://t.co/GD12Y2ov7N",['notoeu']
1058754356940587008,526020270,neutral,leave,2018-11-03T16:14:44.000Z,"Come and hear what Communists and Socialists have to say about the right-wing union of European capitalist states (EU) and #Brexit on Thursday 22 November in London 2018.
#NoToEU #EndEUAusterity #WorkersRights #HumanRights
#Communists #Communism #Socialists #Socialism https://t.co/GD12Y2ov7N",['notoeu']
1060685655880228864,526020270,neutral,other,2018-11-09T00:09:01.000Z,"People's Brexit Meeting -
Thursday 22nd November 2018, near Kings Cross Station.
#NoToEU #EndEUAusterity #WorkersRights #HumanRights #Socialism https://t.co/KSFayArTpk",['notoeu']
1060685655880228864,526020270,neutral,other,2018-11-09T00:09:01.000Z,"People's Brexit Meeting -
Thursday 22nd November 2018, near Kings Cross Station.
#NoToEU #EndEUAusterity #WorkersRights #HumanRights #Socialism https://t.co/KSFayArTpk",['notoeu']
1064847598215987200,526020270,neutral,leave,2018-11-20T11:47:05.000Z,"#NoToEU #EndEUAusterity #WorkersRights #HumanRights #Socialism
""At a crucial time for the British working class, we must throw our energies into a People’s Brexit"" - 
https://t.co/Lo7jRn4fr8",['notoeu']
1064847598215987200,526020270,neutral,leave,2018-11-20T11:47:05.000Z,"#NoToEU #EndEUAusterity #WorkersRights #HumanRights #Socialism
""At a crucial time for the British working class, we must throw our energies into a People’s Brexit"" - 
https://t.co/Lo7jRn4fr8",['notoeu']
1064943402956005376,75873064,positive,other,2018-11-20T18:07:47.000Z,"That moment you thought EU couldn't get any less popular, they respond  by wanting to build their own army.  #Brexit #notoeu #NoToEUArmy",['notoeu']
1064943402956005376,75873064,positive,other,2018-11-20T18:07:47.000Z,"That moment you thought EU couldn't get any less popular, they respond  by wanting to build their own army.  #Brexit #notoeu #NoToEUArmy",['notoeu']
1066396195009060864,26405962,positive,leave,2018-11-24T18:20:40.000Z,"Brexit is good for the UK. The eu is controlling Europe the same as it was during ww2, there is no sovereign governments only eu control they claim economic prosperity, open borders and one currency sounds a lot like hitler or stalin. SAY NO TO EU #BREXIT #UK #FREEDOM #NOTOEU",['notoeu']
