t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1169861430092288000,1012346602709815296,neutral,remain,2019-09-06T06:34:34.000Z,"@themarkvipond @BorisJohnson Why proud? He (PM) hasn’t delivered anything, can’t make a compromise to form majorities and is lying about negotiating in Brussels.
#Brexit  #StopBrexit #News #today #johnson #britain #OFOC #conservatives",['ofoc']
1169880206355529728,1150782523506667520,negative,other,2019-09-06T07:49:11.000Z,"Ein Bericht über die am Schlimmsten von einem No-Deal Brexit betroffenen
#OFOC
Thank you, Boris! https://t.co/UUTNFEE8tr via @zeitcampus",['ofoc']
1170414728729919488,404281100,neutral,other,2019-09-07T19:13:11.000Z,"#Brexit #Corbyn #Labour #Greens #SNP #Plaid #PeoplesVote #DefendOurDemocracy #OFOC

There are 2 kinds of unions:

Centralised (#EU #UK #Germany #Spain - federation)
Decentralised (#NATO #OSCE #EFTA - confederation)

Make laws at the periphery, CONFEDERATE as equals at the center https://t.co/90XlquMNwo",['ofoc']
1170787227158212608,404281100,positive,remain,2019-09-08T19:53:21.000Z,"https://t.co/d7ECIbN7Bn #Brexit #Nexit #PeoplesVote #FinalSay #OFOC

Barclay:  Let’s get this done, but it does require the (EU) Commission not to just to say in public that they will be creative and flexible, it also requires them in private to get into those discussions with us",['ofoc']
1171116173334843392,1012346602709815296,negative,remain,2019-09-09T17:40:28.000Z,"@BorisJohnson @CCHQPress +++ anyone up for solving problems ...+++

...that need to be created first?

#Brexit  #StopBrexit #News #today #johnson #britain #OFOC #conservatives",['ofoc']
1171144030278836224,1012346602709815296,negative,remain,2019-09-09T19:31:10.000Z,"@guyverhofstadt .
+++ really worries me that... +++

One of the few that cherish this democracy is going - and one who showed his colleagues the boundaries!

Shame on the TORIES that they can’t see that!
#Brexit  #StopBrexit #News #today #johnson #britain #OFOC #conservatives",['ofoc']
1171265120804249600,1012346602709815296,neutral,other,2019-09-10T03:32:20.000Z,"@CarolineLucas ++++ This Country can consider itself lucky...

...that it choose to declare war on itself.

This ‚leadership‘ team cannot agree on anything- 

- totally ineffective!
#Brexit  #StopBrexit #News #today #johnson #britain #OFOC #conservatives",['ofoc']
1171470962887258112,404281100,neutral,other,2019-09-10T17:10:17.000Z,"https://t.co/6jRFlulcf1 #Brexit #Labour #Corbyn #MPs4adeal #PeoplesVote #OFOC #EFTA #EEA #EuropeanCommission #vonderLeyen #AKK #Merkel #Macron #FBSI

""#Brexit will be the start of a new relationship between the #UK and the #EU""

A confederation, rather than the current federation",['ofoc']
1171801434507137024,152778366,positive,remain,2019-09-11T15:03:27.000Z,@johnnylucas1 gave a measured &amp; practical rationale of the UK's place in the world &amp; economic prospects post brexit versus @PatrickChristys rather nebulous unicorn leaning 'we're a big economy' outlook on @KateBurley - give Lucas more airtime! #FBPE #OFOC,['ofoc']
1172034888515620864,1012346602709815296,negative,remain,2019-09-12T06:31:07.000Z,".
+++++. BREXIT IS OK ++++

Mandatory reading for all who think the above is...
https://t.co/95qMZ9qU1V
READ IT YOURSELF!!!
#Brexit  #StopBrexit #News #today #johnson #britain #OFOC #conservatives",['ofoc']
