t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
991226892043870208,71211212,positive,other,2018-05-01T08:04:41.000Z,@david172nero @Samantha4Labour @LibDems #Remain voters that vote labour are brexit supporters because their votes will be interpreted that way afterwards. #PCPEU means brexit supporter and we all know it because corbyn has always under minded #remain.,['pcpeu']
991226892043870208,71211212,positive,other,2018-05-01T08:04:41.000Z,@david172nero @Samantha4Labour @LibDems #Remain voters that vote labour are brexit supporters because their votes will be interpreted that way afterwards. #PCPEU means brexit supporter and we all know it because corbyn has always under minded #remain.,['pcpeu']
991252873379041280,4219792762,neutral,remain,2018-05-01T09:47:56.000Z,"Just for Liam Fox &amp; hard Brexiteers ......the promises can't be delivered &amp; don't add up

#Brexit #BrexitShambles #PCPEU #FBPE #Peston #Marr #WATON #LBCLIVE #skynews #bbcdp #bbcqt #bbcsp #C4News https://t.co/IoXsGTLEMi",['pcpeu']
991252873379041280,4219792762,neutral,remain,2018-05-01T09:47:56.000Z,"Just for Liam Fox &amp; hard Brexiteers ......the promises can't be delivered &amp; don't add up

#Brexit #BrexitShambles #PCPEU #FBPE #Peston #Marr #WATON #LBCLIVE #skynews #bbcdp #bbcqt #bbcsp #C4News https://t.co/IoXsGTLEMi",['pcpeu']
991292355260108800,302938456,positive,other,2018-05-01T12:24:49.000Z,"labour will NOT be forgiven if they don't change their Brexit stance, and they will lose the next general election. if you support labour (or you just don't want 9 more years of the tories), vote pro-EU on thursday and give labour a kick up the arse! #ABTV #WATON #PCPEU https://t.co/Q0e4oAGWym",['pcpeu']
991292355260108800,302938456,positive,other,2018-05-01T12:24:49.000Z,"labour will NOT be forgiven if they don't change their Brexit stance, and they will lose the next general election. if you support labour (or you just don't want 9 more years of the tories), vote pro-EU on thursday and give labour a kick up the arse! #ABTV #WATON #PCPEU https://t.co/Q0e4oAGWym",['pcpeu']
991717461425876992,1625586576,neutral,other,2018-05-02T16:34:02.000Z,"#pcpeu 
Remember if you dont want brexit and 79% of labour members dont then if you vote brexit in local elections you legitimise corbyns position supporting lexit.
Tell him what you think  #ABTVtoStopBrexit 
Vot lib dems cymru green independant but not tory or labour.
@UKLabour https://t.co/bKGgTjPWbF",['pcpeu']
991717461425876992,1625586576,neutral,other,2018-05-02T16:34:02.000Z,"#pcpeu 
Remember if you dont want brexit and 79% of labour members dont then if you vote brexit in local elections you legitimise corbyns position supporting lexit.
Tell him what you think  #ABTVtoStopBrexit 
Vot lib dems cymru green independant but not tory or labour.
@UKLabour https://t.co/bKGgTjPWbF",['pcpeu']
992318364944093184,4219792762,neutral,leave,2018-05-04T08:21:49.000Z,"Tories benefit from UKIP collapse

- Future of Tory party rests with a vote leave electorate.  
- Tories have to deliver hardest of Brexit that satisfies leave vote electorate  

Let that sink #LibDems #FBPE #PCPEU #Brexit 

https://t.co/JsjBRtSWoQ",['pcpeu']
992318364944093184,4219792762,neutral,leave,2018-05-04T08:21:49.000Z,"Tories benefit from UKIP collapse

- Future of Tory party rests with a vote leave electorate.  
- Tories have to deliver hardest of Brexit that satisfies leave vote electorate  

Let that sink #LibDems #FBPE #PCPEU #Brexit 

https://t.co/JsjBRtSWoQ",['pcpeu']
992536417640353792,233300320,neutral,remain,2018-05-04T22:48:17.000Z,"Hmmm, there seems to be a faint correlation with remain voting areas and areas that supported Parliament during the English Civil War... Major cities, Scotland parts of the midlands. East Anglia throws it out a bit, I guess. #history #brexit #FBPE #PCPEU #LeaveEU #Twitterstorians",['pcpeu']
992536417640353792,233300320,neutral,remain,2018-05-04T22:48:17.000Z,"Hmmm, there seems to be a faint correlation with remain voting areas and areas that supported Parliament during the English Civil War... Major cities, Scotland parts of the midlands. East Anglia throws it out a bit, I guess. #history #brexit #FBPE #PCPEU #LeaveEU #Twitterstorians",['pcpeu']
992636802375782400,286332390,positive,remain,2018-05-05T05:27:10.000Z,"Council seats:   Brexit Remain won the night by a large margin.
Number of seats:       149 of 150 councils reporting
Brexit Remain wins:   +77
Brexit Leave wins:      -176

#PeoplesVote
#Brexit
#FBPE
#StopBrexit
#PCPEU
#JC4PM https://t.co/EZ1BazC7u7",['pcpeu']
992636802375782400,286332390,positive,remain,2018-05-05T05:27:10.000Z,"Council seats:   Brexit Remain won the night by a large margin.
Number of seats:       149 of 150 councils reporting
Brexit Remain wins:   +77
Brexit Leave wins:      -176

#PeoplesVote
#Brexit
#FBPE
#StopBrexit
#PCPEU
#JC4PM https://t.co/EZ1BazC7u7",['pcpeu']
992646917585809408,501139438,neutral,remain,2018-05-05T06:07:22.000Z,"#Brexit plan drawn up for border checks between NI and rest of UK. 

#BrexitConsequences #Toldyouso #SameOldTories #StopToryBrexit #PCPEU #FBPE 

https://t.co/yDPk8zLV4P",['pcpeu']
992646917585809408,501139438,neutral,remain,2018-05-05T06:07:22.000Z,"#Brexit plan drawn up for border checks between NI and rest of UK. 

#BrexitConsequences #Toldyouso #SameOldTories #StopToryBrexit #PCPEU #FBPE 

https://t.co/yDPk8zLV4P",['pcpeu']
992771735744335872,319619581,negative,remain,2018-05-05T14:23:21.000Z,"@Tony_Robinson Absolutely spot on Tony. I was trying to explain this to someone last night but they seem impervious to facts or reality.

The public don't like #Corbyn

Labour voters don't want #Brexit

#LabourParty #Corbyn #Momentum #JC4PM #Brexit #StopBrexit #PeoplesVote #PCPEU https://t.co/CJpjGo3Lut",['pcpeu']
992771735744335872,319619581,negative,remain,2018-05-05T14:23:21.000Z,"@Tony_Robinson Absolutely spot on Tony. I was trying to explain this to someone last night but they seem impervious to facts or reality.

The public don't like #Corbyn

Labour voters don't want #Brexit

#LabourParty #Corbyn #Momentum #JC4PM #Brexit #StopBrexit #PeoplesVote #PCPEU https://t.co/CJpjGo3Lut",['pcpeu']
993259351715602432,319619581,positive,other,2018-05-06T22:40:57.000Z,"@milo1234 But Milo, two years before a General Election, #Labour used to be capable of this... 👇🏻

https://t.co/Zyw8nyvXuu

#LabourParty #Corbyn #PCPEU #Momentum #JC4PM #Brexit #LocalElections #LocalElections2018",['pcpeu']
993259351715602432,319619581,positive,other,2018-05-06T22:40:57.000Z,"@milo1234 But Milo, two years before a General Election, #Labour used to be capable of this... 👇🏻

https://t.co/Zyw8nyvXuu

#LabourParty #Corbyn #PCPEU #Momentum #JC4PM #Brexit #LocalElections #LocalElections2018",['pcpeu']
993406869501816832,268505974,negative,other,2018-05-07T08:27:08.000Z,@GDE60 I don't know whether #Corbyn's current #Brexit stance is due to the influence of his hardline anti #EU advisors like #SeamusMilne but that's at least possible. And I'd far rather Corbyn supporters keep the pressure on Corbyn rather than they abandon #Europe. #PCPEU #Labour,['pcpeu']
