t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1087740152225689600,142883006,positive,remain,2019-01-22T15:53:56.000Z,Being #ProEU &amp; #Remain is cross party. I'm a member of @TheGreenParty &amp; I'm happy to share #ProEU #Remain #PeoplesVote with people from all parties. I don't get why some members of @UKLabour have a problem with this. No political party has exclusive rights to opinion on #Brexit. https://t.co/qosC1m3bDS,['proeu']
1088137643735568384,367241046,positive,other,2019-01-23T18:13:25.000Z,Sick of #Brexiter hypocrisy? Me too! Great response @DrRosena 👌🏻 #proEU #EU #hardremain #remain #Brexit #Peoplesvote https://t.co/sJ2OXrtHGQ,['proeu']
1089948091153899520,20724056,positive,other,2019-01-28T18:07:29.000Z,"Stupid remain comment of the day “scaremongering, would do the country good to do without for awhile, makes us appreciate what we have” words fail me!  #Brexit #ProEU #PeoplesVote",['proeu']
1090192641495568384,142883006,positive,remain,2019-01-29T10:19:15.000Z,"@UKLabour chose to sacrifice support of #Remain socialists in favour of racist #Leave bigots to support #Brexit &amp; #ImmigrationBill. If you feel unrepresented by Labour join @TheGreenParty, #ProEU with a strong social conscience at the heart of it's values.",['proeu']
1091688044430802944,142883006,positive,other,2019-02-02T13:21:27.000Z,"All people of whatever political party or no party are entitled to be #ProEU, #Leave or #Remain. A GE before resolving #Brexit issues and without a mandate for that resolution would be undemocratic. Continued... https://t.co/vYaw7A2HHL",['proeu']
1093672133681664000,1085315440941957120,neutral,leave,2019-02-08T00:45:30.000Z,Tweeting this simply sooooooo I can pin📌 it to my profile #Brexit #EU #Remain #ProEU https://t.co/Cdllz6qMpT,['proeu']
1095021307727671296,21787554,negative,other,2019-02-11T18:06:38.000Z,"Call me #paranoid but inanimate objects keep referencing #Brexit. I get it, it's a big deal for you too. #paranoia #preoccupied #onetrackmind #ruminations #change #certainty #loss #mistakes #politics #EU #IloveEU #proEU #Remain #Leave https://t.co/aaZGnyUgJh https://t.co/vrm3VHnA4B",['proeu']
1095066019343843328,142883006,positive,leave,2019-02-11T21:04:19.000Z,"What's funny about @UKLabour refusing delivery of a petition signed by 45,000 of it's members.❓🆘😱

Nope, I don't get it.🤔

@CarolineLucas and the leadership of @TheGreenParty are #ProEU &amp; anti #Brexit support a #PeoplesVote, #Democracy &amp; #FreedomOfSpeech.🇪🇺👏😃 https://t.co/FoY7ojgRbc",['proeu']
1095327800830046208,1446248749,positive,remain,2019-02-12T14:24:32.000Z,Anti-Brexit protestor appears completely naked on 'Good Morning Britain' https://t.co/xYmX7Ly4nT I support #DrVictoriaBateman #StopBrexit #Remain #ProEU #PeoplesVote,['proeu']
1098310914439331840,21189641,positive,remain,2019-02-20T19:58:22.000Z,"@ChukaUmunna @TheIndGroup Finally a party that represents the interests of the 48% 👏🏼 Don’t mess this up, we’re counting on you! 🙏🏼 #Remain #proEU #TIG #independentparty #brexit",['proeu']
