t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
877538424487649280,747697378782810112,positive,remain,2017-06-21T14:47:18.000Z,Don't forget to send Theresa May an #EUref anniversary postcard! #StopBrexit #Brexit #McrStillLovesEU #Remain https://t.co/25tQCmN4JC,['remain']
877542764375834624,849545780935499648,positive,other,2017-06-21T15:04:33.000Z,"EU UK Remain QUEEN, we love you, you are our Remsin leader ! #akertino #EU #Brexit #UK #Remain #future #Europe #logistics #Leadership https://t.co/riJ1O4O5wX",['remain']
877553815406481408,20931292,neutral,other,2017-06-21T15:48:28.000Z,@JohnStabler @DavidLammy @rosbarber Quite. #brexit sets rules by which everything will then follow. I would vote #tory for 1st and only time if they went #remain,['remain']
877560220830060544,746371177174679552,negative,remain,2017-06-21T16:13:55.000Z,"Theresa May will not unite the country. #Brexit absolutely divides it. No forgetting, no forgiving. 
#StopBrexit #Remain",['remain']
877578001180794880,780840449963532160,positive,remain,2017-06-21T17:24:34.000Z,"corrydes: RT nickreeves9876: A very useful list of #LeaveLies by RCorbettMEP https://t.co/KdYOlBrAzD
#Brexit #StopBrexit #Remain",['remain']
877610444910940160,409161771,neutral,other,2017-06-21T19:33:29.000Z,"coming together and uniting in our dislike of brexit in any form. Can’t see any opportunities in brexit
#Remain https://t.co/LnXAwgmQQJ",['remain']
877581877774823424,799336041337540608,neutral,other,2017-06-21T17:39:59.000Z,"Via @euronews: Are #EU against #Brexit , m’am? #Queen ’s outfit sparks #Remain  debate. #QueensSpeech  https://t.co/LusFclCSx5",['remain']
877586536845508608,2704124254,negative,remain,2017-06-21T17:58:29.000Z,"@DanielJHannan Yes, the trajectory of public spending is going to collide with the downturn caused by #Brexit. Hard hats needed, all bets off. #Remain",['remain']
877628156856811520,2350648896,negative,remain,2017-06-21T20:43:52.000Z,"Best brexit is no brexit. Soft brexit or hard brexit are worse than no brexit.
#remain https://t.co/IeYPlvlZYp",['remain']
877597993603665920,240842604,neutral,other,2017-06-21T18:44:01.000Z,#Brexit needs to be stopped Scotland please start bringing common sense back to politics #Remain https://t.co/TErhg3pHqq,['remain']
877628848380067840,103029808,negative,other,2017-06-21T20:46:37.000Z,Just make it anti any Brexit...look..people thought we lost sovereignty and can't control borders. Just reveal the truth! Simples! #Remain https://t.co/sSHHmQTnL7,['remain']
877643078919651328,1932207270,positive,other,2017-06-21T21:43:10.000Z,"@NicolaSturgeon Please, if possible, do all you can to save us from the Tory/Labour's Brexit policy #Remain #NotInMyName #LyingLiarsWhoLie @acgrayling",['remain']
877614504405868544,300336761,positive,other,2017-06-21T19:49:37.000Z,"Come on #Remain MPs, especially #Tories, stand up and be counted. Have some integrity! Even #Brexit based on lies should at least 48% of you https://t.co/1RWx7L50QP",['remain']
877662134771077120,281603081,negative,remain,2017-06-21T22:58:53.000Z,Buckingham Palace had to make a formal complaint over the false claim the Queen backed Brexit. Will that happen for the EU hat? #Remain https://t.co/Zq2aVLrt86,['remain']
877635155329916928,98234165,neutral,remain,2017-06-21T21:11:41.000Z,Was the Queen dressed for remain? #remain #brexit #inout #europe #queenshat #openingofparliament https://t.co/Iy6bMLLIPx,['remain']
877635639667154944,1066376958,positive,remain,2017-06-21T21:13:36.000Z,Very good question #remain #brexit #labour #turnips4all https://t.co/Sq0Ur2StxT,['remain']
877637143946031104,780840449963532160,neutral,remain,2017-06-21T21:19:35.000Z,MsMottram: RT albawhitewolf: #brexitmeansbrexit means we lose all of these things... #remain #StopBrexit #Brexit… https://t.co/Ff49ZcvKqi,['remain']
877637157267144704,780840449963532160,neutral,remain,2017-06-21T21:19:38.000Z,hickychip: RT albawhitewolf: #brexitmeansbrexit means we lose all of these things... #remain #StopBrexit #Brexit… https://t.co/Ff49ZcvKqi,['remain']
877673963152867328,722194882417336320,negative,leave,2017-06-21T23:45:53.000Z,"#brexitmeansbrexit and the Queen doesn't approve! #QueensSpeech ""Fuck Brexit. That is all!"" #Remain @CaptainSKA @spaceangel1964 @ChelsClive https://t.co/jAKMXcxXu9",['remain']
877647132316061696,780840449963532160,neutral,remain,2017-06-21T21:59:16.000Z,Mishka911: RT albawhitewolf: #brexitmeansbrexit means we lose all of these things... #remain #StopBrexit #Brexit… https://t.co/Ff49ZcvKqi,['remain']
877647180122787840,780840449963532160,neutral,remain,2017-06-21T21:59:28.000Z,boffchops: RT albawhitewolf: #brexitmeansbrexit means we lose all of these things... #remain #StopBrexit #Brexit… https://t.co/Ff49ZcvKqi,['remain']
877648082367893504,304852634,neutral,remain,2017-06-21T22:03:03.000Z,@scottsmith850 Should be in 1831 surely? Thought the Factories Acts were passed in 1832.....?  #brexit #remain,['remain']
877655982196662272,4854575801,negative,remain,2017-06-21T22:34:26.000Z,"#remain - #May is dumb as.... 
No #brexit, #EU28 #Europe #QueenSpeech https://t.co/yGMbvMsFLn",['remain']
877675373630193664,780840449963532160,neutral,remain,2017-06-21T23:51:30.000Z,Krissie_r: RT albawhitewolf: #brexitmeansbrexit means we lose all of these things... #remain #StopBrexit #Brexit… https://t.co/Ff49ZcvKqi,['remain']
877679375696748544,780840449963532160,neutral,other,2017-06-22T00:07:24.000Z,"weloveeconomics: RT weloveeconomics: #Brexit is SOCIAL DUMPING sold under the name of ""SOVEREIGNTY""! #remain #St… https://t.co/3R8YnOoKjP",['remain']
877679380171980800,780840449963532160,neutral,remain,2017-06-22T00:07:25.000Z,"geor97: RT weloveeconomics: #Brexit is SOCIAL DUMPING sold under the name of ""SOVEREIGNTY""! #remain #StopBrexit … https://t.co/3R8YnOoKjP",['remain']
877689396836913152,835975173660631040,negative,other,2017-06-22T00:47:13.000Z,"@Tatu_s21 There was a slim gerrymandered majority for a hand-waving slogan. There is absolutely no majority for a real #Brexit deal.
#Remain",['remain']
877713173972787200,502064476,negative,other,2017-06-22T02:21:42.000Z,"A thoughtful article. We can bear the humiliation, learn from this fiasco, but what we can't bear is #Brexit. We MUST find a way to #Remain https://t.co/1RgN3924QB",['remain']
877761889542979584,1896835741,negative,other,2017-06-22T05:35:17.000Z,"@fightbrexit @LibDems No, I disagree. No Brexit means Out with no guarantee of citizens' rights; only sane conclusion is to #Remain! .@LibDemNewbiesUK",['remain']
877763916268437504,849174960597864320,positive,other,2017-06-22T05:43:20.000Z,@DavidDavisMP @MichelBarnier Please remember that the UK government does not speak for me negotiating any brexit deal. #remain,['remain']
877798270332002304,780840449963532160,negative,remain,2017-06-22T07:59:51.000Z,"fussychick66: RT albawhitewolf: Queen's Speech: ""FUCK BREXIT! That is all..."" #remain #stopbrexit #brexitshamble… https://t.co/jLOOVN4dcY",['remain']
877773975476162560,780840449963532160,neutral,remain,2017-06-22T06:23:18.000Z,Annie_Osb: RT albawhitewolf: #brexitmeansbrexit means we lose all of these things... #remain #StopBrexit #Brexit… https://t.co/Ff49ZcvKqi,['remain']
877776165053837312,637020510,negative,remain,2017-06-22T06:32:00.000Z,"Leave or let live? Oppositon in Parliament against Theresa #May's hard #Brexit is growing 
https://t.co/WHgXrl8eHj #Remain #EU",['remain']
877777992172306432,780840449963532160,neutral,remain,2017-06-22T06:39:16.000Z,sabine_eh: RT albawhitewolf: #brexitmeansbrexit means we lose all of these things... #remain #StopBrexit #Brexit… https://t.co/Ff49ZcvKqi,['remain']
877812203944112128,780840449963532160,neutral,remain,2017-06-22T08:55:13.000Z,EU_Remain_2017: Post-Brexit polls on Irish and Scots unions are more likely https://t.co/F8MCCvOeIa #SNP #Indyref2 #Remain #StopBrexit,['remain']
877813918223155200,13841812,negative,remain,2017-06-22T09:02:01.000Z,@JohnSimpsonNews Same here. I fear the extremists have taken over. Brexit is a cover for deep divisions #Remain,['remain']
877784530362355712,859068475569995648,positive,remain,2017-06-22T07:05:15.000Z,"I love these #remain spoof accounts.

It's good to see some good humour being injected into the debate (which was over last year)

#brexit https://t.co/g6H9OvDTjd",['remain']
877816331541794816,780840449963532160,negative,remain,2017-06-22T09:11:37.000Z,annetteashley61: RT dotdotdot17345: Brexit is not inevitable stop talking as though it is #StopBrexit #remain #c… https://t.co/nFt9KjuWuF,['remain']
877817520182378496,830108138980388864,negative,remain,2017-06-22T09:16:20.000Z,First stop Madrid as Davis seeks to build Brexit bridges https://t.co/5bxm8FvbwL #StopBrexit #Remain #StopMay #StopTories #BargainingChip,['remain']
877818523409690624,780840449963532160,negative,remain,2017-06-22T09:20:19.000Z,EU_Remain_2017: First stop Madrid as Davis seeks to build Brexit bridges https://t.co/GvaNz9tgNN #StopBrexit #Remain #StopMay #StopTories…,['remain']
877820295033348096,311437814,positive,other,2017-06-22T09:27:22.000Z,Brilliant! That'll teach May for forcing 'her Maj' to have to utter the word brexit during her speech yesterday. #remain @ElizabethUKRPG https://t.co/G73JJ7Diyj,['remain']
877790286587375616,28969084,negative,remain,2017-06-22T07:28:07.000Z,"@Eureluctantvote @EUflagmafia I'd say so, bet she is not amused by the #brexit chaos - HRH is a #stayer #royalhat #EUflag #remain",['remain']
877791128321482752,2473900885,positive,leave,2017-06-22T07:31:28.000Z,Just heard @PhilipHammondUK on radio claiming even #Remain voters now behind #Brexit. No they aren't. Repeating a lie doesn't make it true.,['remain']
877821856052420608,292252757,positive,remain,2017-06-22T09:33:34.000Z,"If #remain had won, this would have been their Brexit Bus equivalent. https://t.co/DnpuLjlrEn",['remain']
877795182451798016,19533215,positive,leave,2017-06-22T07:47:34.000Z,"@campbellclaret @jacquep Totally agree. People vote for many reasons &amp; many voted tactically. #Brexit polls show 2nd EUref would be close, #Remain trending upwards.",['remain']
877795255457693696,76908013,positive,remain,2017-06-22T07:47:52.000Z,@Simplex2014 @twobuttondave @PhilipHammondUK I'm so far away from supporting #Brexit at voting #Remain I left the country.,['remain']
877796138782302208,833341529108398080,positive,remain,2017-06-22T07:51:22.000Z,"#stopbrexit #remain @WriterInPyjamas @BrexitBin @brexit_sham #brexit @TheNewEuropean
Call us a #hatter in thanks to Her Majesty
PLEASE #RT https://t.co/ENzsMQK3tY",['remain']
877797787617951744,2396188842,positive,remain,2017-06-22T07:57:55.000Z,@JohnSimpsonNews How much better wld most of us be feeling if we woke up tomorrow 2 find #Brexit was reversed &amp; we were 2 #Remain with our current deal.,['remain']
877798554387042304,140743052,neutral,remain,2017-06-22T08:00:58.000Z,#Thursdaythoughts In EU UK had influence but outside it is a small island off mainland Europe so why #brexit #remain before too late https://t.co/bzecLMWgVt,['remain']
877801740703211520,19737013,positive,leave,2017-06-22T08:13:38.000Z,"@TheGreatRemain Bang go the innovative jams that the world will be clamouring to buy; still, at least we've got our sovereignty #r4today #Brexit #Remain",['remain']
877804843062050816,116241447,positive,remain,2017-06-22T08:25:58.000Z,"As a #Remain supporter in #Brexit and truly thankful for EU law, I find this disappointing to say the least
https://t.co/oUCbUIICw7",['remain']
877805016261824512,480671308,negative,remain,2017-06-22T08:26:39.000Z,I fully expect the @theSNP to block #brexit Scotland voted to #remain 🇪🇺#GameOn https://t.co/pQR7M2TgWA,['remain']
877808115265044480,2396188842,neutral,leave,2017-06-22T08:38:58.000Z,I wonder how many of the young #Remain voting ppl will be buying the Mail in future. ..maybe they need to rethink their #Brexit stance https://t.co/PE1ywi7q0W,['remain']
877813582188208128,3194732127,negative,leave,2017-06-22T09:00:41.000Z,Looking past party politics there are only 3 endgames: (a) Norway/Swiss-type model (soft Brexit) (b) #Brexit bus crash (c) #Remain in EU https://t.co/sAHazUGqoV,['remain']
877816241326567424,334666639,negative,remain,2017-06-22T09:11:15.000Z,"After 7 years of austerity the govt deficit is set to rise from £47bn to £58bn.  Well done #Brexit.
#StopBrexit #Remain #MayMustGo https://t.co/6UTADdiPBi",['remain']
877834623950045184,53557515,positive,other,2017-06-22T10:24:18.000Z,"@ebymarketing @Independent Interesting tories want to include labour in the ""exit"" process. U.K. Electorate will not accept brexit divorce bill #brexit #Remain",['remain']
877844483118960640,780840449963532160,neutral,other,2017-06-22T11:03:28.000Z,"janehparkinson: RT weloveeconomics: #Brexit is SOCIAL DUMPING sold under the name of ""SOVEREIGNTY""! #remain #Sto… https://t.co/3R8YnOoKjP",['remain']
877844745677975552,321228233,positive,remain,2017-06-22T11:04:31.000Z,"Dear @theresa_may I really hope your #Brexit plans fail.
#justsaying because I wish to #Remain an #EU citizen rather than a #Tory pawn.",['remain']
877854564598374400,780840449963532160,neutral,other,2017-06-22T11:43:32.000Z,"baroncols: RT weloveeconomics: #Brexit is SOCIAL DUMPING sold under the name of ""SOVEREIGNTY""! #remain #StopBrex… https://t.co/3R8YnOoKjP",['remain']
877855736897949696,21009103,negative,remain,2017-06-22T11:48:12.000Z,"#Brexit can still be stopped. Hitler could still have been stopped in 1936, 1937, 1938. All that's needed is the political will. #Remain",['remain']
877858684491182080,780840449963532160,neutral,other,2017-06-22T11:59:54.000Z,"jamesellroi: RT weloveeconomics: #Brexit is SOCIAL DUMPING sold under the name of ""SOVEREIGNTY""! #remain #StopBr… https://t.co/3R8YnOoKjP",['remain']
