t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
817834214557097984,2965188994,negative,other,2017-01-07T20:44:06.000Z,"#Remainer fails to see irony in criticising EU for absence of any UK plan beyond ""#Brexit means #Brexit"" &amp; ""red white &amp; blue"" in 6 months. https://t.co/wYkeSWKnKm",['remainer']
818452424818040832,1364883962,negative,other,2017-01-09T13:40:38.000Z,"@Scientists4EU @dinamedland Oh, hysterical. A 30year old joke with an anti democratic overlay. #Brexit has more wings, even for a #Remainer.",['remainer']
819181698705477632,729332851909464064,negative,remain,2017-01-11T13:58:31.000Z,"Relax, it's the weather not #brexit crashing the Pound,
or #remainer defeatism
Other ludicrous explanations welcome
@peterjukes https://t.co/bcB3KYn1wB",['remainer']
819218064856195072,582230554,negative,other,2017-01-11T16:23:01.000Z,@PrettyHatMech @business @realDonaldTrump @theresa_may #Remainer shits such as Tim Farron are resorting to smear tactics now. #Brexit,['remainer']
820291156000972800,702454193882337280,negative,other,2017-01-14T15:27:06.000Z,"Thats what I think, cross party #remainer collaboration with an end to incessant in-fighting is only way to block nation killing #brexit https://t.co/SJ9iy0jv7D",['remainer']
820605979884748800,3230411055,negative,remain,2017-01-15T12:18:06.000Z,May: leaver and #remainer to come together to make brexit work: it will never happen. She will ruin the #UK,['remainer']
820735034583842816,3656559557,negative,remain,2017-01-15T20:50:55.000Z,‘They’re THWARTING the will of the people’ Fury at last-ditch #REMAINER PLOT to stop #Brexit https://t.co/C8Z70IAYnM,['remainer']
820934652206731264,2948754154,neutral,other,2017-01-16T10:04:07.000Z,"Will Stoke Central Labour have the sense to select a candidate who believes in #Brexit?
Choose a #Remainer and lose the seat! #wrightstuff",['remainer']
821236918356705280,234015092,positive,other,2017-01-17T06:05:13.000Z,That #remainer b#llsh!t about eu supplying nhs staff omits to note their #culture's lacking in #empathy &amp; real #care! #frankenstein. #BrExit,['remainer']
821278178417250304,243641517,negative,remain,2017-01-17T08:49:11.000Z,"Genuinely scared of @theresa_may 's madness. Also, everyone who voted for this, I hope it's starting to sink in #Brexit #Remainer",['remainer']
821328409523585024,1087434823,neutral,other,2017-01-17T12:08:47.000Z,#brexit gobbledygook from PM who was actually a #remainer ! How can this be taken seriously? How can this be sincere?,['remainer']
821397203155619840,106563755,negative,other,2017-01-17T16:42:08.000Z,"The #Brexit statement isn't a catastrophe, we are able to strike our own, independent trade deals globally. I was a #remainer",['remainer']
821472878474432512,797410821475340160,neutral,remain,2017-01-17T21:42:51.000Z,"This is how I feel toward all carping, wheedling, Juncker-fellating, UK-hating, #EU-fetishising, craven #Remainer pond-life tonight. #Brexit https://t.co/vphkCdwmvj",['remainer']
821858960609263616,719983077360078848,neutral,other,2017-01-18T23:17:00.000Z,Get this message May. #HardBrexit #dividedbritain #brexitshambles #brexit #NoWayMay #48 #remainer #TheresaMay #HardBrexit https://t.co/bHiOqgN9op,['remainer']
822057173513601024,19533344,neutral,leave,2017-01-19T12:24:37.000Z,As a #Remainer having just watched @ManfredWeber on #DailyPolitics I can understand why some voted for #Brexit,['remainer']
823137613754368000,47205562,negative,other,2017-01-22T11:57:54.000Z,Incredible #remainer mp's and Branson behind attempts to cause #Brexit to fail following agenda to sabotage UK trade #talkingdownUK #brexit,['remainer']
823806673915625472,702454193882337280,neutral,other,2017-01-24T08:16:31.000Z,"What happened to parliamentary opposition to #brexit. So many #remainer #Tory &amp; #Labour MPs have suddenly caved in, why? Pse tweet your view",['remainer']
823873251810086912,804307117616275328,negative,other,2017-01-24T12:41:04.000Z,#brexitruling - at least now it'll be legal when parliament votes to leave.  No change of verdict. #brexit #SupremeCourt #remainer https://t.co/PRTx0QDtyG,['remainer']
823961090786791424,51854911,negative,remain,2017-01-24T18:30:07.000Z,"@samuelgmccarthy I'm an old #Remainer, I saw #Brexit coming, driven by xenophobia, a darker agenda &amp; economic illiteracy. I'm off. 😄🇪🇺",['remainer']
