t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1106314612264325120,1095425401667707008,negative,remain,2019-03-14T22:02:12.000Z,There is a now a chance @theresa_may deal will pass because of fear. Everyone knows it’s crap. #Remainers will say “told you” &amp; #Brexiteers will claim it’s not their #Brexit. No one will own it. “It was done wrong” they’ll say. #psychic,['remainers']
1106337450593390592,165762563,negative,other,2019-03-14T23:32:57.000Z,@bbcquestiontime The biggest problem has been the PM and most of her cabinet being #Remainers and not wanting to #Leave and doing all she can to stop #Brexit It would already have been done with #Leavers in charge. #bbcqt,['remainers']
1106500739424288768,556258848,negative,leave,2019-03-15T10:21:48.000Z,@Jacob_Rees_Mogg calling 16.4 million voters losers and have of leavers wanting a people’s vote what a tweet to destroy tory seats keep gong utter tool #brexit #Remainers #remain,['remainers']
1106544340254494720,1001504126864449536,negative,leave,2019-03-15T13:15:03.000Z,"@BBCPolitics Confused about #Brexit? Join us in #Brexitopia
#leavers and #remainers - come one come all
#TOMORROWNOW

https://t.co/MReEV3izX6",['remainers']
1106553997744398336,789931818644561920,positive,leave,2019-03-15T13:53:26.000Z,"#Wetherspoon boss Tim Martin attacks #Remainers after pub chain's profits plummet.

Um..hasn't he had to raise wages to the legal minimum........and hasn't the cost of imported beers, wines &amp; spirits increased as a result of #Brexit devaluing the pound?

 https://t.co/rIk8A2kEqG",['remainers']
1106565695293321216,1888089290,neutral,other,2019-03-15T14:39:55.000Z,#Brexit-backing #Wetherspoon boss lashes out at #Remainers in company report https://t.co/p2WLjmkhBY,['remainers']
1106604494136246272,3825095921,negative,remain,2019-03-15T17:14:05.000Z,"I do not think I am alone in thinking all these people 
#fbpe
#remainers
#lefties

Using the awful scenes in NZ as propaganda for anti brexit.

Quite frankly it is disgusting shame on all off you.",['remainers']
1106623492882087936,231520553,neutral,leave,2019-03-15T18:29:35.000Z,"Wetherspoon boss Tim Martin attacks Remainers after pub chain's profits plummet | The Independent

When you're all over the media pushing #Brexit pal, I think this is known as schadenfreude! 
Leave us #Remainers alone and accept responsibility!  https://t.co/kfubEN7DTu",['remainers']
1106636436768542720,711945679,negative,remain,2019-03-15T19:21:01.000Z,"🇬🇧As MPs call #remainers 'losers (#JacobReesMogg , or abuse @snb19692 by calling him a *anker, and then patting your slimy mate on the back for doing so (@damiangreen &amp; @michaelgove disrespectively)🇪🇺
👿Let's remind ourselves who's going to suffer from their #Brexit
#stopbrexit https://t.co/Yck2Mkg06W",['remainers']
1106660272910098432,292679847,neutral,leave,2019-03-15T20:55:44.000Z,"#BREXIT will prevail, #Brexit woes, what an utter load of bollox, we are #British, we are born survivors and that is a Fact. 
#FCUK all #Treacherous #Remainers",['remainers']
