t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1090623343236182016,240402040,positive,remain,2019-01-30T14:50:42.000Z,When u put it like that... #fbpe #brexit #notobrexit #bresistance #britisheuropeans #bellaciao #stopbrexit #remainer #remain #BrexitShambles #BrexitChaos #BrexitVote #brexitdebate #PeoplesVote #remainineu https://t.co/mR7v3fiLQR,['remainineu']
1090651996582019072,1064248215933980672,negative,remain,2019-01-30T16:44:33.000Z,They should feel the pain and suffer seeing as how they and their like inflicted Brexit on the rest of us. Instead they are going to be subsidised as all the leave areas will suffer worst after Brexit #RevokeArticle50 #PeoplesVote #StopBrexit #RemainInEU #PVB4GE #indyref2 https://t.co/zFnBj47ffT,['remainineu']
1091228751390625792,3083023038,negative,other,2019-02-01T06:56:23.000Z,#Brexit is shelved for now or shall we say dead! #UKIP is also dead #Remain #RemainInEU #remainernow can rejoice Corbyn's #LabourLeave bad for UK progressives,['remainineu']
1091360903348523008,1064248215933980672,negative,remain,2019-02-01T15:41:30.000Z,"@Craig_View @zolq @yardley_rob @brexit_sham If the GFA bites the dust as a result of Brexit we could see our own Sectarian War reintroduced across the Irish Sea. 
#RevokeArticle50 #PeoplesVoteNow #RemainInEU #StopBrexit #PVB4GE #indyref2",['remainineu']
1091399555000795136,1064248215933980672,positive,remain,2019-02-01T18:15:05.000Z,"@Channel4News @AngieMeader Her real concern is for her job, nothing more than that. She’s another MP in the me first, party second, Brexit third and nothing else matters club! Especially the country’s and everyone of its citizens.

#revokeArticle50 #PeoplesVoteNow #RemainInEU #StopBrexit #PVB4GE #indyref2",['remainineu']
1091408773032407040,1064248215933980672,positive,other,2019-02-01T18:51:43.000Z,"@dbackont @FAO_Scotbot I’m a practicing RC and I ain’t gonna have a showdown with anyone. Except the unrepresentative Westminster rabble that love a showdown.
Except for @jeremycorbyn who supports his opposite number in delivering a No Deal Brexit. #RevokeArticle50 #PeoplesVoteNow #RemainInEU #indyref2",['remainineu']
1091665630091268096,1064248215933980672,neutral,remain,2019-02-02T11:52:23.000Z,"@compboy1972 @brexit_sham @yardley_rob It should also be remembered that Blai as Leader made Labour electable. Unlike the current incumbent who is taking Labour in the opposite direction. 
#RevokeArticle50 #PeoplesVoteNow #RemainInEU #StopBrexit #PVB4GE #indyref2",['remainineu']
1091669735606009856,1064248215933980672,negative,remain,2019-02-02T12:08:41.000Z,"@compboy1972 @brexit_sham @yardley_rob One final point from me on Blair: he did more for the UK than any of his successors and predecessors going back to Attlee’s time in Number 10. That should never be forgotten. 
#RevokeArticle50 #PeoplesVoteNow #RemainInEU #StopBrexit #PVB4GE #indyref2",['remainineu']
1091708888972435456,1064248215933980672,negative,remain,2019-02-02T14:44:16.000Z,"@JudyWeb92176381 @brexit_sham No he’s just a fat slob! 
#RevokeArticle50 #StopBrexit #PeoplesVoteNow #RemainInEU #PVB4GE #IndyRef2",['remainineu']
1091710138409308160,1064248215933980672,neutral,remain,2019-02-02T14:49:14.000Z,"@JudyWeb92176381 @brexit_sham Needs to be “grilled” to get his diet right. 

AND I MEAN “GRILLED”!

In all senses of the word!

#RevokeArticle50 #StopBrexit #PeoplesVoteNow #RemainInEU #PVB4GE #IndyRef2",['remainineu']
1091995000290852864,1064248215933980672,negative,remain,2019-02-03T09:41:11.000Z,@Angieeclectic @compboy1972 @brexit_sham @yardley_rob Not heard of one. Certainly didn’t apply to Vietnam. The yanks wanted us in Wilson Government refused and US response was to cause a run on the £ ending in £ being devalued. #RevokeArticle50 #StopBrexit #PeoplesVoteNow #RemainInEU #PVB4GE #IndyRef2,['remainineu']
1092063684275376128,1064248215933980672,positive,other,2019-02-03T14:14:06.000Z,"@Anna_Soubry @wicardossa1957 @Jacob_Rees_Mogg @Anna_Soubry Nice to know Rees-Mogg still talks twaddle💩. Shame the BBC and other Broadcasters don’t challenge him on his outrageous comments. As they don’t with any Brexit backers.

Still top marks for continuity!

#RevokeArticle50 #PeoplesVoteNow #RemainInEU #PVB4GE  #indyref2",['remainineu']
1092174465956569088,1064248215933980672,neutral,remain,2019-02-03T21:34:18.000Z,"@evertonfc2 Has Andrew Neil undergone a Damascene conversion to impartial reporting? Whether he has or not, it’s a welcome change from the pro Tory pro Brexit biased diet we are usually fed from him and the BBC. 

#RevokeArticle50 #PeoplesVoteNow #RemainInEU #StopBrexit #PVB4GE #indyref2",['remainineu']
1093313770431090688,31526366,neutral,other,2019-02-07T01:01:30.000Z,@Jannermaid1 @truemagic68 @guyverhofstadt Suck what up? Unicorns and #Brexit pipe dreams? This is the real world love. #WeareallDonaldTusk #RemainInEU,['remainineu']
1093414053828050944,560621151,positive,leave,2019-02-07T07:39:59.000Z,Just to get things clear that Scotland never voted to #Brexit yet we get dragged in anyway! We love visiting driving &amp; #cycling in 🇪🇺 It just means more paperwork required to do so! #RemainInEU #OneEurope 🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿🙋🏻‍♂️💁‍♀️🚴🏻‍♀️🚴🚐 https://t.co/ovBFWmu46E,['remainineu']
1093417485074907136,1066376958,neutral,remain,2019-02-07T07:53:37.000Z,"I do not think #RemaininEU  knew what they were voting for - nor do the Irish #Brexit #EU #tuskisright 
https://t.co/C84PSqQ3JX",['remainineu']
1093430476247834624,68219321,positive,remain,2019-02-07T08:45:15.000Z,"@davidschneider This just proves that only rich tories will be better off after #Brexit, advancing their careers like that and driving the country off the cliff. #StopBrexit #RevokeA50 #RemainInEU",['remainineu']
1093504431629447168,2351151586,negative,other,2019-02-07T13:39:07.000Z,@UKLabour @jeremycorbyn I have voted Labour all my adult life and was a party member for many years. But I cannot and will not support you any more unless you takea strict pro #EU and anti #Brexit stance.  #RemainInEU #StopBrexitSaveDemocracy #StopBrexitSaveBritain,['remainineu']
1093572054094356480,1066376958,positive,other,2019-02-07T18:07:49.000Z,Ode to joy #Brexit #PeoplesVote #RemaininEU   it's actually quite funny the last time they did this Mussolini was in power. https://t.co/fpV9b4sxUV,['remainineu']
1093652007511040000,919510703224041472,positive,remain,2019-02-07T23:25:32.000Z,"Brexit has already cost average UK worker more than week's wages due to post-referendum price rises, research shows - The Independent ⁦@remain_eu⁩ #RemainInEU #PeoplesVote #BrexitShambles  https://t.co/l1HSAvNSY3",['remainineu']
1093683665400483840,913566554960416768,positive,other,2019-02-08T01:31:20.000Z,"@bbclaurak May determined (obviously in collusion with others) to achieve #Brexit  keeping UK in EU without public really realising.
400 #RemaininEU MPs are complicit in this.
Get Labour &amp; Tory #Remoaners on board have majority to pass deal. Then same group vote for GE2019. May cuts &amp; runs.",['remainineu']
1093886351303495680,901836243360677760,negative,remain,2019-02-08T14:56:44.000Z,Anti Brexit Protests - London #SteveBray #MrStopBrexit #AntiBrexit #Brexit #Protest #AntiBrexitProtest #CollegeGreen #HousesofParliament #SODEM #Westminster #Article50 #Referendum #TheresaMay #EuropeanUnion #PeoplesVote #10DowningStreet #Remain #RemainInEU #EU #jamesobrien #UK https://t.co/KM4vflIZJc,['remainineu']
1094153541231562752,648123,negative,remain,2019-02-09T08:38:27.000Z,"Brexit: Seaborne Freight no-deal ferry contract scrapped - Cock up anyone? Seriously, this government is a total shitshow. As is the whole of this Brexit farce. Stop the madness now, save the UK from this economic self-harm #StopBrexit #RemainInEU  https://t.co/cPPkrb7Xla",['remainineu']
1094221902074298368,72087860,negative,remain,2019-02-09T13:10:05.000Z,A view from overseas - 'Brexit Goldmine' ... 'thousands of jobs and hundreds of millions of Euros invested'... Remind me again why? Because Spitfires? Because Churchill? Because some dumb ideas about blue passports? Dreadful idea that should never have happened. #PV #RemainInEU https://t.co/fBLRfXL8qu,['remainineu']
1094615741683384320,264454099,positive,other,2019-02-10T15:15:04.000Z,"@marcusveniquis @EamonnMallie I think a Peoples Vote on Brexit is what we all need next, to tell incompetents in the Tory party and the DUP we want to #RemainInEU",['remainineu']
1094684397226393600,1064248215933980672,positive,remain,2019-02-10T19:47:53.000Z,"@16MillionRising @BrexitBin @FFSake_ @OFOCBrexit @euromove @MadeleinaKay @EveryCountry @Mcr4EU @spaceangel1964 @cambridge_stays God didn’t make BoJo. Our old mate Lucifer did, he’s foisted him on us because he backs Brexit and the Tory Party, just like his star pupil @jeremycorbyn !

#RevokeArticle50 #PeoplesVoteNow #RemainInEU #StopBrexit #PVB4GE #indyref2",['remainineu']
1094691150986924032,3667741708,negative,remain,2019-02-10T20:14:43.000Z,"Been on the lookout for an alternative vessel for Chris Grayling to float #Brexit
Sorry mate - it just aint ‘appening.
What was that again about Britannia and the waves?
#PeoplesVote #RemainInEU #Aros #CymruYnEwrop https://t.co/gZP3RYeDMc",['remainineu']
