t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
943122185169797120,5858962,positive,other,2017-12-19T14:13:45.000Z,@LondonEconomic What is Labours position on this @jeremycorbyn &amp; @johnmcdonnellMP ? Your support of Tory Brexit will now strip 7m working people of paid holidays. Is that Labour policy? Labour should be opposing Brexit #StopBrexit #RevokeA50 #ForTheMany,['revokea50']
943789652191924224,254185468,negative,other,2017-12-21T10:26:02.000Z,"We can only hope that @MichelBarnier &amp; his 🇪🇺team will frustrate the attempts of the unrepresentative Brexit negotiators to such an extent, that they will drop their stupid plans &amp; #revokeA50. #FBPE",['revokea50']
943860951983493120,5858962,positive,remain,2017-12-21T15:09:21.000Z,@GeraintDaviesMP @DavidLammy @angharad_esq @JonathanPlaid @tombrakemp @CarolineLucas @38_degrees @Manuel_TSSA Thank you all for voting for amendment 120 last night and for your other efforts to relating to Brexit #FinalSay #StopBrexit #RevokeA50,['revokea50']
944659994066210816,2767177542,negative,remain,2017-12-23T20:04:28.000Z,"@therealitygap @Michael_Heaver Nah, several ... I'm not fond of drumpf either ... brexit is not cooked yet, so I think we'll all be tweeting through 2018 #RevokeA50 #StopBrexit #LockHimUp #ImpeachThePeach",['revokea50']
946466134542508032,469832389,negative,remain,2017-12-28T19:41:25.000Z,"@Labour4EU @Scientists4EU @UKLabour .@jeremycorbyn and @HackneyAbbott's #leave stance on #Brexit will make @UKLabour and himself totally #UNELECTABLE and the biggest drain will be the #studentvote.There is no question.

@Keir_Starmer #Remain #EU #FBPE #RevokeA50 #ExitBrexit 🇬🇧🇪🇺",['revokea50']
946545843598954496,469832389,neutral,other,2017-12-29T00:58:09.000Z,Time for the #Welsh to #Vote for @Plaid_Cymru. #Remain #EU #RevokeA50 #ExitBrexit. @UKLabour and it's current stance on #Brexit will make them #unelectable https://t.co/Db8oy3RW2v,['revokea50']
946558713971822592,469832389,neutral,remain,2017-12-29T01:49:18.000Z,"Are you listening @jeremycorbyn @HackneyAbbott @tom_watson? Your pro-#Brexit stance will make @UKLabour #UNELECTABLE. #Remain #EU. #RevokeA50, #ExitBrexit #FBPE 🇬🇧🇪🇺 https://t.co/QSXIbjiQP8",['revokea50']
947275482264989696,469832389,negative,leave,2017-12-31T01:17:29.000Z,"""@BorisJohnson 'global #Britain' claims mocked as #UK cuts back embassies around world to fund more #EU diplomats""

'great' Britain losing it's #globalinfluence around the world post-#Brexit.. well I never.. #Remain #RevokeA50 #FBPE 🇬🇧🇪🇺

https://t.co/VtqXBxSq1e",['revokea50']
950024810251325440,5858962,negative,remain,2018-01-07T15:22:20.000Z,These numbers are another indictment of Brexit. Another measure of both the damage and personal tragedy of Brexit #StopBrexit #RevokeA50 https://t.co/mQgQ3KiUk1,['revokea50']
950189845531512832,469832389,negative,remain,2018-01-08T02:18:07.000Z,"#FBPE #Remain #EU #StopBrexit #BrexitShambles.
#RevokeA50. #Brexit needs to be stopped... https://t.co/tTfQRKjZVm",['revokea50']
