t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1108771140300869632,1093643489622065280,negative,remain,2019-03-21T16:43:34.000Z,"@KateHoeyMP Been taking lessons in obstinance from @theresa_may?

You’re actually saying that no matter how many of your constituents ask for it, you have already decided not to consider it? Aren’t you meant to listen to the people?

#RevokeArt50 #RevokeArt50Now #brexit",['revokeart50now']
1108774294602035200,2799523569,neutral,other,2019-03-21T16:56:06.000Z,Watching the site puts a strain on servers. Sign here and then let the others have a go at it. https://t.co/r3oRnxppEk #RevokeArt50 #RevokeArticle50Petition #RevokeArt50Now #brexit #brexitpetition https://t.co/fB4dcvL3RB,['revokeart50now']
1108793449082511360,212012005,negative,remain,2019-03-21T18:12:13.000Z,"@SkyNews So why are we not allowed to know what will happen in a no deal brexit?!
Is it honestly that scary?!
If so why the hell are they going on with it if it’s going to be that bad?!

#RevokeArt50Now before it’s too late and too damaging to the country!!",['revokeart50now']
1108794543120486400,556258848,positive,other,2019-03-21T18:16:34.000Z,"#Brexit, I hope theresa may and her tory mps are happy mps are now being assaulted outside supermarkets in brighton, sussex, after theresa may blamed mps last night for the brexit mess that theresa may and her tory government has caused. #RevokeArt50Now #Brighton #Sussex",['revokeart50now']
1108800751629942784,946419190117912320,positive,remain,2019-03-21T18:41:14.000Z,"Stop Brexit Save The NHS

#RevokeArt50Now 

#NHSlove https://t.co/8CzILJpB5c",['revokeart50now']
1108838769040547840,31178656,negative,leave,2019-03-21T21:12:18.000Z,Which series ending are you looking forward to the most? So hard to choose 🤔 #Brexit #RevokeArt50Now #GOT #GameofThrones,['revokeart50now']
1108850836363505664,3190143988,neutral,other,2019-03-21T22:00:15.000Z,@NeilPollyTicks @peterjukes @susanmc15104271 @isaby Was at TPA before Brexit Central  @bbclaurak kindly congratulated him on his new job in 2013 .  #55TuftonSt #RevokeArt50Now,['revokeart50now']
1108853419568234496,566054281,negative,remain,2019-03-21T22:10:31.000Z,"Sadly, cognitive dissonance ensures that most Brexit fans don't experience regret, and will never admit they were conned by shysters and Vladimir Putin. But that doesn't alter the facts. Revoke Article 50 now! #Brexit #RevokeA50Now #RevokeArticle50Now #RevokeArt50Now #NoDeal https://t.co/3npTwR1mnK",['revokeart50now']
1108853713723105280,957938048746098560,neutral,other,2019-03-21T22:11:41.000Z,"UK #expats wherever you are.

You were denied a vote in the referendum, so now's your chance to make you're voices heard.

#Brexit #RevokeA50Now #RevokeArticle50Petition #RevokeArt50Now #RevokeArticle50Now #BrexitShamble https://t.co/gNYS2U1SNx",['revokeart50now']
1108854085283926016,80050715,positive,remain,2019-03-21T22:13:10.000Z,"1.8 Million Signatures so far. Make sure to sign this petition folks. Important.

https://t.co/Smi5C1Gc2A

#RevokeArticle50Petition #RevokeA50Now #RevokeArt50Now #RevokeArticle50Now #Petition #Brexit",['revokeart50now']
1108855475624427520,754064742336069632,negative,remain,2019-03-21T22:18:41.000Z,"https://t.co/pOryZhGQjt
Sign to #RevokeArt50Now and avoid #NoDeal #Brexit!!!!! 
#bbcqt #BrexitCrisis",['revokeart50now']
1108858848843128832,33092409,neutral,leave,2019-03-21T22:32:05.000Z,@yvonneridley @BBCNews What pub is @Nigel_Farage boozing as this all unfolds and comes crashing down? #Brexit #BrexitExtension #RevokeArt50Now,['revokeart50now']
1108869514668716032,153044403,negative,other,2019-03-21T23:14:28.000Z,Anyone else noticed how those who believe in English exceptionalism tend to struggle to frame their own faces in a selfie? #Brexit #takebackcontrol #holditstill #standback #getsomeperspective #andlearntofuckingwrite  #RevokeArticle50 #RevokeArt50Now https://t.co/JhbOPqan0Z,['revokeart50now']
1108873113821958144,256228558,positive,other,2019-03-21T23:28:46.000Z,"@bbcnews keep swerving the revoke issue because May won’t do it.
But it won’t be her gift to give once parliament boots her deal out again and finally takes control of this shambles from her non-government 
#brexit #BrexitShambles 
#RevokeArt50Now",['revokeart50now']
1108873644900532224,237953589,negative,remain,2019-03-21T23:30:53.000Z,"As there’s no chance of a unicorn descending from the clouds, to wave a fairy wand and sort this mess out, sign here and don’t forget to retweet. #RevokeArt50Now #revoke #BrexitShambles #brexit Petition: Revoke Article 50 and remain in the EU. https://t.co/87wzaZ6Gep",['revokeart50now']
1108903905428070400,577854784,negative,remain,2019-03-22T01:31:08.000Z,@jeremycorbyn Will all be worse after Brexit - #RevokeArt50Now,['revokeart50now']
1108970420794023936,1077898136050454400,neutral,other,2019-03-22T05:55:26.000Z,"🇬🇧More than TWO MILLION Signatures..wow🇬🇧🇬🇧

#RevokeArticle50 #RevokeArt50Now #RevokeArticle50Petition #PeoplesVote #Brexit #Brexitcast https://t.co/3Oj5jixvQg",['revokeart50now']
