t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1132986673615265792,594579541,negative,remain,2019-05-27T12:27:27.000Z,#EUelectionresults #Remain absolutely kicked ass only 1in10 voted for Brexit . Remain has majority the future is Bright. #RevokeArticle50 now #StopBrexit,['revokearticle50']
1132991813722300416,2971516817,positive,remain,2019-05-27T12:47:53.000Z,"@CarbonisedPleb @LauraPidcockMP @UKLabour And Labour's former #Remain supporters all turned to the LibDems @LibDems
Their message was simple and clear 'Bollox to Brexit' #RevokeArticle50",['revokearticle50']
1132992618516897792,753256486613217280,negative,remain,2019-05-27T12:51:04.000Z,"Corbyn you are a fucking joke - Labour is in disarray haemorrhaging votes to other parties and you still won't commit to a #PeoplesVote

Calling for a General Election when you are losing support - wise move Jeremy  😢

#Brexit #EUelections2019 #RevokeArticle50",['revokearticle50']
1132993850300141568,19662832,positive,other,2019-05-27T12:55:58.000Z,@theresa_may @Conservatives Really? You're still plugging that line? Surely the gains to remain parties show you things have shifted. Even the Brexit Party only took the UKIP seats plus 4 of the Tory ones. Time for a rethink before you go. Do the right thing #revokearticle50,['revokearticle50']
1132997804568260608,3236212505,positive,remain,2019-05-27T13:11:41.000Z,"fantastic results :) 
Remain parties: 40.4%
Hard Brexit parties: 34.9%
Conservatives/Labour: 23.2%
Two fingers up to you Farage with your lies. #REMAIN won #RevokeArticle50 #bolloxtobrexit",['revokearticle50']
1132999463197446144,953411114527752192,positive,leave,2019-05-27T13:18:16.000Z,"@theresa_may @Conservatives So you console yourself that Labour suffered big losses.
Start fixing some of your own wrongs. Remove no deal from being the default position and change it to #Remain. 
Or
go straight away to #RevokeArticle50. You might have a win by exposing Labour as a brexit party.",['revokearticle50']
1133002834880925696,21485279,neutral,remain,2019-05-27T13:31:40.000Z,"@peoplesvote_uk @jeremycorbyn And this shouldn't mean General Election first and foremost @jeremycorbyn The issue at hand is Brexit. So #PeoplesVote  #RevokeArticle50 #StopBrexitSaveBritain Then, get a mandated government, start over if the #PeoplesVote warrants another look at Brexit.",['revokearticle50']
1133004606559145984,186924465,neutral,leave,2019-05-27T13:38:43.000Z,@ddomini40 @didierdelmer then we can just accept that Brexit is not the will of the people #RevokeArticle50 and get on with restoring #democracy to the UK and tackling the social problems that led to brexit,['revokearticle50']
1133004707989999616,3341278667,neutral,remain,2019-05-27T13:39:07.000Z,1 million more people signed the petition to #RevokeArticle50 than voted for the brexit party and UKIP. @UKLabour @Channel4News  @bbclaurak @jeremycorbyn @BorisJohnson @DominicRaab @BBCNews @BBCNWT @LenMcCluskey,['revokearticle50']
1133006063433932800,809804835096850432,neutral,remain,2019-05-27T13:44:30.000Z,Bollocks to Brexit #Remain #RevokeArticle50 #PeoplesVote https://t.co/bGz8gQI9uc,['revokearticle50']
1133008556280745984,22476860,positive,remain,2019-05-27T13:54:24.000Z,"#EUelections2019 #Brexit

Here's one to help
.@jeremycorbyn

More people signed #revokearticle50 petition (6.1m) than voted for #TheBrexitParty (5.2m) in EU elections or their petition combined.
Fact. 

Add the votes for remain parties, not hard to see who's got the majority",['revokearticle50']
1133010220710604800,3398432139,negative,other,2019-05-27T14:01:01.000Z,"@BorisJohnson You are deluded. Your Party was trounced and the result emphasised that this Govt has no mandate whatsoever for its current actions in pursuing Brexit in any form. The advisory EUReferendum result had no requirement for implementation. Govt should 
#RevokeArticle50 letter. https://t.co/xb1Mwv9XDd",['revokearticle50']
1133012477325783040,42801487,neutral,other,2019-05-27T14:09:59.000Z,"@brexit_sham Wait til they get a load of Widdecombe when she arrives in Brussels. Men will say, ""Is it Halloween already?""
#RevokeArticle50",['revokearticle50']
1133013525696327680,90357585,negative,other,2019-05-27T14:14:09.000Z,"@Keir_Starmer Keir - there is no Credible Brexit option.  #RevokeArticle50  that's the only sound option. You have not listened to the Remain Labour voters, members and supporters; that's the reason the LibDems have marched ahead of @UKLabour That's why we deserted you in droves. #CorbynOut",['revokearticle50']
1133020311190953984,42801487,neutral,other,2019-05-27T14:41:07.000Z,"@petertimmins3 Brexiters always bang on about the EU having unelected officials but are keen for us to have a no deal brexit &amp; trade under the rules of the WTO, an organisation which doesn't know the meaning of election
#Hypocrites 
#RevokeArticle50",['revokearticle50']
1133033821329342464,2569734108,negative,leave,2019-05-27T15:34:48.000Z,@peoplesvote_uk @SkyNews This IS a people's vote.  Brexit is dead. #RevokeArticle50,['revokearticle50']
1133034204210634752,2324191591,negative,remain,2019-05-27T15:36:19.000Z,@GloriaDePiero @jeremycorbyn Surely by spending huge amounts of time &amp; money on Brexit - to the detriment of everything else - that wretched referendum has been ‘respected’? It’s just that Brexit is a really bad idea &amp; will harm the folk least able to withstand it. #RevokeArticle50 #remainrebuild,['revokearticle50']
1133034753362468864,747752121416691712,positive,remain,2019-05-27T15:38:30.000Z,"@bbclaurak More people signed the #RevokeArticle50 petition than voted for the Brexit party!  
You might want to mention that sometime.",['revokearticle50']
1133038375223611392,1098475387078758400,negative,other,2019-05-27T15:52:54.000Z,"@jamswilliams85 @WelshLabour @SDoughtyMP That is what #LabourParty needs to say. No ifs , no buts. #ConfirmatoryVote #Brexit #RevokeArticle50",['revokearticle50']
1133039040624779264,1098475387078758400,neutral,remain,2019-05-27T15:55:32.000Z,Quite right too ! About time. Statements coming from all over the country. #2ndRef #ConfirmatoryVote #RevokeArticle50 #Brexit https://t.co/Jxy1B5R9U0,['revokearticle50']
1133041244744146944,595510017,neutral,remain,2019-05-27T16:04:18.000Z,"More people have signed the petition to #RevokeArticle50 than voted for the Brexit Party. 
https://t.co/NYUWv5tMzC
#bbcpm https://t.co/kFY9zW3jBZ",['revokearticle50']
1133042808816840704,61645092,neutral,remain,2019-05-27T16:10:31.000Z,"@krinklykaren @remainvoter @david_colquhoun It's also noteworthy that fewer people voted Brexit Party than signed the #RevokeArticle50 petition.  One has to ask: where are the vaunted ""17 million"" now?",['revokearticle50']
1133049415453814784,731405324,positive,other,2019-05-27T16:36:46.000Z,"More people signed the petition to #RevokeArticle50  than voted for the Brexit party in the #EUelections2019 ""Big victory"" and ""will of the people"" where?",['revokearticle50']
1133052625681866752,14152106,positive,other,2019-05-27T16:49:31.000Z,"@AnushkaAsthana @GloriaDePiero @guardian @UKLabour MPs in favour of a #PeoplesVote see it as the least worst method to unblock the Brexit impasse. If leave win then it's beyond doubt. Parliament can get it done. If remain win then #RevokeArticle50 and reform EU from within.

This article doesn't provide any solutions.",['revokearticle50']
