t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1106293079068295168,2865527791,neutral,other,2019-03-14T20:36:38.000Z,How many face masks and cups of herbal tea do I need to self care my way out of the absolute mess the UK has become? #Brexit #BrexitMayhem #RevokeArticle50Now,['revokearticle50now']
1106294746941718528,1089279118032678656,negative,remain,2019-03-14T20:43:16.000Z,"@J_amesp There is so much negligence, ignorance, contradiction, and orchestrated chaos that one can only conclude it must be deliberate. They're still running down the clock, nothing else. If the EU do not agree to an extension, #Parliament has no choice to #RevokeArticle50Now #brexit",['revokearticle50now']
1106297688218353664,1089279118032678656,negative,other,2019-03-14T20:54:57.000Z,#PeoplesVote is not about undermining democracy. It is about rectifying the mess made by the political establishment. Only the people should have the last say on what our relation with the EU looks like. #brexit #BrexitBetrayal #Benn #RevokeArticle50Now,['revokearticle50now']
1106306856539033600,101505780,neutral,other,2019-03-14T21:31:23.000Z,"@RJ_Banksy @davidschneider From a Democratic viewpoint Brexit should be revoked and put on hold until we had the Referendum fully investigated. From a Democratic point of view again, now we know the truth, the People should be asked to decide on facts. #RevokeArticle50Now #StopBrexitSaveDemocracy #FBPE",['revokearticle50now']
1106328319728017408,2485719013,negative,other,2019-03-14T22:56:40.000Z,"On @bbcquestiontime just now, Julia Hartley Brewer says she would love a no deal Brexit! ""It beggars belief that [remainers] think the UK is the only country in the world unable to go it alone"". But you are Scotland.....too wee, too poor, too stupid. #Brexit #RevokeArticle50Now",['revokearticle50now']
1106335161434685440,18376398,neutral,leave,2019-03-14T23:23:51.000Z,Rightly so! Enough already! #RevokeArticle50Now #Brexit #PeoplesVote https://t.co/x92kF4E7i7,['revokearticle50now']
1106337119486857216,751473476301627520,neutral,remain,2019-03-14T23:31:38.000Z,@bbcquestiontime The amazing thing is that they see it as a game. You lost so shut up. No Brexiteer is offering any arguments that Brexit will somehow improve our lives. This is not a gamble. This is our lives. Nobody wants to see this country poorer. #StopBrexit #PeoplesVote #RevokeArticle50Now,['revokearticle50now']
1106342515253366784,19109969,positive,remain,2019-03-14T23:53:05.000Z,"Voting against stuff, like criticism, finding fault and critical thinking, is all too easy. Constructive creativity requires intellectual courage that too few have. #Brexit #RevokeArticle50 #RevokeArticle50Now",['revokearticle50now']
1106452372711182336,868558637937168384,negative,remain,2019-03-15T07:09:37.000Z,Why hasn't this been spread far and wide?  Can EU Parliament do anything to help stop illegal Brexit? #StopBrexitSaveBritain #PeoplesVote #RevokeArticle50Now https://t.co/eZBzL6gw3S,['revokearticle50now']
1106453703551275008,140384758,neutral,other,2019-03-15T07:14:54.000Z,"@TimmermansEU I wish we had more politicians like you in the UK. Many Remainers like me are almost desperate in the face of this terrible Brexit. We are still fighting though, we'll never give up, in our deep need to be part of the EU.  Please help us! #RevokeArticle50Now",['revokearticle50now']
1106461678902956032,575681461,negative,remain,2019-03-15T07:46:35.000Z,Except that horrible @theresa_may 's deal has already been voted down TWICE so really the only option should be NO BREXIT!!!! #RevokeArticle50 #RevokeA50 #RevokeArticle50Now #Remain #StopBrexit #StopBrexitSaveBritain https://t.co/fiIKH9ObaP,['revokearticle50now']
1106463790877556736,95620187,positive,remain,2019-03-15T07:54:59.000Z,"@DanielJHannan The people don't think any Brexit is a good outcome for the country.
#RevokeArticle50Now #PeoplesVote #StopBrexit https://t.co/KatUEJdFez",['revokearticle50now']
1106490881715113984,1076200203395522432,positive,other,2019-03-15T09:42:38.000Z,"Please review and ask yourselves... 

Do Labour really want to put forward a Second Referendum?  

Or are they manipulating Remainer's votes with this promise, in order to gain power and push through a Soft Brexit?

#RevokeArticle50 #RevokeArticle50Now #RevokeA50",['revokearticle50now']
1106501764633841664,91177425,neutral,remain,2019-03-15T10:25:53.000Z,Standard #BBCQT carrying on. Impartial it is not. @bbcquestiontime #Brexit #BiasedBrexitCorporation #StopBrexit #RevokeArticle50Now #FBPE @mrjamesob https://t.co/oDAdqiZkve,['revokearticle50now']
1106503188356714496,1065265683079016320,neutral,other,2019-03-15T10:31:32.000Z,"Caption this...

Macron: ""It's really quite straightforward Treesa - just write down on a piece of paper, or even on your hand, what it is the UK actually wants - ok?"".

#brexit
#BrexitMayhem 
#PeoplesVote 
#FBPE
#Macron
#TheresaMay
#angelamerkel 
#RevokeArticle50Now https://t.co/pAsDibEv9g",['revokearticle50now']
1106539156740677632,82741811,negative,remain,2019-03-15T12:54:28.000Z,It is up to MP's in #leave constituencies if the they have any integrity at all to explain to their constituents how they were conned and how #Brexit will make them all worse off #StopBrexitSaveBritain #RevokeRemainRebuild #RevokeArticle50Now,['revokearticle50now']
1106546180064980992,163852928,negative,remain,2019-03-15T13:22:22.000Z,"Self-confessed fascist shoots 49 dead.
Fascists want Brexit and cheated to get it.
Another reason to #RevokeArticle50Now",['revokearticle50now']
1106650201421287424,1018494036,negative,other,2019-03-15T20:15:43.000Z,@spayrechaynge @womble_emily @thatginamiller So why do you think the Leave side are running scared of going over the heads of parliament to the people? It's because they know the will of the people has shifted! Parliament is against Brexit. The people are against Brexit. It should be stopped! #RevokeArticle50Now,['revokearticle50now']
1106666499270500352,101505780,negative,remain,2019-03-15T21:20:28.000Z,"@thebobnotes @JimMFelton @Jacob_Rees_Mogg Brexit is not going well for anybody  and is fucking up the UK. It was all lies, your dream Brexit is dead. The quicker we all realise that, the quicker we can stop this shitshow, prosecute the liars and off-shore swindlers responsible for this crime. #RevokeArticle50Now #FBPE",['revokearticle50now']
1106671962523353088,101505780,negative,other,2019-03-15T21:42:11.000Z,@theresa_may They are ALL behind and  supporting Brexit. The Far-Right created it and are attacking our Democracy with foreign enemy help and dirty money. A vile ideology driving and inciting hatred and fear. You KNOW it. What are you doing about this? #RevokeArticle50Now #BrexitEnquiry #FBPE,['revokearticle50now']
1106676886707585024,531092049,negative,other,2019-03-15T22:01:45.000Z,"@DavidDavisMP Bring it on. 
#Brexit is NOT the will of the people
From a corrupt referendum
#RevokeArticle50Now #RevokeRemainRebuild",['revokearticle50now']
1106695976310456320,3072775744,positive,remain,2019-03-15T23:17:36.000Z,"@brexit_sham Why, oh why, oh why is it that the common sense and wisdom over #Brexit is coming from the #EU rather than the British Government. #BrexitMadness has gone too far. Time to grow up and #RevokeArticle50Now ...",['revokearticle50now']
1106698587348586496,1046774734380310400,positive,remain,2019-03-15T23:27:59.000Z,"@SimonUbsdell @StevieJoeWatson #Brexit was the reason Jo Cox was murdered
The reason a husband was widowed
The reason two children are motherless

I think that’s pretty much irrevocable harm

But everything to do with Brexit is irrevocable...
#RevokeArticle50Now",['revokearticle50now']
1106717610773762048,237271033,negative,remain,2019-03-16T00:43:34.000Z,"@nickboocock @Jacob_Rees_Mogg Indeed! I can well imagine that he might have voted Leave. #Brexit could have worked, had it been managed expertly and skilfully. But it hasn’t. The opposite, in fact. The whole thing is criminal. #RevokeArticle50Now - the only sensible course of action, really.",['revokearticle50now']
1106724479768637440,101505780,positive,other,2019-03-16T01:10:52.000Z,"@Ragbag5 @AwayFromTheKeys @lucyallan @sunpoliticsmids No delusions please. Facts. Let’s check how Brexit has affected us so far. Here, fully sourced facts, all truth happening now. Got to be brave to read it. Let’s not be delusional. #RevokeArticle50Now #FBPE   https://t.co/0OyLswg5Zo",['revokearticle50now']
1106850263715979264,142725458,negative,remain,2019-03-16T09:30:41.000Z,"@BarryHeaven Doesn't this show that Remainers are the MAJORITY.
Don't pander to a minority of extremists unless you want your business to go bust.
The people DON'T want #Brexit

#RevokeArticle50 #StopBrexit #RevokeArticle50NOW",['revokearticle50now']
1106852522466127872,291916437,positive,remain,2019-03-16T09:39:40.000Z,@mrjamesob Funny he sold an idea then had no plan to put into action no training done no walk done - he’s got form we still ‘believed ‘ he would be there - metaphor for #Brexit #RevokeArticle50Now,['revokearticle50now']
1106854679038840832,91177425,neutral,remain,2019-03-16T09:48:14.000Z,Here it is - the mighty #GammonballRun. I think we’re safe. Back to bed. Especially as Nige isn’t even completing it. #Liar #Lies #Brexit #StopBrexit #RevokeArticle50Now @Nigel_Farage @KateHoeyMP #joke #LaughingStock #FBPE #FPR @mrjamesob https://t.co/AMKpl5w8P4,['revokearticle50now']
1106858995061583872,3158148483,negative,other,2019-03-16T10:05:23.000Z,That’s the right &amp; brave thing to do. Now MPs like @NickBoles must immediately table a Bill to Revoke Article 50 to end destruction of Brexit in all its forms &amp; move on to repair enormous damage done to UK by @10DowningStreet @theresa_may. #RevokeArticle50Now #Remain #Reform https://t.co/KjX6J0a8xs,['revokearticle50now']
1106872615128481792,20765679,neutral,leave,2019-03-16T10:59:30.000Z,"@NE4EU @COutwin Hope she is ok and he’s in custody. Unfortunately it’s going to get a lot uglier I fear...once they actually understand Brexit is not the answer to their problems, whatever Brexit we end up having...😩 #RevokeArticle50Now  and #remainrebuildrestore is the ONLY way forward",['revokearticle50now']
1106889690819543040,212642997,negative,leave,2019-03-16T12:07:21.000Z,"I walked past some of the Brexit sunlit uplands this morning. They looked a bit grubby. The weeds had run to seed. The sun was hidden behind menacing grey clouds.
#RevokeArticle50Now https://t.co/gTZ454vmIN",['revokearticle50now']
1106890971206291456,212642997,negative,other,2019-03-16T12:12:27.000Z,"If I hear one more ill-informed but authoritative-sounding Brexit disciple spouting on about how No Deal is nothing to fear because we can trade freely and easily under WTO rules, I shall unlock their unicorn stable door.
#RevokeArticle50Now https://t.co/WVf3yEOat5",['revokearticle50now']
1106892465301319680,558994617,negative,remain,2019-03-16T12:18:23.000Z,"There are 100, yes one hundred, marchers on the Brexit Betrayal March. Compare this with the #PeoplesVoteMarch next Saturday @theresa_may #StopBrexit #fbpe #PeoplesVoteNow #RevokeArticle50Now",['revokearticle50now']
1106909035008311296,229934131,negative,remain,2019-03-16T13:24:13.000Z,"It gets worse. Oliver Robbins,
Prime Minister's Europe Adviser and Chief Negotiator for Exiting the European Union to deliver the UK’s request for an extension to Article 50. 
#Brexit #StopBrexit #RevokeArticle50Now #FBPE 
#BrexitShambles https://t.co/PP3TjxgyHQ",['revokearticle50now']
1106922772457025536,2396188842,negative,remain,2019-03-16T14:18:49.000Z,"Such a pity that the @eucopresident @guyverhofstadt @JunckerEU &amp; the #EU27 are prepared to investigate Foreign Interference whereas both the #UKGovt &amp; #Labour Party choose to ignore the subversion
#RevokeA50 Revoke #Brexit #RevokeArticle50Now &amp; Revoke Fakes &amp; Nationalist haters. https://t.co/pO6CMgOSL5",['revokearticle50now']
1106925840028307456,778682849943691264,positive,leave,2019-03-16T14:31:00.000Z,"""@LeaveMnsLeave are undertaking a peaceful protest to demonstrate the depth and breadth of popular discontent with the way brexit has been handled""
Peaceful? They couldn't even make it out of the car park. #AngryGammons
#MarchToLeave #GammonballRun

#RevokeArticle50Now https://t.co/WrlkfDlBSa",['revokearticle50now']
1106927647181991936,1038345808603750400,negative,remain,2019-03-16T14:38:11.000Z,"Thanks Henry Green for telling it as it is #Brexit is bad for #Bournemouth and a disaster for #Boscombe 
We need to #RevokeArticle50Now 
If @theresa_may gets 3 attemps at a vote, why can't we #PutItToThePeople for #FinalSayForAll ?
#hypocrisy https://t.co/VTnCqGRHAr",['revokearticle50now']
1106972596493606912,3303548691,positive,leave,2019-03-16T17:36:48.000Z,"March to Leave website: ‘Join thousands of leavers’, it says. ‘We need as many people in attendance as we can get’ it says. Not limited for security reasons then? @IsabelOakeshott #Brexit #RevokeArticle50Now https://t.co/RtzQXS73hd",['revokearticle50now']
1106986508802768896,101505780,negative,remain,2019-03-16T18:32:05.000Z,"@mpl1spalding @mcwm8 @carolecadwalla @bbcquestiontime @Nigel_Farage Talking about thinking. What about a bit of that? Thinking, what about reading this thread and thinking about it? Facts, truth. Reality, Brexit destroying us so far. Be brave and read this, face the truth. Think. #RevokeArticle50Now #FBPE https://t.co/0OyLswg5Zo",['revokearticle50now']
1107020849897488384,82213645,negative,remain,2019-03-16T20:48:32.000Z,@mikegalsworthy @angelaeagle @BrexitChaos If only the #Brexit enthusiasts had given some thought to working up a plan before they dropped us all into an intractable f*cking mess  #RevokeArticle50Now https://t.co/tE01waso4k,['revokearticle50now']
1107048065532420096,3158148483,positive,other,2019-03-16T22:36:41.000Z,"@REMAIN_campaign Correct, which is why we have to stop Brexit somehow :) #RevokeArticle50Now #Remain",['revokearticle50now']
1107137148447350784,531092049,negative,other,2019-03-17T04:30:40.000Z,"@BremainInSpain The quicker #Brexit and this hugely corrupt @Conservatives Govt is kicked out altogether the better
We must #StopBrexitSaveBritain 
#Cameron has so much to answer for
@Labour4EU @Remain_Labour 
#RevokeRemainRebuild #RevokeArticle50Now",['revokearticle50now']
1107187292500885504,566226304,positive,leave,2019-03-17T07:49:55.000Z,"’But whatever the deal, the civilisational challenge cannot be dodged. I do not want to live in the kind of country that Brexit is creating and I believe a majority share that view’ Will Hutton #BrexitDamagedBritain #RevokeArticle50Now https://t.co/tiL7Vr4zmH",['revokearticle50now']
1107192794215526400,392926705,negative,remain,2019-03-17T08:11:47.000Z,"Well then, get on with stopping the #Brexit bonfire that is causing so much hate to flame up.
#RevokeArticle50Now https://t.co/ztM9x63PrO",['revokearticle50now']
1107234426893811712,20765679,positive,leave,2019-03-17T10:57:13.000Z,"@RSutton_UK @mudjokivis @sazmeister88 Wrong. We don’t have to say “please sir” to anyone to #RevokeArticle50Now, and saying so makes #RevokeA50 look like an act of subservience to the EU. Instead, it’s perfectly within our right to unilaterally declare that #frauderendum16 is invalid, that #Brexit was undeliverable!",['revokearticle50now']
1107255152828993536,18789139,negative,remain,2019-03-17T12:19:34.000Z,"@JeremyCorbyn4PM @jeremycorbyn The only credible alternative is to #RevokeArticle50Now and #Remain
Any form of #Brexit damages the economy, costs jobs and impacts the poorest and most vulnerable the most. It’s disgraceful that @jeremycorbyn, or any @UKLabour MP would support such a damaging policy.",['revokearticle50now']
1107266911610589184,46609085,negative,remain,2019-03-17T13:06:18.000Z,"Remember Theresa May's deal is almost as damaging for the economy as No Deal ... 
To be certain to save economy from damage of #Brexit it is best to #RevokeArticle50Now",['revokearticle50now']
1107272677302128640,2251908712,neutral,other,2019-03-17T13:29:13.000Z,"Daniel Kerchingski- 
""I now have to vote for the deal, otherwise we'd lose #Brexit"".

.....admitting it's not 'the will of the people'.

Thanks. 👍
Just so we know.

#RevokeArticle50Now

@DKShrewsbury",['revokearticle50now']
1107311049261359104,91177425,negative,remain,2019-03-17T16:01:41.000Z,@lima2001 @brexit_sham @ByDonkeys @Nigel_Farage They wouldn’t listen anyway. The country is divided and broken. It won’t be healed for a generation. #broken #divided #destroyed #BrexitBritain #LeaveMeansLies #StopBrexit #RevokeArticle50Now #FBPE #FPR #PutItToThePeople #BadDeal #Unicorns #BrexitUnicorns #MarchForLies,['revokearticle50now']
1107331417271349248,531092049,positive,remain,2019-03-17T17:22:37.000Z,"@Rachael_Swindon NOT @UKLabour 
We will NOT vote for an party that supports @Conservatives #Brexit 
@Labour4EU 
#RevokeArticle50Now #StopBrexitSaveBritain",['revokearticle50now']
1107333427542573056,91177425,neutral,remain,2019-03-17T17:30:37.000Z,Leavers marching to their precious sunlit uplands.. #CloudCuckooLand #CuckooLand #Brexit #StopBrexit #RevokeArticle50Now #PutItToThePeople #FBPE #MarchForLies #MarchForLeave @Nigel_Farage @KateHoeyMP @andreajenkyns @LeaveMnsLeave @LeaveEUOfficial https://t.co/u84ZpminbA,['revokearticle50now']
1107338710184611840,305798265,negative,remain,2019-03-17T17:51:36.000Z,@SebastianEPayne @FinancialTimes Brexit us a crime scene. #RevokeArticle50Now,['revokearticle50now']
1107358190344257536,2690498454,negative,remain,2019-03-17T19:09:00.000Z,"@Macca_ISZ @DawnW2605 Agreed. Economic evaluation of the list of tariffs last week confirm that people across this country will be worse off for years and years. Referendum highlighted issues, but Brexit is NOT the solution. #RevokeArticle50Now",['revokearticle50now']
1107362259377029120,476095327,positive,other,2019-03-17T19:25:11.000Z,"@theresa_may, @ProfBrianCox talks a lot of sense. Please change your path and save our economy. No matter which way you go there will always be division. We now know the truth about what #Brexit will mean and the majority no longer want it. Do the right thing #RevokeArticle50Now https://t.co/EkO3Lu3dR9",['revokearticle50now']
