t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1133143516392185856,57920735,positive,other,2019-05-27T22:50:41.000Z,Yes @BBCNews you are wrong The Farage dictatorship party took 23 seats of their 29 from their old Farage party (ukip). The real winners those Parties who support remaining in the EU. More signed  #RevokeArticle50Petition than voted for the absurd brexit party at the EU elections. https://t.co/6dtN6D9PVB,['revokearticle50petition']
1133197169329098752,905366253577150464,negative,remain,2019-05-28T02:23:53.000Z,"@gavinesler STARTING??? 
The PEOPLE have spoken but the old guard refuses to listen...
#EUelectionresults -
#PeoplesVoteMarch
#RevokeArticle50Petition
#RemainSurge
#GavinEsler: TV News Must Stop Giving Airtime To The 'Village Idiots' Of Brexit
https://t.co/Vne5kFPbeo https://t.co/a5JABALIuB",['revokearticle50petition']
1133279339867508736,2589322172,negative,other,2019-05-28T07:50:24.000Z,"@JaneMundon @mattremains Remember that more people signed the #RevokeArticle50Petition than voted for the Brexit Party. I know what you mean though. Who on earth would see Nigel Farage and think “yeah, I’ll vote for him” ... ?",['revokearticle50petition']
1133284584391663616,220981118,negative,other,2019-05-28T08:11:14.000Z,"A Dick-tator in waiting. 
#Brexit #BrexitChaos #brexitshambles #BrexitParty #BrexitParty_UK #RemainerNow #RevokeA50Now #EuropeanElection #StopBrexitSaveBritain #RevokeArticle50Petition #EUElection2019 #NigelFarage  #TheresaMayResignation  #Remainers #Leave #Brexitcast  #EURef #PM https://t.co/A8tY9xQSNR",['revokearticle50petition']
1133312115941494784,864567415111286784,neutral,other,2019-05-28T10:00:39.000Z,"And how long before it morphs again, into the Brexit Nigel Farage Party. All the ingredients with twice as many on Thursdays.

#RevokeArticle50Petition https://t.co/1IzONTWn4n",['revokearticle50petition']
1133334963049455616,571141141,positive,other,2019-05-28T11:31:26.000Z,"#LooseWomen is a classic example why powder puff shows should not tackle serious political debate

‘After The Brexit Party tops the polls, could Nigel Farage become PM’? 

Firstly, Remain parties won more votes than Farage
Secondly, more people signed #RevokeArticle50Petition",['revokearticle50petition']
1133654822769577984,220981118,negative,remain,2019-05-29T08:42:26.000Z,"Crazy
#Brexit #BrexitChaos #brexitshambles #BrexitParty #BrexitParty_UK #RemainerNow #RevokeA50Now #EuropeanElection #StopBrexitSaveBritain #RevokeArticle50Petition #EUElection2019 #VoteRemain #NigelFarage  #NoDealBrexit   #Remainers #Leave #Brexitcast #EURef #NoDeal #Brexitcast https://t.co/PbVsYZ2ua1",['revokearticle50petition']
1133807836599865344,989433030711406592,negative,other,2019-05-29T18:50:28.000Z,@M_Bayswater @michaelgove @BorisJohnson @brexitparty_uk But got just 5.2m votes? Pathetic the #RevokeArticle50Petition got over 6m - let’s face it #brexit is dead. More people alive now that voted remain than leave. The right wing deregulatory fantasy is dead,['revokearticle50petition']
1134135605091274752,858821776675131520,neutral,remain,2019-05-30T16:32:54.000Z,"@GloriaDePiero @IanLaveryMP Pigs will fly before that happens. Do the maths, over 60% of Labour voters voted #Remain 
More people signed the #RevokeArticle50Petition than voted for the Brexit party, as they did for pro remain parties in EU elections.

Wake up &amp; smell the coffee ffs!",['revokearticle50petition']
1134219451258298368,838879567670611840,neutral,remain,2019-05-30T22:06:04.000Z,"#bbcqt @joswinson is correct that more people have signed #RevokeArticle50Petition than voted for Brexit Party 

#RevokeArticle50 

https://t.co/IqmPkoeMbx",['revokearticle50petition']
