t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1106293261927440384,731592435764199424,positive,leave,2019-03-14T20:37:22.000Z,@oflynnmep @Stop_The_EU No No No We #Brexiteers have already waited long enough for #Brexit to be delivered. Enough is enough. #LeaveMeansLeave #StandUp4Brexit,['standup4brexit']
1106324751629246464,382602293,negative,leave,2019-03-14T22:42:29.000Z,"Eu to the rescue?
'Unanimous vote' requirement may well result in May's pathetic 'extension' being killed off.
No more 'kicking the can down the road'.
#Brexit #BrexitBetrayal #Article50 #MayMustGoNow #StandUp4Brexit #LeaveMeansLeave #WTORulesOK #Boris4PM
https://t.co/WDi5mZt4Ik",['standup4brexit']
1106328072675053568,2366289828,negative,other,2019-03-14T22:55:41.000Z,The Westminster political elite is clearly betraying #Brexit . It's now a conflict between a Remainer dominated Parliament and the people. MPs promised to carry out the wishes of the 17.4 million people who voted #leave . No #BrexitBetrayal @LeaveMnsLeave #StandUp4Brexit #bbcqt,['standup4brexit']
1106337013295431680,2366289828,neutral,leave,2019-03-14T23:31:13.000Z,"#leave voters knew what they wanted - fully out of the #EU CU, SM, CAP &amp; CFP. Full #British control over our laws, borders, money &amp; trade deals. May's agreement is BRINO not #Brexit . #LetsGoWTO Brexit is the the way to have a free #UK  No #BrexitBetrayal #StandUp4Brexit  #bbcqt",['standup4brexit']
1106448221549879296,3390757635,negative,leave,2019-03-15T06:53:07.000Z,"@Michael_Heaver Why should we ever listen to another word that comes out of this lying, treasonous woman's mouth ? @theresa_may should hang her head in shame, democracy is dead in the UK #Brexit #StandUp4Brexit #BrexitBetrayal #LeaveMeansLeave",['standup4brexit']
1106459560431226880,1087698883025797120,neutral,leave,2019-03-15T07:38:10.000Z,@RedHotSquirrel Sky News is much less biased on Brexit and actually more interesting with far more professional and eloquent presenters. Have switched to Sky! #StandUp4Brexit #skynews,['standup4brexit']
1106464479791984640,993743166,negative,leave,2019-03-15T07:57:43.000Z,"The inability to deliver what we voted for is down to THEIR political incompetence, it is NOT down to our vote.

THEY overwhelming voted to trigger #Article50, knowing the TWO possible outcomes. 

It’s simple: Deal or #NoDeal.

#Brexit #StandUp4Brexit",['standup4brexit']
1106479449925713920,88419166,negative,other,2019-03-15T08:57:12.000Z,"I think this is the most pathetic tweet I've seen during this entire process. To see elected representative @heidiallen75 begging a foreign civil servant. 

I'm actually disgusted. 
#Brexit #Politics #StandUp4Brexit https://t.co/4OKueYakqf",['standup4brexit']
1106488204880998400,2917924665,neutral,leave,2019-03-15T09:32:00.000Z,"@wallaceme @StandUp4Brexit I've watched the voting very carefully and my local mp has put himself out of a job all by himself. He voted for Mays WA, then to delay Brexit. In a constituency that voted Leave! If UKIP, For Britain, Time, have any candidates they'll get my vote. #StandUp4Brexit",['standup4brexit']
1106489657880125440,406441931,positive,other,2019-03-15T09:37:46.000Z,"Let's not forget that this #Brexit stitch up has been May's plan from the start. Remember #ollyrobbins conversation in the bar in Brussels. #StandUp4Brexit
https://t.co/SYXxQF1J72",['standup4brexit']
1106491587935248384,406441931,negative,other,2019-03-15T09:45:26.000Z,"Remember that this was the plan all along - last minute choice between May's deal or a long delay? We must not allow this conspiracy to succeed #Brexit #StandUp4Brexit       
https://t.co/SYXxQF1J72",['standup4brexit']
1106519295754977280,72377367,negative,other,2019-03-15T11:35:32.000Z,@happymo88271214 @MargotLJParker @cholatera @eucopresident So bitter! Im furious after all the hard work I put in to get a #Leave vote the odds are now slightly in favour of remaining in #EU. But if you think my actions a problem wait until you see the wrath that will descend if we dont leave on 29.03. #StandUp4Brexit #GoWTO #Brexit,['standup4brexit']
1106545283478024192,20083727,positive,leave,2019-03-15T13:18:48.000Z,"""Please Melanie not today. Spare us the faux sympathy""
.
""Ask yourself why u r so consumed with hate""
.
#Brexit #PeoplesVote #nhs @theresa_may @Nigel_Farage @BBC @bbcnickrobinson #AFNeil #Marr @BorisJohnson #PoliticsLive @BBCr4today #StandUp4Brexit #LeaveMeansLeave https://t.co/hPd0AhVHEA",['standup4brexit']
1106571243803889664,4867233244,negative,leave,2019-03-15T15:01:58.000Z,"#RespectTheResult
MPs must avoid #BrexitBetrayal 
#WTOBrexit on 29 March 
Then ask #EU whether it wants an FTA 
#ManagedNoDeal
#DelayMeansRemain
#DitchTheDeal #BinTheBackstop
#StandUp4Brexit #LeaveMeansLeave 
#Labourleave #LeaveEU 
#ChangeBritain #CleanBrexit #Brexit
#UKLabour https://t.co/66rLZAKMQW",['standup4brexit']
1106601260218806272,306821032,positive,leave,2019-03-15T17:01:14.000Z,"#standup4brexit @darrengrimes_ I contributed to your legal fees because you wanted a clean Brexit &amp; was being unfairly taken to Court.  I thought you were a fighter. Now that it's getting really tough, you're capitulating. Being manacled indefinitely to the EU is not leaving. https://t.co/3HO1MDJXDr",['standup4brexit']
1106622209097908224,4912226817,negative,leave,2019-03-15T18:24:29.000Z,"Outright bullying and the Great British people will see this for what it is and will be furious! 🤬
#Brexit #StandUp4Brexit 

https://t.co/p0fP5gXIbS",['standup4brexit']
1106631041450737664,1022452334872457216,neutral,other,2019-03-15T18:59:35.000Z,"The Brexit Secretary @SteveBarclay said today “If we don’t have a deal, we should leave with ‘no deal.’”

We completely agree, and we currently don’t have a deal that honours the referendum.

Please email your MP to let them you agree 👍

#StandUp4Brexit #NoChangeNoChance https://t.co/imVuMaEI7D",['standup4brexit']
1106645982119424000,111681055,neutral,leave,2019-03-15T19:58:57.000Z,"Some Mother... https://t.co/YcdAyr4Az4 #MayMustGo #ChuckChequers #StandUp4Brexit
#NigelFarage #Brexit #PeoplesVote #LeavemeansLeave #BrexitmeansBrexit",['standup4brexit']
1106666301123104768,189692417,negative,leave,2019-03-15T21:19:41.000Z,Sat in a bar in Belgium and not allowed any tap water. Must buy a bottle. Madness EU rules. #Brexit #StandUp4Brexit Free water !,['standup4brexit']
1106704043597094912,47852852,neutral,other,2019-03-15T23:49:40.000Z,"""May's Brexit deal lives - Northern Irish kingmakers report 'good' talks with government""

This is theatre of the absurd. What new information could May possibly give that didn't exist last week? 

#StandUp4Brexit
#Brexit
#PeoplesVote
 https://t.co/S1wf5cwNcH",['standup4brexit']
1106790404895182848,952431835849555968,negative,other,2019-03-16T05:32:50.000Z,These figures just about sum up what an undemocratic society we live in run by selfish politicians blatantly prepared to disregard the will of the people who not only voted them in on false promises but who also pay their wages #leaveMeansLeave #LeaveEU #StandUp4Brexit #Brexit https://t.co/L9LJ1yxFnx,['standup4brexit']
1106839174534127616,731592435764199424,neutral,leave,2019-03-16T08:46:37.000Z,@Nigel_Farage #LeaveMeansLeave  #StandUp4Brexit #StandUp4Democracy  #Brexit at Sunderland in the pouring rain awaiting to start the March. #LeaveToMarch https://t.co/FruY3jCwRI,['standup4brexit']
1106850261543411712,20083727,positive,remain,2019-03-16T09:30:41.000Z,"""A big Sunderland welcome to @Nigel_Farage""
.
#Brexit #StopBrexit #PeoplesVote #nhs @theresa_may @BBC @bbcnickrobinson #AFNeil #Marr @BorisJohnson #PoliticsLive @BBCr4today #StandUp4Brexit #LeaveMeansLeave https://t.co/8L4fKqASGM",['standup4brexit']
1106853405388169216,703679190856540160,negative,other,2019-03-16T09:43:10.000Z,"@annietrev @tomcolsy99_ @BrexitCentral If we do not leave on 29th March 2019 or we leave trapped in PM's disastrous WA, I will switch my vote to ANY party that stands on a real Brexit ticket.
#StandUp4Brexit #GoWTO",['standup4brexit']
1106854162543927296,1024969125435723520,negative,leave,2019-03-16T09:46:11.000Z,"We all see what direction @theresa_may @10DowningStreet has lead brexit in and how bad it's become, not only are you a failure to democracy, politics and the people of the United Kingdom....... But all the world sees it too.
#brexit #BrexitBetrayal #StandUp4Brexit #MarchToLeave",['standup4brexit']
1106872055864135680,720971124,negative,leave,2019-03-16T10:57:17.000Z,The March to Leave has begun. A march to defend democracy in this country. #brexit #StandUp4Brexit #MarchToLeave #NoDeal https://t.co/6mBaLDsRid,['standup4brexit']
1106874916350115840,32480615,positive,other,2019-03-16T11:08:39.000Z,"@Jacob_Rees_Mogg Are you going to surrender Jacob? How does this gel with all the #StandUp4Brexit ?  Lock us in with May's deal and then we have no negotiation weapons left to get a trade deal. They'll have our money, they can demand what they like and we can't leave! #Brexit",['standup4brexit']
1106882687841853440,21253621,positive,other,2019-03-16T11:39:32.000Z,"This is now more relevant today than ever - well worth another look - Aussie common sense, we could use some!
#MarchToLeave #StandUp4Brexit #Brexit https://t.co/Z2so4KO8t7",['standup4brexit']
1106886761488310272,1022452334872457216,positive,other,2019-03-16T11:55:43.000Z,"“Many pundits have seized on the ‘prejudice’ angle (to explain Brexit), but that’s not what makes the UK different

""The key message is that there are other things..that have made UK folk want more autonomy from the EU"" Prof Mariah Evans

#StandUp4Brexit
https://t.co/O2FaIJ82WC",['standup4brexit']
1106904931078979584,3345967911,positive,leave,2019-03-16T13:07:55.000Z,"Thank u, next.

#Brexit #StandUp4Brexit #LeaveSTILLMeansLeave https://t.co/6YM43436YW",['standup4brexit']
1106909251736403968,3345967911,positive,leave,2019-03-16T13:25:05.000Z,"If he quits the @Conservatives all together, we can only hope that he'll do the honourable thing and face a by-election. His constituents deserve better.

#StandUp4Brexit #Brexit #BrexitBetrayal https://t.co/LVMwDPjmrs",['standup4brexit']
1106909422016700416,1022452334872457216,negative,remain,2019-03-16T13:25:46.000Z,"We’re hearing that people are absolutely furious on the doorsteps today.

“I’ve not heard it this bad since the ‘90s”

People want clean Brexit to be delivered on 29th March. If it isn’t, they’re telling us they won’t vote Conservative again.

#StandUp4Brexit #NoChangeNoChance https://t.co/WKzXCQRUMD",['standup4brexit']
1106916412721954816,95620187,negative,other,2019-03-16T13:53:32.000Z,"@WernerT_Man @robf1uk @ByDonkeys @Nigel_Farage @guardian @brexit_sham @montypython #standup4brexit. Please!

Don't be shy. 

Anyone?

Come on now. We've got an #EpicProtestMarch planned.

Will of the er... Person.",['standup4brexit']
1106924961523007488,703679190856540160,negative,leave,2019-03-16T14:27:31.000Z,"@StevenEdginton It's one of the symptoms of Brexit Derangement Syndrome. Other symptoms include but not limited to - delusion, righteous superiority, fixed sneer, abuse, lack of coherent argument - shall I go on?
#StandUp4Brexit #GoWTO",['standup4brexit']
1106928224548855808,720971124,negative,other,2019-03-16T14:40:29.000Z,Fishing for Leave. #Brexit #StandUp4brexit #NoDeal https://t.co/MRh4SoFLEW,['standup4brexit']
1106930990910455808,1062051371892031360,negative,other,2019-03-16T14:51:28.000Z,"We don't need an extension to
#Article50
We need to leave on March 29 2019
#Brexit #StandUp4Brexit #Conservatives #bbcqt
#WithdrawalAgreement
#BrexitBetrayal
#MarchToLeave https://t.co/zH9ezkAWnT",['standup4brexit']
1106966894475689984,4912226817,negative,other,2019-03-16T17:14:08.000Z,"Following the #Maastricht betrayal the @Conservatives spent 3 long terms in opposition.
If they mess up #Brexit they will not govern for a long time and will have to sit and watch the communists destroy British business.
#StandUp4Brexit https://t.co/oYwyzrbqCS",['standup4brexit']
1106979230896791552,2183931050,neutral,other,2019-03-16T18:03:09.000Z,"Please take time to check how your MP voted on #Brexit for No Deal &amp; extending the date on https://t.co/XT2W7bLIkp

Once you have found that go to https://t.co/ikMyF9DGEN &amp; find your MP's Twitter &amp; or email address &amp; let them know your views on how they have voted #StandUp4Brexit",['standup4brexit']
1106996701217386496,4832156049,neutral,leave,2019-03-16T19:12:35.000Z,"@BBCNews will no doubt label them ""far right"" #MarchToLeave #Brexit #StandUp4Brexit #LeaveMeansLeave https://t.co/jQBz1JjTIl",['standup4brexit']
1107003097329606656,731592435764199424,negative,leave,2019-03-16T19:38:00.000Z,"BREXIT BLOCK: Lorry drivers threaten to CLOSE UK transport links if exit is delayed  https://t.co/JBYFuIeNTU
Well done guys. #StandUp4Brexit #BrexitBetrayal 
This action is exactly what the French would do. #StandUpDemocracy #LeaveMeansLeave #LeaveToMarch",['standup4brexit']
1107004094928039936,1548950940,negative,leave,2019-03-16T19:41:58.000Z,"Never fear freedom.Never fear holding  those to account.Never fear those cowards &amp; traitors who wish to thrawt Brexit.The power of the people will ALWAYS win over those that refuse to deliver on the democratic mandate to LEAVE the corrupt,unaccountable, failing EU #StandUp4Brexit",['standup4brexit']
1107042570822139904,4867233244,negative,leave,2019-03-16T22:14:51.000Z,"#RespectTheResult
MPs must avoid #BrexitBetrayal 
#WTOBrexit on 29 March 
Then ask #EU whether it wants an FTA 
#ManagedNoDeal
#DelayMeansRemain
#DitchTheDeal #BinTheBackstop
#StandUp4Brexit #LeaveMeansLeave 
#Labourleave #LeaveEU 
#ChangeBritain #CleanBrexit #Brexit
#UKLabour https://t.co/9NVMhHQF5A",['standup4brexit']
1107046680300531712,1024969125435723520,negative,leave,2019-03-16T22:31:11.000Z,@LeaveEUOfficial @Conservatives @Conservatives - the party of liars and betrayal #Brexit #StandUp4Brexit #BrexitBetrayal,['standup4brexit']
1107109681170968576,704702348724142080,negative,leave,2019-03-17T02:41:31.000Z,"@Stop_The_EU Liar has been said so many times before it seems to have no effect. TM demonstrating exactly why we (the voter) should never waste our vote on any disingenuous, self serving, hypocritical Tory MP ever again #Brexit #BrexitBetrayal #StandUp4Brexit #Conservatives",['standup4brexit']
1107118945079885824,999548917,positive,leave,2019-03-17T03:18:20.000Z,"@darrengrimes_ The WA effectively means our future trading relationship cannot allow divergence on tariffs &amp; stds, in either direction. That isn’t #brexit. I’m afraid, by the time you get to the top of the #Tories candidate list there won’t be a Tory Party! @TheSDPUK #SDPBrexit #StandUp4Brexit",['standup4brexit']
1107177314239029248,1106193729235402880,neutral,leave,2019-03-17T07:10:16.000Z,"This is why the #British voted to get out of the #EU. 

#Arrogance #Brexit #BrexitBetrayal #LeaveMeansLeave #LeaveEU #StandUp4Brexit

https://t.co/A0AsobuvFD",['standup4brexit']
1107182115488186368,1060837449147076608,positive,leave,2019-03-17T07:29:21.000Z,"A great impassioned plea to T. May to deliver the brexit that people voted for.
A good read.
#MayMustGo
#StandUp4Brexit
.
 https://t.co/d3SnFxWcAb",['standup4brexit']
1107183044807585792,2917924665,negative,remain,2019-03-17T07:33:03.000Z,"No one is going to vote Tory at even local level now if we do not leave on 29th March. She has single handedly killed off her own party, undermined Brexit, betrayed her own country and lied. #StandUp4Brexit #MayMustGo #LetsGoWTO #NoDealNoProblem #Conservative @Conservatives https://t.co/mPHGcgNaeA",['standup4brexit']
1107191383364898816,20275274,negative,remain,2019-03-17T08:06:11.000Z,@tnewtondunn How is it funny? Boles tellling lies to keep people on side whilst trying every inconceivable amendments trick to thwart #Brexit; or Boris who #StandUp4Brexit for 17.4m Leave voters holding the #Government to account demanding a #Brexit people voted for is delivered,['standup4brexit']
1107211088238690304,3234132601,neutral,other,2019-03-17T09:24:29.000Z,"@DVATW @EstherMcVey1 She is not a Brexiteer then. Anyone one who claims to be a Brexiteer and supports/votes for this deal... you are NOT a Brexiteer.

This deal is not Brexit. This deal is Remain(minus)

#StandUp4Brexit #BrexitBetrayed",['standup4brexit']
1107225868978524160,465973,negative,other,2019-03-17T10:23:13.000Z,"McVey: Rules Have Changed, It's This Deal or No Brexit #Switch4Brexit #StandUp4Brexit
https://t.co/7iQpteUb5q https://t.co/85ppWplb73",['standup4brexit']
1107231766681665536,20083727,negative,remain,2019-03-17T10:46:39.000Z,"""New Zealanders should be calling for an immigration ban… on Australians""
.
#Brexit #StopBrexit #PeoplesVote #nhs @theresa_may @Nigel_Farage @BBC @bbcnickrobinson #AFNeil #Marr @BorisJohnson #PoliticsLive @BBCr4today #StandUp4Brexit #LeaveMeansLeave https://t.co/7aTD18ZMdA",['standup4brexit']
1107235286864531456,994987680126693120,negative,other,2019-03-17T11:00:38.000Z,@Reuters May's deal is no Brexit at all. How stupid do you think we all are @EstherMcVey1. You will thereafter be cap-in-hand to learn what crumbs Brussels will offer us. Good grief!  #StandUp4Brexit,['standup4brexit']
1107240924604760064,41359424,negative,remain,2019-03-17T11:23:02.000Z,If we have to have another Vote on the EU.... No deal has to be in the ballot paper.... It can't be just what parliament wanted we voted leave!!! #brexit #LeaveMeansLeave #StandUp4Brexit #LetsGoWTO,['standup4brexit']
1107248623065153536,1019148469288820736,neutral,leave,2019-03-17T11:53:38.000Z,"I don't know what this boy's been smoking but, this is compete nonsense.
Voting for a deal that isn't Brexit won't deliver Brexit, ever!!! #StandUp4Brexit #BrexitBetrayal https://t.co/e4NHOtBu4Z",['standup4brexit']
1107253502298992640,3157936122,negative,leave,2019-03-17T12:13:01.000Z,If the the 17.4m who voted Leave are unhappy with the way the UK Govt is dealing with Brexit why not start a new Party ? Of 17.4m voters you must be able to find 650 candidates for GE and an association in each constituency? #brexit #StandUp4Brexit,['standup4brexit']
1107266489248292864,3345967911,positive,other,2019-03-17T13:04:37.000Z,"Comrade Corbyn changes his mind more often than Kylie Jenner her lipstick colour 🙄🙄🙄

Britain deserves better than this anti-business Marxist. 

#Brexit #Corbyn #StandUp4Brexit https://t.co/wJuaKlJ1ee",['standup4brexit']
1107305206969221120,32480615,neutral,remain,2019-03-17T15:38:28.000Z,#Standup4Brexit deafeningly silent on Twitter today! #Brexit,['standup4brexit']
1107306972888498176,846078295,negative,other,2019-03-17T15:45:29.000Z,"Obviously #Europe has changed; nevertheless, it’s still rather disturbing to compare propaganda from the war years with what we see today. Why is it so hard for some to see that #UK simply as a parallel yet separate path? #Brexit #RespectTheResult #ukpoli #StandUp4Brexit https://t.co/tj58Fg4Rxr",['standup4brexit']
1107320102750433280,72377367,negative,other,2019-03-17T16:37:40.000Z,"@MrHarryCole Another one bites the dust. By hook or crook we will get rid of these #TurncoatTories &amp; restore morale. Always remember it was @Sandbach
who comitted the unthinkable by verbally abusing a member of the public #Brexit #GoWTO #StandUp4Brexit",['standup4brexit']
1107326986429652992,380613356,positive,remain,2019-03-17T17:05:01.000Z,"The next General Election is going to be interesting. A good time for independent candidates. Many of us Leavers would vote for “Fred the basset hound” before Conservative, Labour or Lib Dem.
Candidates if Brexit is denied! #StandUp4Brexit",['standup4brexit']
1107375324063510528,20083727,neutral,leave,2019-03-17T20:17:05.000Z,"""How the Tories took Britain down this torturous path""
.
#Brexit #PeoplesVote #nhs @theresa_may @Nigel_Farage @BBC @bbcnickrobinson #AFNeil #Marr @BorisJohnson #PoliticsLive @BBCr4today #StandUp4Brexit #LeaveMeansLeave https://t.co/jYzbgvRvAU",['standup4brexit']
1107392986277707776,703679190856540160,negative,leave,2019-03-17T21:27:16.000Z,"More depressing doorstep news for @Conservatives @BrandonLewis . These guys will probably take a beating for the Brexit betrayal being rammed down our throats by @theresa_may 

#StandUp4Brexit #GoWTO https://t.co/aDX7kLoSQX",['standup4brexit']
1107394603223867392,3407785774,positive,leave,2019-03-17T21:33:42.000Z,@UKParliament #ERG hold your nerves #notomaysdeal  you know it's not #Brexit  ext if given would be better if not default &amp; as eu don't want either &amp; usual mo is last minute may get better deal if not #WTO takes balls and nerves of steel #StandUp4Brexit #outnow happy people 😊 https://t.co/G5lvsUgzfW,['standup4brexit']
1107401981784670208,107189097,negative,leave,2019-03-17T22:03:01.000Z,"@EstherMcVey1 May’s ‘deal’ is an abject surrender, it is Remain MINUS, if it passes Brexit is dead @duponline @ConHome @SteveBakerHW @BorisJohnson @mogg_jacob @NigelDoddsDUP @andreajenkyns #Brexit #StandUp4Brexit",['standup4brexit']
1107405694112653312,846078295,positive,other,2019-03-17T22:17:46.000Z,"The Who`s Roger Daltrey. Feel free to link to @youtube, view &amp; like the video there, and then retweet it directly from YouTube yourself. #Brexit #RogerDaltrey #ukpoli #StandUp4Brexit #RespectTheResult #GoWTO @LabourLeave @LeaveMnsLeave @ActionBrexit https://t.co/eG98om1aTV",['standup4brexit']
1107409892573233152,846078295,positive,other,2019-03-17T22:34:27.000Z,"The Who`s Roger Daltrey. Feel free to link to @youtube, view/like it there &amp; then retweet it directly yourself. Great if it goes viral #Brexit #RogerDaltrey #ukpoli #StandUp4Brexit #RespectTheResult @LabourLeave @LeaveMnsLeave @ActionBrexit https://t.co/eG98om1aTV via @YouTube",['standup4brexit']
1107412307334832128,2183931050,negative,other,2019-03-17T22:44:03.000Z,"@theresa_may time that you #StandUp4Brexit &amp; #StandUp4Democracy. As PM you should do as you stated, No Deal is better than a Bad Deal &amp; we Leave the EU on 29 March. You have a bad deal you now want us to accept or face no #brexit. That is not #Democracy You are failing the people",['standup4brexit']
1107420096300023808,53027368,negative,leave,2019-03-17T23:15:00.000Z,"#StandUp4Brexit REAL #Brexit As the governing party which took #Britain into the EU *without a referendum, called #Britain's 2nd #EUreferendum &amp; which is now orchestrating a deceitful #BRINO con, the #Conservatives deserve political annihilation. #Remain LOST! #LeaveMeansLeave! https://t.co/LLG2bqbDkm",['standup4brexit']
1107435922977624064,2837207769,negative,leave,2019-03-18T00:17:53.000Z,"@NadineDorries Know when to hold em! ""Kenny Rogers"" #StandFirm  your being blagged! #StandUp4Brexit No half measures! As @theresa_may said many moons ago, Brexit means Brexit! Grow a back bone! #countrybeforeparty",['standup4brexit']
1107455529461399552,72377367,negative,leave,2019-03-18T01:35:48.000Z,@skisidjames If you compiled a list of the worst conditions that could be included in WA most of the points listed are in there. Its beyond comprehension how anybody could back this aweful #MaysDeal. Get rid of @10DowningStreet and her cabinet and start again. #Brexit #GoWTO #StandUp4Brexit,['standup4brexit']
1107459715490041856,701866563268378624,negative,leave,2019-03-18T01:52:26.000Z,The #BrexitDeal is so damaging because it traps the #UK under EU rule forever. This deal only lets us leave with the #EU’s permission. May is trapping us under EU rule with no escape! Britain will be a #VassalState and a SLAVE of the EU! #StandUp4Brexit #LeaveMeansLeave #BREXIT https://t.co/9IZqGOFGTg,['standup4brexit']
1107470219147010048,382602293,neutral,other,2019-03-18T02:34:10.000Z,"Predictable 'blackmail' by May - her treacherous sellout, or delayed/cancelled Brexit?
This was always the Remainers game plan..
#Brexit #BrexitBetrayal #MayTheRemainer #MayMustGoNow #StandUp4Brexit #LeaveMeansLeave #Boris4PM
https://t.co/z3hSePMJLS",['standup4brexit']
