t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
946403571486126080,35434986,neutral,other,2017-12-28T15:32:49.000Z,@F4JOfficial Plenty of the heroes fighting brexit are male!! #stopbrexit2018,['stopbrexit2018']
946443312289996800,35434986,negative,other,2017-12-28T18:10:44.000Z,@ImperatorAvro @WillBlackWriter ALL leave voters are traitors. It is every patriots duty to fight brexit until it is stopped. And snowflakes can't take a backseat on this. It's a DUTY on all True Brits. #stopbrexit2018,['stopbrexit2018']
946550972016418816,69558002,negative,remain,2017-12-29T01:18:32.000Z,@JoJohnsonUK what is your reason for ignoring Treasury report on how much poorer familues will be through Brexit? Your duty is to protecting the UK from damage. Your constituents will blame you even if they voted leave! #StopBrexitSaveBritain #FinalSay #StopBrexit2018 https://t.co/36wqHugGDb,['stopbrexit2018']
946584448698605568,3078820269,negative,other,2017-12-29T03:31:33.000Z,"It's time for Jeremy Corbyn to take the political risk of his life for the sake of history, declare his opposition to Brexit, and demand a general election on a #stopbrexit2018 ticket.",['stopbrexit2018']
946681748141854720,1071633122,positive,remain,2017-12-29T09:58:11.000Z,"UK to sink to the bottom of OECD wage growth index in 2018

Hey, Brexit is great...isn't it?
#brexitshambles #StopBrexitSaveBritain
#StopBrexit2018
#FBPE: //www.theguardian.com/money/2017/dec/29/uk-to-sink-to-the-bottom-of-oecd-wage-growth-index-in-2018?CMP=Share_AndroidApp_Tweet",['stopbrexit2018']
946708641272487936,69558002,negative,other,2017-12-29T11:45:03.000Z,@RedCllr @SouthwarkLabour @Keir_Starmer @UKLabour @coyleneil But only if you are sure that the MP you choose is anti Brexit. GE17 was a strategic vote. We must ensure we do not support Labour Brexiters. #StopBrexit2018. Show your views in the May local elections!,['stopbrexit2018']
946797939304878080,69558002,negative,other,2017-12-29T17:39:54.000Z,"@nordygirl39 @Billbrowder Have you read @J_amesp book Alternative War about dark money and Trump/Brexit links yet? Way mire than conspiracy theory, unfortunately. #StopBrexit2018 #LeaveGate #FBPE",['stopbrexit2018']
946820848819884032,801861322690412544,positive,remain,2017-12-29T19:10:56.000Z,"@tom_watson @Andrew_Adonis It's not sad, it's a selfless but essential stand for what's right - and a few more @UKLabour MP's and peers following suit is the only chance this country has to save itself from economic and cultural suicide #StopBrexit #StopBrexit2018",['stopbrexit2018']
946836846683787264,354808600,negative,remain,2017-12-29T20:14:30.000Z,"I tell you one thing...the Disaster Capitalists, the neo-Nazis &amp; other Far Right are pretty well United. They will push for hard Brexit with one voice.
#FBPE is the only current mass online resistance.
Put everything else aside.
Resist - don’t let them divide us.
#StopBrexit2018",['stopbrexit2018']
946912389546565632,846983438,positive,other,2017-12-30T01:14:41.000Z,You must read this letter in full. It is an amazing statement that captures the nonsense that is Brexit. @Andrew_Adonis @RCorbettMEP @Scientists4EU #StopBrexit2018 #StopBrexitSaveBritain https://t.co/mUP2QSqSSJ,['stopbrexit2018']
947158134786871296,801861322690412544,negative,remain,2017-12-30T17:31:11.000Z,@LBC @Nigel_Farage God only knows what the worst 10 moments were then! #StopBrexit #StopBrexit2018,['stopbrexit2018']
947162352050475008,801861322690412544,neutral,remain,2017-12-30T17:47:56.000Z,Aha! You're back on the Beeb Nige @Nigel_Farage #StopBrexit #StopBrexit2018 https://t.co/oHvieUC2r8,['stopbrexit2018']
947158470725459968,772510488018219008,positive,remain,2017-12-30T17:32:31.000Z,"@SODEMAction @No10Vigil #TwelveDaysOfChristmas
🎶On the sixth day of #Christmas
The #EU gave to me
Six balloons a-flying
Fiiiiive EU flaaaaaags 🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺
Four blokes from #Swindon
Three backing singers
Two MEPs
And a tricycle by the sea🎶
#Brexit #Brexshit #StopBrexit #StopBrexit2018 #Remain https://t.co/BhNLHMYBht",['stopbrexit2018']
947262592187273216,35434986,positive,leave,2017-12-31T00:26:15.000Z,"@JulieOwenMoylan @CoolJayne Actually I use it a lot! Aimed at ALL brexit supporters of course. Yes, despite the MA I am working class and I do live on a rough council estate! #StopBrexit2018 #TeamTory",['stopbrexit2018']
947406722406199296,753653490484973440,neutral,other,2017-12-31T09:58:59.000Z,"Thank you for your courage, honesty &amp; commitment to the Remain cause. It is appalling that you are being subjected to threats for speaking out about the tragedy that is Brexit. There is a whole army behind you. #StopBrexit2018 https://t.co/PWcc4xQKkr",['stopbrexit2018']
947407486771974144,748743165411151872,neutral,remain,2017-12-31T10:02:01.000Z,2018 will be the year that Brexit dies . #StopBrexit2018 #FBPE https://t.co/GvJaDxcT8i,['stopbrexit2018']
947411916590379008,16883349,neutral,other,2017-12-31T10:19:37.000Z,"Basically, 2017 was the year that we as a nation learned that Brexit is a festering heap of dingoes' kidneys. #FBPE #StopBrexit2018",['stopbrexit2018']
