t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1105026759102218240,419927046,negative,other,2019-03-11T08:44:44.000Z,"@unitetheunion Brexit is not the answer to our problems.  

Our problems lie here, in the UK, at Westminster. 

#StopBrexitFixBritain 
#SaveHondaSwindon https://t.co/Y8tbP5szfL",['stopbrexitfixbritain']
1105182891137515520,168253175,negative,remain,2019-03-11T19:05:09.000Z,"Even if Theresa May’s rotten deal scrapes through, Brexit will fester for a generation #StopBrexitFixBritain  https://t.co/rWzSi6tF38",['stopbrexitfixbritain']
1105332875711447040,714029868820930560,negative,other,2019-03-12T05:01:08.000Z,"@Andrew_Adonis Has the bespattered #TheresaMay learnt nothing from her desperate trip to Strasbourg to polish the turd that is #Brexit?
#StopBrexitFixBritain #StopBrexitSaveDemocracy",['stopbrexitfixbritain']
1105335190275137536,714029868820930560,negative,other,2019-03-12T05:10:20.000Z,"@mrjamesob Has the bespattered #TheresaMay learnt nothing from her desperate trip to Strasbourg to polish the turd that is #Brexit?
#StopBrexitFixBritain #StopBrexitSaveDemocracy",['stopbrexitfixbritain']
1105378220734582784,419927046,positive,leave,2019-03-12T08:01:19.000Z,"@Conservatives @theresa_may Seriously, we are sick of the lot of you.

Brexit is a giant con to benefit the likes of @Jacob_Rees_Mogg at the expense of ordinary hard working people.

We weren’t all fooled by rich mans’ gofer @Nigel_Farage .

#StopBrexitFixBritain 

#StopBrexitSaveDemocracy https://t.co/XP653905QD",['stopbrexitfixbritain']
1105378396450754560,419927046,positive,leave,2019-03-12T08:02:01.000Z,"@Conservatives @theresa_may Seriously, we are sick of the lot of you.

Brexit is a giant con to benefit the likes of @Jacob_Rees_Mogg at the expense of ordinary hard working people.

We weren’t all fooled by rich mans’ gofer @Nigel_Farage .

#StopBrexitFixBritain 

#StopBrexitSaveDemocracy https://t.co/uJ77FuXaDz",['stopbrexitfixbritain']
1105378982839705600,91545269,neutral,other,2019-03-12T08:04:21.000Z,"Yes, there is an alternative.  Revoke Article 50 and stop this wrecking ball known as Brexit.

#StopBrexitFixBritain https://t.co/EUXqDbeAUe",['stopbrexitfixbritain']
1105386181091569664,319643102,negative,remain,2019-03-12T08:32:57.000Z,"“The risk is very slim of not leaving at all. Because very few politicians are brave enough to stop Brexit altogether.”

Jacob Rees-Mogg telling it how it is...that he is a coward amongst cowards.

#StopBrexitFixBritain",['stopbrexitfixbritain']
1105422802566418432,754682219784986624,neutral,remain,2019-03-12T10:58:28.000Z,#RevokeArticle50 #StopBrexit #StopBrexitSaveBritain #StopBrexitSaveDemocracy #StopBrexitFixBritain .@theresa_may is #LiarInChief  .@jeremycorbyn is #handmaiden #brexit #Alliance https://t.co/ASKoPos6Xc,['stopbrexitfixbritain']
1105424987517784064,1056857576661569536,neutral,remain,2019-03-12T11:07:09.000Z,#brexit what a shower! #StopBrexitFixBritain #RevokeArticle50 https://t.co/d6J2RC31Gk,['stopbrexitfixbritain']
1105429200285192192,920309085836279808,positive,remain,2019-03-12T11:23:53.000Z,"@SteveBarclay  He is talking sense, so why aren’t the donkeys leading Brexit listening? Because it is Right-wing Tories that want Brexit, it is NOT “the will of the people”. Tories, putting the CON into CONservatives. #StopBrexitFixBritain https://t.co/owvOgZA8aA",['stopbrexitfixbritain']
1105489774780039168,968829907986976768,neutral,other,2019-03-12T15:24:35.000Z,"According to this Tory MP, 80% of the country wants Brexit. If he’s so sure of that, put it back to the people #skynews #PeoplesVoteNow #peoplesvote #RevokeArt50 #StopBrexitFixBritain",['stopbrexitfixbritain']
