t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1133100118293569536,20578134,negative,remain,2019-05-27T19:58:14.000Z,"Why is #Remain ""undemocratic""?  Why is #Brexit founded on cheating, fraud and lies democracy? No- It isn't. #StopBrexitNow https://t.co/EVLFWzQIvy",['stopbrexitnow']
1133320819621470208,21745651,positive,other,2019-05-28T10:35:14.000Z,"@jsolloso You're correct of course, the #remain parties easily beat the brexit vote overall, yet the #msm inc the #bbc keep pushing that brexit won ffs!! #bbcbias 

#StopBrexitNow 
#RevokeA50",['stopbrexitnow']
1135920043349368832,15758848,neutral,remain,2019-06-04T14:43:37.000Z,"@FFSake_ @peoplesvote_uk Brexit will cause us to go from equal partnership with 27 other EU nations to being a vassal 51st State of USA. #StopBrexitNow
#PeoplesVote
#RevokeArticle50",['stopbrexitnow']
1136338351634751488,1032970380888219520,negative,remain,2019-06-05T18:25:49.000Z,@christopherhope @EuropeFife @Nigel_Farage @LBC #StopBrexitNOW #NHSNotForSale Stop Far Right @Nigel_Farage @brexitparty_uk @Arron_banks &amp; #Brexit facilitator @jeremycorbyn @UKLabour https://t.co/6GxkNEaz39,['stopbrexitnow']
1136489404355272704,107426979,negative,remain,2019-06-06T04:26:03.000Z,What’s scary is the way the @Conservatives candidates can’t even agree and are arguing about #Brexit between each other - there’s no hope for the Conservatives- #europe has been destroying their party for 40 years and probably Brexit the final nail in their coffin #StopBrexitNow,['stopbrexitnow']
1136589623822565376,68664958,neutral,other,2019-06-06T11:04:17.000Z,"I'm waiting for the latest spin - #Brexit shows Britain's altruism - look at all the jobs we're giving away to other countries 🤔
#Ford #StopBrexitNow #RevokeArticle50",['stopbrexitnow']
1136869053279219712,407120027,positive,remain,2019-06-07T05:34:38.000Z,Labour wins Peterborough by-election good anything better so as long Brexit Party fails! https://t.co/rX3Bw1mVRh #StopBrexitNow #RevokeA50 #brexitpartyfails,['stopbrexitnow']
1136977668832935936,867018599323639808,positive,remain,2019-06-07T12:46:14.000Z,"Yeah. Strange that, isn't it?!! Almost as though the senior &amp; accounting staff at these huge multinationals might have an idea what will happen if #Brexit happens. #StopBrexit #RevokeA50 #FinalSay #OptionToRemain #RevokeArticle50 #Remain #StopBrexitNow #Europe #Stay #PeoplesVote https://t.co/kZH5dh6Khj",['stopbrexitnow']
1138775827557081088,867018599323639808,neutral,remain,2019-06-12T11:51:29.000Z,I'm a Tyke but currently residing in Bedford &amp; strongly opposed to #Brexit. #Brexshit #StopBrexit #StopBrexitNow #Remain #RevokeArticle50 #RevokeA50 #FinalSay #PeoplesVote #OptionToRemain #NationalSuicide #CutYourNoseOffToSpiteYourFace #ShootOurselvesInTheFoot #European #Stay #EU https://t.co/2np1rI1X9i,['stopbrexitnow']
1140878136512602112,21745651,positive,remain,2019-06-18T07:05:18.000Z,"@IanDunt Who out of those left in the #LeadersDebate do you think HAS got a good ""Brexit policy""??! 🙄
#RevokeA50 
#StopBrexitNow 🇪🇺",['stopbrexitnow']
1143822467041058816,851153378403024896,positive,leave,2019-06-26T10:05:01.000Z,@theresa_may A brokered deal; rejected by Parliament; there will never be a better deal than #Remain. We need YOU to #RevokeA50; start regaining credibility with our EU partners. If you can't #RevokeA50 please delay Brexit so we can #PutItToThePeople. Pls #StopBrexitNow b4 you go,['stopbrexitnow']
1143863291019780096,1487400157,negative,remain,2019-06-26T12:47:15.000Z,"2/ acted as the government mouthpiece and failed to question or hold to account the irresponsible, slapdash and ignorant sharks who pretended to be Brexit Secretary. Blame is the accomplice of failure. The only viable option is to #StopBrexitNow and #RevokeA50.",['stopbrexitnow']
1144007052248924160,2161307487,negative,remain,2019-06-26T22:18:30.000Z,STOP BREXIT NOW #STOPBREXITNOW BEFORE IT'S TOO LATE!! https://t.co/2ueI60eMXZ,['stopbrexitnow']
1145940158451277824,19258891,negative,other,2019-07-02T06:19:58.000Z,"Every single bit of news, every study, every shred of evidence is telling us #brexit is harming our country, our reputation and our people. #stopbrexitnow #revokeA50",['stopbrexitnow']
1146425262839685120,719192865151311872,positive,leave,2019-07-03T14:27:36.000Z,#wehavethebestdeal. It’s total bonkers that we brexit and are unable to trade with these two great nations properly #massivejoblosses   But the ego of Borris  must be honoured at all costs  don’t you all agree ?   #stopbrexitnow and join the campaign to secure all our futures https://t.co/jbndroqOFB,['stopbrexitnow']
