t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1051387127605460992,21617980,positive,other,2018-10-14T08:19:59.000Z,"Spotted at Leeds Bradford Airport. #ExportingIsGreat, with help from the European Regional Development Fund (which we'll no longer get after #Brexit). #StopBrexitSaveBritain #PeoplesVoteMarch https://t.co/NiyjNOYyv2",['stopbrexitsavebritain']
1051387127605460992,21617980,positive,other,2018-10-14T08:19:59.000Z,"Spotted at Leeds Bradford Airport. #ExportingIsGreat, with help from the European Regional Development Fund (which we'll no longer get after #Brexit). #StopBrexitSaveBritain #PeoplesVoteMarch https://t.co/NiyjNOYyv2",['stopbrexitsavebritain']
1051389072307101696,941254327464792064,positive,other,2018-10-14T08:27:43.000Z,"This IS brexit Britain, they want ""freedom of speech"" vigilante law - governed by their idea of right and wrong. Mostly they want to assert their dominance.

Seems to me no one ever told them what 6 inches (150mm for the educated) really looks like!!!

#StopBrexitSaveBritain https://t.co/F1g1zhrnqR",['stopbrexitsavebritain']
1051389072307101696,941254327464792064,positive,other,2018-10-14T08:27:43.000Z,"This IS brexit Britain, they want ""freedom of speech"" vigilante law - governed by their idea of right and wrong. Mostly they want to assert their dominance.

Seems to me no one ever told them what 6 inches (150mm for the educated) really looks like!!!

#StopBrexitSaveBritain https://t.co/F1g1zhrnqR",['stopbrexitsavebritain']
1051397460705366016,2650194375,positive,remain,2018-10-14T09:01:03.000Z,"#PeoplesVote  #StopBrexitSaveBritain  #StopBrexit #Remain 

Do it, #labours nose will be pushed out..
Nobody knows what the hell they want when it comes to #Brexit 
The Tories would win the GE. https://t.co/rTIyQAmX1g",['stopbrexitsavebritain']
1051397460705366016,2650194375,positive,remain,2018-10-14T09:01:03.000Z,"#PeoplesVote  #StopBrexitSaveBritain  #StopBrexit #Remain 

Do it, #labours nose will be pushed out..
Nobody knows what the hell they want when it comes to #Brexit 
The Tories would win the GE. https://t.co/rTIyQAmX1g",['stopbrexitsavebritain']
1051399029249196032,159541269,positive,other,2018-10-14T09:07:17.000Z,"If Brexit happens ""believing"" in Britain will be like believing in fairies. Neither will exist #StopBrexitSaveBritain #FBPE https://t.co/hzx7SZeLGw",['stopbrexitsavebritain']
1051399029249196032,159541269,positive,other,2018-10-14T09:07:17.000Z,"If Brexit happens ""believing"" in Britain will be like believing in fairies. Neither will exist #StopBrexitSaveBritain #FBPE https://t.co/hzx7SZeLGw",['stopbrexitsavebritain']
1051406503075344384,2650194375,negative,remain,2018-10-14T09:36:59.000Z,"#PeoplesVote #StopBrexitSaveBritain #Brexit @Conservatives #Labour 
Thick and lazy, I would throw in the pot as well. https://t.co/UiWMjzINsN",['stopbrexitsavebritain']
1051406503075344384,2650194375,negative,remain,2018-10-14T09:36:59.000Z,"#PeoplesVote #StopBrexitSaveBritain #Brexit @Conservatives #Labour 
Thick and lazy, I would throw in the pot as well. https://t.co/UiWMjzINsN",['stopbrexitsavebritain']
1051406592363700224,22838518,negative,remain,2018-10-14T09:37:20.000Z,"@andreajenkyns Oh do behave. Brexit will have grace consequences for everyone in UK, especially the lower paid. Time to get real, admit it’s a mistake and #StopBrexitSaveBritain",['stopbrexitsavebritain']
1051406592363700224,22838518,negative,remain,2018-10-14T09:37:20.000Z,"@andreajenkyns Oh do behave. Brexit will have grace consequences for everyone in UK, especially the lower paid. Time to get real, admit it’s a mistake and #StopBrexitSaveBritain",['stopbrexitsavebritain']
1051409285446537216,747901327536172928,negative,other,2018-10-14T09:48:02.000Z,"This court case could hand Theresa May the power to stop Brexit - Business Insider

May clearly doesn’t want that power but a successor might

#StopBrexitSaveBritain  https://t.co/Gr6OpfX1RY",['stopbrexitsavebritain']
1051409285446537216,747901327536172928,negative,other,2018-10-14T09:48:02.000Z,"This court case could hand Theresa May the power to stop Brexit - Business Insider

May clearly doesn’t want that power but a successor might

#StopBrexitSaveBritain  https://t.co/Gr6OpfX1RY",['stopbrexitsavebritain']
1051416167045316608,916364191476404224,negative,other,2018-10-14T10:15:23.000Z,"People aren’t stupid.  

They know that Brexit would crush and break Britain. 

This is not about leavers and remainers. 

This is about saving our nation. 

We are finally united. 

#StopBrexitSaveBritain https://t.co/sraYQ6DeHY",['stopbrexitsavebritain']
1051416167045316608,916364191476404224,negative,other,2018-10-14T10:15:23.000Z,"People aren’t stupid.  

They know that Brexit would crush and break Britain. 

This is not about leavers and remainers. 

This is about saving our nation. 

We are finally united. 

#StopBrexitSaveBritain https://t.co/sraYQ6DeHY",['stopbrexitsavebritain']
1051417765020602368,69558002,negative,other,2018-10-14T10:21:44.000Z,"@db_webb @Britancula @peoplesvote_uk @robdn @wooferendum I know that many street protests ie @No10Vigil @SODEMAction @albawhitewolf @EUflagmafia @FauxBoJo @EUlvis all draw media attention &amp; have their vital role in messaging #StopBrexitSaveBritain and is reaching a variety of ppl, incl MPs and MEPs. #Brexit is #NotADoneDeal #FBPE",['stopbrexitsavebritain']
1051417765020602368,69558002,negative,other,2018-10-14T10:21:44.000Z,"@db_webb @Britancula @peoplesvote_uk @robdn @wooferendum I know that many street protests ie @No10Vigil @SODEMAction @albawhitewolf @EUflagmafia @FauxBoJo @EUlvis all draw media attention &amp; have their vital role in messaging #StopBrexitSaveBritain and is reaching a variety of ppl, incl MPs and MEPs. #Brexit is #NotADoneDeal #FBPE",['stopbrexitsavebritain']
1051430731732398080,82741811,positive,other,2018-10-14T11:13:15.000Z,I am an ardent socialist but could never vote for #Labour while they support #Brexit against the will of the members #StopBrexitSaveBritain #PeoplesVote #FinalSayForAll #OptionToRemain @Labour4EU @LabPeoplesVote @Remain_Labour @Labour4Eurostay https://t.co/NWowgvUkvy,['stopbrexitsavebritain']
1051430731732398080,82741811,positive,other,2018-10-14T11:13:15.000Z,I am an ardent socialist but could never vote for #Labour while they support #Brexit against the will of the members #StopBrexitSaveBritain #PeoplesVote #FinalSayForAll #OptionToRemain @Labour4EU @LabPeoplesVote @Remain_Labour @Labour4Eurostay https://t.co/NWowgvUkvy,['stopbrexitsavebritain']
1051431953642254336,823632932141142016,negative,remain,2018-10-14T11:18:07.000Z,"@theresa_may @jeremycorbyn #StopBrexitSaveBritain #FinalSayForAll Brexit is a symptom of how badly things have got in the UK.
Stop Brexit #RemainerNow, we're better belonging in the EU &amp; fix the problems that led to this avoidable disaster. https://t.co/1DmXGAFDUP",['stopbrexitsavebritain']
