t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1169365257984380928,2581025694,neutral,remain,2019-09-04T21:42:57.000Z,#LiarJohnson hasn't changed his immature attitude to the business of Brexit from the beginning. He thrives on his Etonian connections and comedic appearances. He treats nothing with seriousness and is just along for the ride #StopBoris #StopBrexit #StopBrexitSaveDemocracy https://t.co/h8xFXlmvkv,['stopbrexitsavedemocracy']
1169395143868342272,2354789478,neutral,remain,2019-09-04T23:41:43.000Z,"Precisely. #Brexit skewered.
#NoMandate4NoDeal
#StopTheCoup &amp; #StopBrexitSaveDemocracy 
#PeoplesVote to #RevokeA50 &amp; #Remain 
#FBPE https://t.co/wevII1KU0X",['stopbrexitsavedemocracy']
1169483960793088000,965092262,neutral,remain,2019-09-05T05:34:38.000Z,Brexit: Lords deal blow to Boris Johnson with pledge to pass bill stopping no deal – politics live - Good start but we must be wary of all the subterfuge of #LiarJohnson - #peoplesvote is more urgent than a general election #StopBrexitSaveDemocracy #remain https://t.co/rCXoPQ7Vug,['stopbrexitsavedemocracy']
1169499480498016256,32456965,positive,other,2019-09-05T06:36:19.000Z,"That was fast. 

We should ask ourselves why the process has sped up so much. 

Tories are counting on a GE to win a firm mandate for Brexit. 

They will ignore any decisions taken by the previous government. 

Let’s be careful how we go. 

#GTTO 
#StopBrexitSaveDemocracy https://t.co/v56qfDfyjs",['stopbrexitsavedemocracy']
1169501808957566976,32456965,positive,remain,2019-09-05T06:45:34.000Z,"#StopBrexitSaveBritain 
#StopBrexitSaveDemocracy

Let’s be careful though. 
They want a GE because they want to manipulate another win and then push Brexit through. 

Campaign now to #RevokeA50 
Campaign to vote for Remain parties. 

#StopBrexitSaveBritain https://t.co/jxUQJgRqzq",['stopbrexitsavedemocracy']
1169505822604443648,325220064,negative,remain,2019-09-05T07:01:31.000Z,Pence insults Irish by endorsing Johnson &amp;  Brexit. #resist #Resistance #StopTheCoup #StopBrexit #StopBrexitSaveBritain #StopBrexitSaveDemocracy  https://t.co/mTgST6TaWA,['stopbrexitsavedemocracy']
1169509724460670976,3288422681,neutral,remain,2019-09-05T07:17:01.000Z,"@bbclaurak Of course. 

That way the can use the #GetReadyForBrexit £100 million as campaign funds therefore circumventing electoral law on spending rules.

#GovermentVsThePeople #StopTheCoup #dictatorship #LiarJohnson #DictatorJohnson #StopBrexit #StopBrexitSaveDemocracy #Brexit",['stopbrexitsavedemocracy']
1169521785676718080,100313198,negative,remain,2019-09-05T08:04:57.000Z,"Total nonsense to say a ""No Deal"" Brexit would ""end uncertainty"" - it would lead to years of further uncertainty &amp; poverty! #StopTheCoup #StopBrexitSaveDemocracy",['stopbrexitsavedemocracy']
1169532543047274496,449574447,positive,other,2019-09-05T08:47:41.000Z,"@StandUp4Brexit @ShaileshVara The referendum was won by a campaign of lies by both leave groups, Parliament has tried to deliver brexit but found that it cannot be delivered as described by the liars and charlatans, consequently the best way forward is to revoke article 50. #StopBrexitSaveDemocracy",['stopbrexitsavedemocracy']
1169533845563158528,2789794573,neutral,remain,2019-09-05T08:52:52.000Z,@singharj The ERG is the Parliamentary wing of the Farage's Brexit Party Ltd and Baker is its Gruppenfuehürer #StopBrexitSaveDemocracy,['stopbrexitsavedemocracy']
1169550117088706560,37853509,positive,remain,2019-09-05T09:57:31.000Z,"@hillsideheather @charliejrome @melaniekmelvin Check out the Civil Contingencies Act 2004...if Brexit goes ahead, Johnson will have Henry VIII powers (google them) and will have almost free rein for 2 years!
 May even said that human/workers rights were top of her post-Brexit agenda
#StopBrexitSaveDemocracy #StopBrexit",['stopbrexitsavedemocracy']
1169554404862832640,2846809907,negative,other,2019-09-05T10:14:34.000Z,"Private Eye reporting #Yellowhammer plans for military to take over local government in the event of a no-deal Brexit.

Absurd &amp; sinister in equal measure.

#StopTheCoup #StopBrexitSaveDemocracy https://t.co/fc0K3yyFB5",['stopbrexitsavedemocracy']
1169581941697515520,41326943,neutral,remain,2019-09-05T12:03:59.000Z,"We've had three elections in the last four years. 
 
They've done nothing to clarify or resolve Brexit. NOTHING.
 
Time to #RevokeArticle50 and put Brexit out of its misery once and for all.
 
#StopBrexitSaveDemocracy",['stopbrexitsavedemocracy']
