t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
948847030457262080,721026242,neutral,remain,2018-01-04T09:22:15.000Z,"You can have the #nhs or you can have #Brexit .... you CANNOT have both !

#stopbrexitsavenhs
#nhscrisis
#stopbrexit
#fbpe",['stopbrexitsavenhs']
949017403802947584,4264297743,positive,remain,2018-01-04T20:39:15.000Z,Can everyone now see the links between #NHSCrisis and #Brexit? We've got to #StopBrexit2018 and ease #NHSPressure #NHSWinterCrisis  #ToriesOut #StopBrexitSaveNHS And here is @Jeremy_Hunt wearing a #TateandLyle lanyard. Can't imagine why!! https://t.co/N7TXXr7JvD,['stopbrexitsavenhs']
949017767247863808,4264297743,positive,remain,2018-01-04T20:40:42.000Z,Can everyone now see the links between #NHSCrisis and #Brexit? We've got to #StopBrexit2018 and ease #NHSPressure #NHSWinterCrisis  #ToriesOut #StopBrexitSaveNHS https://t.co/lNnlevyQIk,['stopbrexitsavenhs']
949199388932497408,206413533,negative,remain,2018-01-05T08:42:24.000Z,"None of my incredulity, anger or dismay at Brexit has one iota to do with my being hampered by customs/passport checks when I go on holiday. It is all about what Brexit will do to the economy, and our living standards in Britain. #StopBrexitSaveBritain #StopBrexitSaveNHS #FBPE https://t.co/4gIB68pOzU",['stopbrexitsavenhs']
949276922038583296,4264297743,positive,remain,2018-01-05T13:50:29.000Z,It's #OurNHS or #Brexit YOU CANNOT HAVE BOTH! #StopBrexit2018 @jeremycorbyn @Keir_Starmer @Jeremy_Hunt @BBCNews @BBCNormanS @BBC @bbclaurak @BBCNewsnight @bbcnickrobinson @BBCPolitics @daily_politics @BBCWorld @bbchealth The public want #StopBrexitSaveNHS https://t.co/gaD9SwaeMw,['stopbrexitsavenhs']
949283026931978240,466549936,positive,remain,2018-01-05T14:14:45.000Z,"@drjanaway Having #Brexit means #NHS getting a lot less money, fewer staff &amp; inventing our own drug controls. #Retain ing #EU membership means more staff, better drug controls &amp; research &amp; access to healthcare across 28 states.
#StopBrexitSaveNHS #StopBrexit #StopBrexit2018 #FBPE #remain",['stopbrexitsavenhs']
949349789522591744,4264297743,neutral,remain,2018-01-05T18:40:02.000Z,@jonlis1 I don't think we do just say #stopbrexit We give loads of facts and figures It's obvious we can't have #NHS AND #Brexit. #StopBrexitSaveNHS,['stopbrexitsavenhs']
949366008606699520,943160123031158784,neutral,remain,2018-01-05T19:44:29.000Z,"Doctors and nurses overworked. Not enough staff, beds, or money. People not getting the care they need. But it's ok. Relax. @theresa_may &amp; @Jeremy_Hunt said sorry. Awwww cute! Stop wasting money on #Brexit and #SaveOurNHS #StopBrexit #NHSCrisis #StopBrexit2018 #StopBrexitSaveNHS",['stopbrexitsavenhs']
949368612720185344,627387918,negative,remain,2018-01-05T19:54:50.000Z,"If #Brexit was a court case, Boris Johnson would be jailed for libel and there would be a retrial.  Enough is enough. #StopBrexitSaveNHS #StopBrexitSaveBritain",['stopbrexitsavenhs']
949588877341347840,22681885,negative,leave,2018-01-06T10:30:05.000Z,"@ste942000 @WeNeedEU @nikkirobson1 @ElliH53 The house of lords can block the legislation, sending it back into a 2 year black hole. But you won't have known that, you literally voted for #NoPlan 
Keep up the hollow optimism. In the past 2 months you lost hard brexit and you lost to Article 7. 
#StopBrexitSaveNHS",['stopbrexitsavenhs']
