t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1106913324325851136,45970216,negative,remain,2019-03-16T13:41:16.000Z,"@afinnthing @AyoCaesar @OwenJones84 @HackneyAbbott @PeoplesMomentum Maybe if Labour spoke to #TheMany about the deception &amp; corruption of the 1st referendum + the clearly devastating impact of any kind of Brexit on our national regions then there would be more pressure on MPs to halt this insanity?

NHS unions want EUref2
#StopBrexitSaveOurNHS https://t.co/bEiDXkuySB",['stopbrexitsaveournhs']
1106997324734255104,45970216,negative,other,2019-03-16T19:15:03.000Z,"@David_Rigby @sumlin @Jhiaxus_Prime @sleafordmods Maybe if Labour spoke to #TheMany about the deception &amp; corruption of the 1st referendum + the clearly devastating impact of any kind of Brexit on our national regions then folk would understand we need to stop this insanity?

NHS unions want to stop Brexit
#StopBrexitSaveOurNHS https://t.co/XCPl5tiSrh",['stopbrexitsaveournhs']
1108867811093504000,45970216,positive,leave,2019-03-21T23:07:42.000Z,"@NHSMillion The plain truth is that Vote Leave promised from day 1 that Brexit would make things better for Our NHS
Yet we know now that was a lie &amp; all the NHS unions are against Brexit
That is reason enough to Revoke by itself. 

#RevokeArticle50 
#StopBrexitSaveOurNHS https://t.co/bZOATjDKae",['stopbrexitsaveournhs']
1109390928240959488,45970216,negative,remain,2019-03-23T09:46:23.000Z,"@GSMValentina @helen_tiger @Stu_pdj @AnnieLennox People were deliberately misled by Leave into thinking Brexit would help the NHS. 
We need change but not for the worse. 
Everyone who isn't a tax-dodging profiteer loses if we don't Stop Brexit. 
#RevokeArticle50 
#StopBrexitSaveOurNHS https://t.co/E9Sy13dBEN",['stopbrexitsaveournhs']
1111390558696542208,45970216,neutral,other,2019-03-28T22:12:12.000Z,"@TheWindCriesOw @MICHAELMCQUAD13 @MaxMigliorato @Otto_English @davidschneider @EL4JC Just step back and listen to the facts about our NHS.

Labour will never be forgiven for not raising awareness of the fact the NHS is against Brexit 
#StopBrexitSaveOurNHS

https://t.co/05ePy9RdP7",['stopbrexitsaveournhs']
1114092273971732480,4720651,negative,remain,2019-04-05T09:07:51.000Z,"@brexit_wto Sick of liars and cheats trying to force their unwanted and illegally funded #BrexitShambles on 74% of the UK population who DID NOT CHOOSE it.

#StopBrexitMisconduct #RevokeArticle50 #StopBrexitSaveLives #StopBrexitSaveOurNHS https://t.co/QyCBOaDSpQ",['stopbrexitsaveournhs']
1118450830301171712,45970216,neutral,other,2019-04-17T09:47:12.000Z,"Take medical advice on Brexit 

#StopBrexitSaveOurNHS
#LookB4WeLeave https://t.co/BC7qV6GbYH",['stopbrexitsaveournhs']
1121707882939060224,141144412,positive,remain,2019-04-26T09:29:34.000Z,"@RussInCheshire What freaks me out, much more than this photo, is the thought of having to pay for life-saving treatment like you had. The thought of the #NHS being handed over US companies in exchange for the trade we’ll need post-#Brexit

Glad to hear you’re well now

#StopBrexitSaveOurNHS",['stopbrexitsaveournhs']
1122770743576682496,45970216,negative,remain,2019-04-29T07:52:59.000Z,"Doctors advise we stop Brexit
#StopBrexitSaveOurNHS #NHSvBrexit #FinalSay #PeoplesVote https://t.co/IKDH1bb1Qd",['stopbrexitsaveournhs']
1124424704926920704,39496081,neutral,leave,2019-05-03T21:25:15.000Z,"@jeremycorbyn If you enable #brexit in any form, you will have let the electorate down big time. And no, this is not a call to get the deal done. This was a call to #StopBrexitsaveournhs",['stopbrexitsaveournhs']
1126125920077664256,834387226440110080,positive,remain,2019-05-08T14:05:16.000Z,"@robdelaney We in the UK are very lucky to have our #NHS.  It is a precious, vital service that needs to be protected. It is one of the many reasons we need to #stopBrexit.  Any form of Brexit will damage our NHS. #StopBrexitSaveOurNHS #NobodyVotedToBeSicker #RevokeRemainRebuildREUnite",['stopbrexitsaveournhs']
1128170513581445120,949692936614285056,positive,remain,2019-05-14T05:29:45.000Z,"#BrexitParty please note to deliver #Brexit you need to be an MP. In the UK parliament.🤔 #EUelections2019 =wrong place you numpties. 

Ps #StopBrexitSaveBritain #StopBrexitSaveOurNHS
#BrexitWillKillOurNHS the leave supporters want to privatise it. #factsnotfiction",['stopbrexitsaveournhs']
1129075334043885568,981128259738972032,neutral,other,2019-05-16T17:25:11.000Z,"@Nigel_Farage We can have Brexit or the NHS. 
We can't have both.

#stopbrexitSAVEOURNHS
#VoteLibDem https://t.co/yZ6CZDDbz3",['stopbrexitsaveournhs']
1129774553335554048,296211879,negative,remain,2019-05-18T15:43:38.000Z,"No deal Brexit consequence:  👇
#Brexit 
#StopBrexit 
#StopBrexitSaveOurNHS https://t.co/H4hxMWWubL",['stopbrexitsaveournhs']
1130439203744112640,621355415,negative,leave,2019-05-20T11:44:43.000Z,"@RCgothic @timbotweet @Grimmsqueak @remainvoter And, infuriatingly, whilst thoughtful Remainers agonise over how best to deploy their democratic vote, the Brexit Party with their simplistic messaging and no manifesto can rely on their voters to have no qualms about voting for them and an uncertain future #StopBrexitSaveOurNHS",['stopbrexitsaveournhs']
