t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1169351335302615040,70423163,positive,other,2019-09-04T20:47:38.000Z,Column: The Boris Brexit meltdown is the best show on TV - Los Angeles Times ⁦@BorisJohnson⁩ #StopTheCoup #StopTheBrexitCoup  https://t.co/7pGWuMQ00u,['stopthebrexitcoup']
1169351679881490432,877995866069577728,negative,other,2019-09-04T20:49:00.000Z,"😂😂😂😂😂😂😂😂😂
Brexit: Government fails in bid to call a general election for 15 October
#StopTheCoup
#StopTheBrexitCoup
https://t.co/A2TUyOrpIw",['stopthebrexitcoup']
1169357109185732608,1002826591792230400,negative,other,2019-09-04T21:10:35.000Z,"Could I ask all my followers to follow staunch remainer @Lee_Tagziria, who if I may say so myself has put out some great commentary on Brexit and organised crime (although I may be biased as he is my son!). 

#StopTheBrexitCoup 
#RevokeA50",['stopthebrexitcoup']
1169481169655783424,838355126477783040,positive,remain,2019-09-05T05:23:33.000Z,"Fabulous work by everyone, starting to feel that there are decent people left in this country.
#StopTheBrexitCoup
Brexit: Lords agree to push through bill preventing no deal by end of Friday

https://t.co/Lp6EhnyMf0",['stopthebrexitcoup']
1169487208874696704,838355126477783040,negative,other,2019-09-05T05:47:33.000Z,"Keep up the fight Layla, many, many people support you.
#StopTheBrexitCoup
As an MP I’ve been called a traitor and worse, but I will still fight no-deal Brexit

https://t.co/IquWMr082b",['stopthebrexitcoup']
1169511018516668416,45586702,negative,remain,2019-09-05T07:22:09.000Z,"@MikeHolden42 He’s pressing hard for a general election in October so that he can sneak a no-deal through by default. He’s desperate for this to out kipper fish-face. He has no Brexit plan other than preserve Boris.
#StopTheBrexitCoup 
#StopNoDealBrexit 
#StopTheCoup 
#BorisShambles",['stopthebrexitcoup']
1169512514473857024,2644915526,positive,other,2019-09-05T07:28:06.000Z,"Very good analysis from @jennirsl with an important message for the opposition parties #Brexit
#StopTheCoup #StopTheBrexitCoup
 https://t.co/XVlmo2uvzb",['stopthebrexitcoup']
1169556639390654464,21706471,neutral,remain,2019-09-05T10:23:26.000Z,Explains #Brexit and the Tory government. #BorisJohnsonShouldNotBePM #BorisJohnson #StopTheBrexitCoup #JacobReesMogg #StopBrexit #FBPE https://t.co/TvHK722Eb2,['stopthebrexitcoup']
1169564089493970944,747697378782810112,positive,remain,2019-09-05T10:53:03.000Z,"Manchester for Europe member calls into Nick Ferrrari Show on #LBC . 

“Brexit’s like PPI. Completely mis-sold”

#StopTheBrexitCoup #BrexitLies #BrexitScam https://t.co/m7sYPRoXi5",['stopthebrexitcoup']
1169582845129609216,1617370026,negative,remain,2019-09-05T12:07:34.000Z,"THERE . ARE . NO . BREXIT . NEGOTIATIONS!

#LiarJohnson's claim that Parliament is undermining negotiations is also therefore a lie. You can't undermine something that isn't happening. #StopTheBrexitCoup #PeoplesVote https://t.co/6m8t7oaIK3",['stopthebrexitcoup']
1169610971922477056,2807691944,positive,other,2019-09-05T13:59:20.000Z,"@DavidLammy @mariefhager Be honest, the priority is to stop Brexit #DefendOurDemocracy #StopTheBrexitCoup",['stopthebrexitcoup']
1169619032632451072,1025785361467887616,positive,remain,2019-09-05T14:31:22.000Z,Funny then Jacob that you are doing the exact opposite of what your constituents voted for - REMAIN - and are supporting Brexit.  you are another #ToryParty hypocrite. #StopTheBrexitCoup         # # https://t.co/8azsKbh9Is,['stopthebrexitcoup']
1169626454075854848,921293712755429120,negative,other,2019-09-05T15:00:51.000Z,"No place to hide, Brexit Alex.

#StoptheTaxDodgers
#StopTheBrexitCoup #RevokeA50 https://t.co/kH8hFeAmTj",['stopthebrexitcoup']
1169644723834957824,984881221133066240,negative,other,2019-09-05T16:13:27.000Z,"@Andrew_Adonis will be joining us next Friday 13th Sept to talk abput Brexit and how we stop this mess. Speakers include @natalieben and Henry Nottage from Tony Butterworth Cycles #StopTheBrexitCoup

https://t.co/wUjF62vkmq",['stopthebrexitcoup']
1169649455479644160,796033080893050880,negative,other,2019-09-05T16:32:15.000Z,"#StopTheCoup #StopTheBrexitCoup #SaveDemocracy 

BBC News - Brexit: PM's plan 'an unlawful abuse of power' https://t.co/L5YmzyQmwB",['stopthebrexitcoup']
1169649858485116928,796033080893050880,neutral,other,2019-09-05T16:33:51.000Z,"#StopTheCoup #StopTheBrexitCoup #SaveDemocracy 

BBC News - Brexit: Court releases PM's Parliament shutdown memos https://t.co/X287CgFoPP",['stopthebrexitcoup']
1169661310432370688,921293712755429120,negative,remain,2019-09-05T17:19:22.000Z,"@JCHannah77 From what I've seen, it would be pointless exercise. He's definitely drunk or high on something - and it's sure not Brexit euphoria.

#StoptheTaxDodgers
#StopTheBrexitCoup #RevokeA50",['stopthebrexitcoup']
1169699781842755584,831248271716802560,negative,remain,2019-09-05T19:52:14.000Z,"@FranatAFI @sgoldswo @CMO_England @Dannythefink @Jacob_Rees_Mogg @djnicholl Johnson, Davis and Fox got the top three Brexit jobs. Davis and Fox are hard Leavers. OK, Johnson only is concerned about Johnson but May ended up as PM because Johnson and Gove turned chicken.
#BrexitShambles #StopTheBrexitCoup 
#BorisJohnsonDictator #bbcqt",['stopthebrexitcoup']
1169707160848207872,715873578663673856,positive,other,2019-09-05T20:21:33.000Z,Have you learned anything new about #brexit? If yes tweet your replies in this 👇 #FBPE #StopTheBrexitCoup https://t.co/rJFiFmFEVZ,['stopthebrexitcoup']
1169711153318191104,180346428,negative,other,2019-09-05T20:37:25.000Z,"@Femi_Sorry @Femi_Sorry You schooled her. She had no facts, no logic - that is the Brexit Party way.

#StopTheBrexitCoup",['stopthebrexitcoup']
1169721376472784896,1041356227203068032,positive,leave,2019-09-05T21:18:03.000Z,"@DeborahFSussex @SarahHa61964026 @darrengrimes_ That is what is so funny. The Brexit racists want to stop freedom of movement. 
We shall have to bring in workers from the Indian sub continent!
That will inflame them even more.😆😆😆
#StopTheBrexitCoup #LiarAndShamelessOutNow",['stopthebrexitcoup']
1169729750161678336,261805462,neutral,other,2019-09-05T21:51:19.000Z,"Tour de force by @HelenHet20 on the humbug of the #StopTheBrexitCoup crowd. 

'Those who wish to stop Brexit are not good-faith defenders of the principle of parliamentary sovereignty they now purport to champion.' https://t.co/eqImZD08Lg",['stopthebrexitcoup']
1169730879159230464,295906784,negative,remain,2019-09-05T21:55:48.000Z,"Six months ago, my EU partner of over 48 years died in tragic circumstances. She had lived here peacefully, respectfully and legally for over 50 years. Today the coroner recorded that it was suicide, citing among other reasons her worries about Brexit. #StopTheBrexitCoup",['stopthebrexitcoup']
1169784184870752256,17929186,neutral,remain,2019-09-06T01:27:37.000Z,@catchafire777 @brexit_sham @Bonn1eGreer Literally reading from a playbook. #trumpslump #TrumpRecession #StopTheBrexitCoup,['stopthebrexitcoup']
1169789410780467200,39771063,negative,other,2019-09-06T01:48:23.000Z,"Stopping No Deal is not stopping Brexit. 

Repeat, repeat, repeat....!

Time to work in the national interest!

#SayNo2aNoDealBrexit

#StopTheLies  

#StopTheBrexitCoup 

#NationalInterestsFirst https://t.co/2eH4vDUzwf",['stopthebrexitcoup']
1169849855675490304,859799274,neutral,leave,2019-09-06T05:48:35.000Z,#StopTheBrexitCoup #brexit The Germans did vote for Hitler. They did not vote for genocide. #BorisJohnsonSpeech keeps claim the people voted for no deal - they did NOT - there was a vote to leave in a responsible manner.,['stopthebrexitcoup']
1169872274368761856,442976787,negative,remain,2019-09-06T07:17:40.000Z,"@JohnnyMercerUK @EmilyThornberry It has nought to do with democracy. It has more to do with some of your pals caught out in the Paradise Papers. Some people would destroy a country to stop tax evasion and corruption being exposed. So stop with the faux outrage. Brexit is the very dark road.
#StopTheBrexitCoup",['stopthebrexitcoup']
1169881596968570880,1155920492072775680,negative,remain,2019-09-06T07:54:42.000Z,"With #brexit worries, #Westminster at breaking point and #StopTheBrexitCoup trending on twitter, stay informed at https://t.co/DUuiVKUGth 
The politics weekly section simplifies what’s happening around the world. 
Stay informed.",['stopthebrexitcoup']
1169881757371363328,1169547337607327744,positive,remain,2019-09-06T07:55:20.000Z,Like an elderly relative at the nursing home who cannot remember if he went to the toilet or not. #Brexit #BrexitChaos #NotMyPrimeMinister #StopTheBrexitCoup https://t.co/ruFjKKn3FW,['stopthebrexitcoup']
1169892448505483264,102688431,neutral,remain,2019-09-06T08:37:49.000Z,"@3TreeHugs @carolecadwalla In the words of Tess Mayhem 
""Remind you of anyone""? #StopTheBrexitCoup #dictatorship #Fascism #NeverTrustATory #Brexit #VoteLeaveBrokeTheLaw https://t.co/w9AgLC02sL",['stopthebrexitcoup']
1169897522036260864,1444130852,negative,remain,2019-09-06T08:57:59.000Z,"#NODEAL LEATHER SOFA OFFER
BUY NOW, PAY LATER 
PAY THE PRICE OVER 20 YEARS AT FULL INTEREST 
SPREAD OVER THOUSANDS OF MONTHS
NB. Food, medicine shortages may apply #DyingForBrexit #PeopleWillDie #StopTheBrexitCoup #brexit #LabourParty #Liberal #ConservativeParty #SNP #StopBrexit https://t.co/EzUspbi67y",['stopthebrexitcoup']
1169900470225096704,1111654510731165696,positive,remain,2019-09-06T09:09:42.000Z,"@Conservatives @PeterBoneUK @BorisJohnson I agree. Don't delay Brexit.
Stop Brexit

#StopBrexit #StopTheBrexitCoup #StopBrexitSaveDemocracy #LeaveMeansLeave #BrexitNow",['stopthebrexitcoup']
1169902982193770496,2367153769,positive,remain,2019-09-06T09:19:41.000Z,"Once again @Jacob_Rees_Mogg is correct 
He has said that there should be a second referendum
He has my back

He now says, Brexit “is of fundamental importance to us all. That is why it is right to put this back to the British people”.
He has my back
#Referendum
#StopTheBrexitCoup",['stopthebrexitcoup']
1169915117372411904,144201630,negative,remain,2019-09-06T10:07:54.000Z,"I'm confused. If he is so certain of getting a deal, why does the no deal legislation bother him?

Also, why would he risk a GE on 15 Oct if he is confident of securing that deal at EUCO on 17 Oct?

It stinks.

#Brexit 
#StopTheBrexitCoup",['stopthebrexitcoup']
1169924426516836352,796033080893050880,negative,other,2019-09-06T10:44:54.000Z,"However the fight to #StopTheCoup #StopTheBrexitCoup continues 

BBC News - Brexit: Gina Miller's bid to stop UK Parliament suspension rejected https://t.co/EO6kveczDr",['stopthebrexitcoup']
