t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
877578721485615104,2254023716,neutral,other,2017-06-21T17:27:26.000Z,"""One does not see any similarity between one's hat and the flag of the European Union"" #StateOpening #Brexit #StrongerIn https://t.co/nT1k4cbYzS",['strongerin']
877593466896760832,344170691,positive,remain,2017-06-21T18:26:02.000Z,@ShaunDonoghue11 I want that hat ..........   #brexit  - #strongerin,['strongerin']
878017336216768512,4842131290,negative,other,2017-06-22T22:30:20.000Z,"We Remember When You Called Us an ""Enemy Of Promise"" - Teachers Tell Gove https://t.co/WlXa1EIziV #brexit #euref #michaelgove #strongerin",['strongerin']
879190272302866432,769307515872014208,negative,remain,2017-06-26T04:11:10.000Z,Frontex Report Shows Major Flaws in EU Security https://t.co/1IY5fMWGB3 #VoteLeave #go #euref #EUreferendum #Brexit #Remain #StrongerIn,['strongerin']
879279752628121600,4720651,negative,other,2017-06-26T10:06:43.000Z,"No #BrexitShambles please.

#StrongerIN  YES! 2 #Remain    NO! to #Brexit https://t.co/bq5QJZmMO5",['strongerin']
879651342901444608,805515175,positive,other,2017-06-27T10:43:17.000Z,Wow. @RhonddaBryant just absolutely hammered Owen Paterson during #AllOutPolitics #SkyDebate there! #nomandate #Brexit #StrongerIN,['strongerin']
880923977685901312,1176749958,positive,leave,2017-06-30T23:00:17.000Z,"@tisgrand @Keir_Starmer @MirrorPolitics
We need strong opposition to be brave and stop Brexit #strongerin",['strongerin']
881448267938242560,394872164,neutral,remain,2017-07-02T09:43:38.000Z,"@Independent Still intoxicated on #Brexit Juice, it not 80% #MrsMay #Strongerin",['strongerin']
882147613138722816,1150585999,negative,remain,2017-07-04T08:02:35.000Z,"UK economy officially EU’s worst performer – POLITICO 
#Brexit YOU WERE #StrongerIN
https://t.co/AbzekIy77W",['strongerin']
883995751168303104,18629308,positive,other,2017-07-09T10:26:25.000Z,I hope @VinceCableMP is right; I'll happily help make sure the #Brexit lunacy never happens #strongerin  https://t.co/3BJP4CEX4H,['strongerin']
885280399202582528,112553631,neutral,other,2017-07-12T23:31:09.000Z,"'Or even ditching #Brexit'. Why the caution, Phil? Are we seeing the first in a step-by-step approach linked to Tory mayhem? #StrongerIn https://t.co/9odR87ZGqt",['strongerin']
887234179481690112,1150585999,neutral,other,2017-07-18T08:54:47.000Z,"UK Treasury select committee chair: There won’t be a ‘pain-free’ #Brexit 

You were #StrongerIn

https://t.co/YnRCgQHKJK",['strongerin']
888352457256054784,1150585999,neutral,remain,2017-07-21T10:58:25.000Z,"9 ways Britain could stay in the European Union – POLITICO
#Brexit You were #StrongerIn
 https://t.co/tCtELHwBNF",['strongerin']
892380566653460480,4720651,positive,leave,2017-08-01T13:44:41.000Z,"#StrongerIN YES! to #Remain
Jenni Russell article:
""No Dunkirk Spirit Can Save Britain From Brexit Defeat""
https://t.co/w52yd9YCCL https://t.co/8k1ArKOwcp",['strongerin']
892407776802222080,805515175,neutral,other,2017-08-01T15:32:48.000Z,@Daily_Express Can we just not take any form of disastrous #Brexit at all? That'd be nice #ifonly #StrongerIN,['strongerin']
893034446127071232,805515175,neutral,remain,2017-08-03T09:02:58.000Z,A second #Brexit referendum? It’s looking more likely by the day | Vernon Bogdanor https://t.co/PfGbOplcAt #brexitshambles #StrongerIN,['strongerin']
893163671861547008,924602761,negative,remain,2017-08-03T17:36:28.000Z,"@GuyVerhofstadt I am proud to be European too, and ashamed that Brexit will rob me of my European citizenship #StrongerIn",['strongerin']
896655720199933952,232806060,positive,leave,2017-08-13T08:52:37.000Z,Great article from @DMiliband on the Brexit stitch-up and why UK democracy needs a second referendum. #StrongerIn #BrexitMugs https://t.co/ECTFVYMlZk,['strongerin']
