t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1051409847248392192,306823427,negative,remain,2018-10-14T09:50:16.000Z,David Davis urges cabinet mutiny to kill Theresa May's Brexit plan https://t.co/3UCEOxr4qZ #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #Peston #PeoplesVote #gmb,['stupidbrexiteers']
1051409847248392192,306823427,negative,remain,2018-10-14T09:50:16.000Z,David Davis urges cabinet mutiny to kill Theresa May's Brexit plan https://t.co/3UCEOxr4qZ #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #Peston #PeoplesVote #gmb,['stupidbrexiteers']
1051441437970259968,306823427,neutral,remain,2018-10-14T11:55:48.000Z,Ruth Davidson could quit as Scottish Tory leader over Brexit deal row. Be gone!! https://t.co/LvI8BYO29H #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #PeoplesVote,['stupidbrexiteers']
1051441437970259968,306823427,neutral,remain,2018-10-14T11:55:48.000Z,Ruth Davidson could quit as Scottish Tory leader over Brexit deal row. Be gone!! https://t.co/LvI8BYO29H #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #PeoplesVote,['stupidbrexiteers']
1051500803054288896,306823427,negative,remain,2018-10-14T15:51:42.000Z,Revealed: leaked emails show DUP ready for no-deal Brexit https://t.co/9wGUtQf4Ei #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #PeoplesVote #brexit #StopBrexit #bbcqt,['stupidbrexiteers']
1051500803054288896,306823427,negative,remain,2018-10-14T15:51:42.000Z,Revealed: leaked emails show DUP ready for no-deal Brexit https://t.co/9wGUtQf4Ei #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #PeoplesVote #brexit #StopBrexit #bbcqt,['stupidbrexiteers']
1051721618177830912,306823427,positive,remain,2018-10-15T06:29:08.000Z,Brexit Countdown: Legal bid could deliver second referendum before Christmas https://t.co/HWFzbS9yl5 #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #gmb #jeremyvineon5,['stupidbrexiteers']
1051721618177830912,306823427,positive,remain,2018-10-15T06:29:08.000Z,Brexit Countdown: Legal bid could deliver second referendum before Christmas https://t.co/HWFzbS9yl5 #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #gmb #jeremyvineon5,['stupidbrexiteers']
1051758778398445568,306823427,neutral,remain,2018-10-15T08:56:48.000Z,Brexit explained in 10 seconds(ish) https://t.co/Ta6NUxnD0y #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #gmb #jeremyvineon5 #Thismorning #derbyshire #derbyshireis,['stupidbrexiteers']
1051758778398445568,306823427,neutral,remain,2018-10-15T08:56:48.000Z,Brexit explained in 10 seconds(ish) https://t.co/Ta6NUxnD0y #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #gmb #jeremyvineon5 #Thismorning #derbyshire #derbyshireis,['stupidbrexiteers']
1051766130107387904,306823427,negative,remain,2018-10-15T09:26:00.000Z,Theresa May's domestic vulnerability puts Brexit talks on knife-edge https://t.co/P1dcxrS1jn #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #jeremyvineon5 #Thismorning,['stupidbrexiteers']
1051766130107387904,306823427,negative,remain,2018-10-15T09:26:00.000Z,Theresa May's domestic vulnerability puts Brexit talks on knife-edge https://t.co/P1dcxrS1jn #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #jeremyvineon5 #Thismorning,['stupidbrexiteers']
1051770599939432448,306823427,negative,remain,2018-10-15T09:43:46.000Z,Brexit: most doctors and nurses now think NHS will get worse https://t.co/nHKcPEHCbf #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #gmb #jeremyvineon5 #Thismorning,['stupidbrexiteers']
1051770599939432448,306823427,negative,remain,2018-10-15T09:43:46.000Z,Brexit: most doctors and nurses now think NHS will get worse https://t.co/nHKcPEHCbf #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #gmb #jeremyvineon5 #Thismorning,['stupidbrexiteers']
1051811634824531968,306823427,positive,remain,2018-10-15T12:26:50.000Z,"Brexit's Gone From ""We'll Be Better Off"" To ""We'll Survive"": James O'Brien - LBC https://t.co/PYBzu8R18b #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #PoliticsLive",['stupidbrexiteers']
1051811634824531968,306823427,positive,remain,2018-10-15T12:26:50.000Z,"Brexit's Gone From ""We'll Be Better Off"" To ""We'll Survive"": James O'Brien - LBC https://t.co/PYBzu8R18b #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #marr #PoliticsLive",['stupidbrexiteers']
1051858291960229888,306823427,neutral,remain,2018-10-15T15:32:14.000Z,Opposition lawmakers may back Theresa May on Brexit https://t.co/OlE5SCHR4q #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #PoliticsLive #bbcparliament #PeoplesVote #brexit,['stupidbrexiteers']
1051858291960229888,306823427,neutral,remain,2018-10-15T15:32:14.000Z,Opposition lawmakers may back Theresa May on Brexit https://t.co/OlE5SCHR4q #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #skynews #BBCBreakfast #PoliticsLive #bbcparliament #PeoplesVote #brexit,['stupidbrexiteers']
1051858535489921024,306823427,positive,remain,2018-10-15T15:33:12.000Z,‘Theresa May has reneged on her Brexit promises at every turn – that’s why we need to march for a Final Say on Saturday’ https://t.co/E6vwUAGtJj #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #itvnews #bbcnews #c4news #5news #gmb,['stupidbrexiteers']
