t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1133320027950714880,164809116,positive,remain,2019-05-28T10:32:05.000Z,"@tamcohen Thus, at a stroke, rendering them bereft of FOM and the European rights&amp;benefits they currently enjoy... like any non British EU National is going to think “Wow, how decent of him!”#Brexit #Toryshambles #Gove",['toryshambles']
1133707236474281984,857889751491371008,negative,remain,2019-05-29T12:10:43.000Z,"Raising the bar for corruption, hostile env, Grenfell, Brexit, austerity, child poverty, schools crisis, NHS crisis, international standing, tax havens - Theresa May's legacy is a terrible rogue's gallery #ToryShambles - We need to get the #ToriesOut before more damage is done! https://t.co/biI42pfrd9",['toryshambles']
1135458116781465600,164809116,negative,other,2019-06-03T08:08:05.000Z,"In my list of women giving blondes a bad name, I forgot the intellectual that is Liz Truss.... Mind you she’s dimmer than a Toc H lamp so understandably I missed her in the Stygian Tory gloom.... #Toryshambles #Brexit #Brexitshambled https://t.co/H0fhkHXcMj",['toryshambles']
1136184816074993664,164809116,negative,remain,2019-06-05T08:15:44.000Z,@IanDunt @Jessica12uk Hancock -recipient of monies from IEA which is vehemently anti #NHS- safe on my watch he says—  thats like sitting in the barbers chair and Sweeny Todd telling you not to worry... #Brexit #Toryshambles #peoplesvote #Stopbrexit #TrumpwantsNHS,['toryshambles']
1137344655220269056,1090605917920550656,negative,remain,2019-06-08T13:04:31.000Z,"@DominicRaab You are truly awful, so hungry for power you will literally say anything. At the moment you seem to emulating #NigelFarage If there is a divine power -please do not hand the keys to this man #Brexit #remain #RevokeArticle50 #BestForBritain #CountryBeforeParty #ToryShambles #FBPE",['toryshambles']
1137757378856853504,753505894277718016,negative,remain,2019-06-09T16:24:32.000Z,Hard Brexit is the drug the Tories need to wean themselves off | Matthew d’Ancona - the guardian. Tory magical thinking. #ToryLeadershipContest #ToryLeadership #ToryShambles #BrexitShambles  https://t.co/EtNzGAHVcE,['toryshambles']
1138127012688584704,2499819283,neutral,remain,2019-06-10T16:53:19.000Z,"Economy tanked in April, sales down in May both due to #Brexit and still the #tories go on and on about no deal - they are a clear threat to this country’s economic well-being #ToryLeadership #ToryLeadershipContest #libdems #peoplesvote #stopbrexit #toryshambles",['toryshambles']
1139527872463462400,551787952,negative,remain,2019-06-14T13:39:50.000Z,@alexwickham @RaabWatch 'it is vital the public are part of this process' it says - but we're not . Only members of the pro #Brexit #Tory party. Anyone out there think this undemocratic bullshit will end well? @Conservatives #ToryLeadershipElection #Toryshambles,['toryshambles']
1140223282291101696,753505894277718016,positive,remain,2019-06-16T11:43:09.000Z,Tory grandee Ken Clarke vows to bring down next 'idiot' prime minister over no-deal Brexit - PoliticsHome. Good man. #ToryShambles #BrexitShambles  https://t.co/XrIuSArEa2,['toryshambles']
1140911704504770560,753505894277718016,neutral,remain,2019-06-18T09:18:42.000Z,Conservative party members would rather break up the United Kingdom than stop Brexit - Business Insider. Maybe that is indeed becoming unavoidable. #ToryLeadeshipContest #ToryLeadershipCandidates #ToryLeadership #ToryShambles #BrexitShambles  https://t.co/Vn2b2JQIS3,['toryshambles']
