t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
746816378036944896,1861579459,negative,other,2016-06-25T21:24:34.000Z,Sign to demand a 2nd EU Referendum - Petitions #EUref #Brexit #EUreferendum #ukineu #EUpetition  https://t.co/QNH7eSNWXz,['ukineu']
747377425126916096,21650295,positive,other,2016-06-27T10:33:58.000Z,Why the UK will NOT leave the EU #brexit #UKinEU #fintech https://t.co/yeYkdJoJhL,['ukineu']
747389577783025664,2815367155,negative,other,2016-06-27T11:22:15.000Z,The killing of #democracy or of #reason? https://t.co/JgLdBAmq5z #Brexit #BrexitVote #EUreferendum #EURefResults #UKinEU #brexitdebate,['ukineu']
747537968500449280,1498991760,neutral,leave,2016-06-27T21:11:54.000Z,Brexit won’t shield Britain from the horror of a disintegrating EU https://t.co/c08ip7PR6T via @wordpressdotcom #EUref2 #democracy #UKinEU,['ukineu']
748069087696269312,15588419,neutral,other,2016-06-29T08:22:23.000Z,"Until parliament ratifies any #Brexit, nothing has changed. #UKinEU @EU_Commission @IVoteStay https://t.co/dj3bW0HbTl",['ukineu']
748775259659051008,931900838,neutral,remain,2016-07-01T07:08:28.000Z,@BBCNews @itvnews @SkyNews @StrongerIn #Brexit #UKinEU #EUreferendum #remain #Brexit.Except #Bremain https://t.co/0OanhROm9X,['ukineu']
748885604000272384,351500954,neutral,other,2016-07-01T14:26:56.000Z,"The Old London, a city respectful and tolerant. Such a shame #Brexit #ukineu  https://t.co/9SBgdHgvPi",['ukineu']
748925600912506880,1201792831,negative,other,2016-07-01T17:05:52.000Z,"BBC News - #Brexit Turmoil : UK workers in Germany fear for future https://t.co/a45eM5e3oo

#UKinEU #Remain",['ukineu']
749248108668805120,22985183,neutral,remain,2016-07-02T14:27:24.000Z,Now wondering whether #WhiffWhaff was a lie too @BorisJohnson #brexit #UKinEU,['ukineu']
749286760094380032,26556871,neutral,other,2016-07-02T17:00:59.000Z,Will I still be able to get these in Amsterdam post Brexit? #iloveeu #ukineu https://t.co/PZXxyJxXLo,['ukineu']
750251139879280640,2389336800,positive,remain,2016-07-05T08:53:05.000Z,Please sign this petition - UK government - guarantee EU citizens right to remain in the UK: https://t.co/OsyMsPkdib #Brexit #EUref #UKinEU,['ukineu']
751025912137785344,4798345477,positive,other,2016-07-07T12:11:45.000Z,https://t.co/bPNtuw6gDs TOP TEN RICHEST PEOPLE IN THE UK !#money #UKinEU #Brexit #entrepreneur #London #top10... via @ReadersPride,['ukineu']
