t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
695348336828612608,253941749,negative,other,2016-02-04T20:48:57.000Z,I voted to leave Europe in 1975… I was wrong https://t.co/6sWX1BuicB via timesredbox #euref #brexit #leaveeu #strongerin #votein,['votein']
695536096525025280,4827144183,negative,remain,2016-02-05T09:15:02.000Z,"#VoteIn #RIPUK #Brexit 
If UK votes to stay in the EU we will be committing suicide as a country. https://t.co/K67qlPHpPB",['votein']
696069065102770176,253941749,positive,leave,2016-02-06T20:32:52.000Z,"If sceptics can't agree what leaving EU looks like, how can they even say that #Brexit is best 4 UK? #euref #votein https://t.co/XjcBDjN09k",['votein']
696122159685627904,174631667,positive,other,2016-02-07T00:03:50.000Z,Amazed we've put up with it for so long. Even more amazed people want to #VoteIn! #EuRef @Grassroots_Out #Brexit https://t.co/xZDDkgSpWv,['votein']
696292104167940096,253941749,neutral,remain,2016-02-07T11:19:08.000Z,#Brexit: Nothing More Than A Contemporary Mode. https://t.co/r8PcutKUQ6 via @sayyes2europe #euref #strongerin #votein,['votein']
696334185712246784,253941749,negative,other,2016-02-07T14:06:21.000Z,"@DanHannanMEP @DavidDavisMP in case you missed it, his #brexit case utterly destroyed: https://t.co/tV4skdDqax #euref #strongerin #votein",['votein']
696360298844921856,253941749,negative,remain,2016-02-07T15:50:07.000Z,Creating problems where there are none: Many #brexit EU claims false or are being addressed by EU. #euref #votein https://t.co/7ZrQ22OBAe,['votein']
696425413720064000,253941749,negative,remain,2016-02-07T20:08:52.000Z,"The champ of #Brexit, Dan Hannan's sophistry exposed! #euref #strongerin #votein  https://t.co/VNXHRCF8F9",['votein']
697098822653239296,253941749,positive,other,2016-02-09T16:44:45.000Z,Farewell Tech City! Only 9% of UK’s tech businesses want #Brexit: https://t.co/ml5pPlpEVz #euref #strongerin #votein,['votein']
698692436051230720,253941749,positive,remain,2016-02-14T02:17:12.000Z,Brits deserve better than than #brexit lies they've been getting. https://t.co/Ghy9JcRx8M #euref #strongerin #uk4eu #votein,['votein']
699655400656891904,4898927866,neutral,other,2016-02-16T18:03:41.000Z,"#votein REALLY????? You are insane!!
#VoteLeave #Brexit  https://t.co/lO9k15HF5r",['votein']
700058524588580864,4898927866,positive,leave,2016-02-17T20:45:33.000Z,#VoteLeave NOT #VoteIN to protect your future #Brexit  https://t.co/ShgiYxvb4F,['votein']
700286377745891328,253941749,positive,other,2016-02-18T11:50:57.000Z,Simply the best concisely stated argument to stay in EU &amp; reject #Brexit. #euref #strongerin #votein  https://t.co/vhXZCNGKSy,['votein']
700394480898277376,253941749,neutral,remain,2016-02-18T19:00:31.000Z,Pope has just branded every UK Eurosceptic as heathens. #brexit #euref #strongerin #votein https://t.co/EeEGqVR77l,['votein']
700790542297341952,1423418305,neutral,remain,2016-02-19T21:14:19.000Z,Deal done! #Brexit #VoteIn  https://t.co/jI25npFC7p,['votein']
700791752270032896,253941749,negative,remain,2016-02-19T21:19:08.000Z,"Hannan wrong on single market, free movement link: https://t.co/xweIUaF459 #euref #brexit #strongerin #votein",['votein']
701024588768088064,3032975381,neutral,other,2016-02-20T12:44:21.000Z,23rd of June for #Brexit vote #votein,['votein']
701041951345401856,533578801,negative,leave,2016-02-20T13:53:20.000Z,Independence Day? I do worry about the #Brexit pushers. #VoteIn https://t.co/k8VdLRfVCn,['votein']
701050435549982720,1011662005,positive,leave,2016-02-20T14:27:03.000Z,Great to see @durham_uni #students working hard for the in campain! #VoteIn #BetterTogether #brexit https://t.co/abYBsa89Y5,['votein']
701069561056075776,533578801,neutral,remain,2016-02-20T15:43:03.000Z,We could have these two in charge after #Brexit #VoteIn https://t.co/RJOnuSRWbe,['votein']
701132441268973568,253941749,negative,other,2016-02-20T19:52:55.000Z,"#Eloquence and #Brexit, now there's an oxymoron! #euref #votein  https://t.co/Kb36BUU590",['votein']
701151627177234432,90527083,neutral,remain,2016-02-20T21:09:09.000Z,This #brexit #votein  https://t.co/sn6WgBlI21,['votein']
701386583153496064,533578801,positive,remain,2016-02-21T12:42:47.000Z,Remember a vote for #Brexit will allow the tories to weaken workers rights &amp; consumer protection laws #VoteIn  https://t.co/HrgfwEjWr5,['votein']
701387668895244288,533578801,positive,other,2016-02-21T12:47:06.000Z,#Farage #Galloway #Salmond - all three are the same. Over inflated blow hards full of their own self importance. #Brexit #VoteIn,['votein']
701440631676207104,41390554,positive,remain,2016-02-21T16:17:33.000Z,Boris &amp; Farage campaigning together....fuckin Laurel &amp; Hardy 😄 #VoteIn #Brexit,['votein']
701480451882487808,17571475,neutral,other,2016-02-21T18:55:47.000Z,"I guess UK is also going to vote about NU, OTAN, IMF... Those organisations also have part of the UK sovereignty. #Brexit #VoteLeave #VoteIn",['votein']
701571719899779072,701020174640619520,positive,other,2016-02-22T00:58:27.000Z,Let's #votein shall we? A peaceful Europe for all. #VoteLeave #brexit #eureferendum https://t.co/WMwD9MT1rt,['votein']
701671284753575936,2281361466,neutral,remain,2016-02-22T07:34:05.000Z,"#BorisJohnson is now in high stakes position - if we #Brexit, he's in pole position for next leader; #VoteIn and he's finished #EUreferendum",['votein']
701715464146317312,253941749,negative,remain,2016-02-22T10:29:38.000Z,#Brexit has it all wrong. #euref #votein  https://t.co/x9tQyyBr3r,['votein']
701732017336147968,533578801,neutral,remain,2016-02-22T11:35:25.000Z,Comparing #Hollande to #Hitler. A new low for the #Brexit camp. #VoteIn #EURef https://t.co/Ek8ZPgnXOR,['votein']
701745816919216128,533578801,positive,remain,2016-02-22T12:30:15.000Z,Murdoch Rothermere &amp; Desmond want #Brexit. That's a good enough reason to #VoteIn #EURef,['votein']
701876598811860992,253941749,neutral,other,2016-02-22T21:09:56.000Z,Finally an end to this outdated #brexit sovereignty issue once and for all! #euref #strongerin #votein https://t.co/V2uJvPSa7A,['votein']
