t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1133040466293735424,106238643,neutral,other,2019-05-27T16:01:12.000Z,'There’s also a #VoteLeave connection – #Sajid has snapped up former Vote Leave and TaxPayers’ Alliance Chief Executive Matthew Elliott who is providing informal advice at this stage' #toryleadership #ToryLeadershipContest #Brexit #EUElections2019 https://t.co/Qubyh2LnCM,['voteleave']
1133043758646403072,87511073,neutral,leave,2019-05-27T16:14:17.000Z,"This is our nation. Our ancestors built this nation, we've been here for centuries...

#EUelections2019 #EP2019 #EuropeanElectionResults #Brexit #UKPolitics #monday #mondaymotivation #motivationalmonday #bbcnews #skynews #UnitedKingdom #UK #EU #Politics #VoteLeave #BrexitParty",['voteleave']
1133044037915729920,87511073,neutral,leave,2019-05-27T16:15:24.000Z,"...now they are having us replaced. It's not even a war...

#EUelections2019 #EP2019 #EuropeanElectionResults #Brexit #UKPolitics #monday #mondaymotivation #motivationalmonday #bbcnews #skynews #UnitedKingdom #UK #EU #Politics #VoteLeave #BrexitParty",['voteleave']
1133396370801516544,3191417549,positive,other,2019-05-28T15:35:26.000Z,"@BillboBagginsX @StillDelvingH @CrazyHomies @tfoale @_Hydrofish @David_Lofts @jilliebinfrance @carolecadwalla @peterjukes @PeterKGeoghegan @brexit_sham @RealBristolNews @SebDobson @fascinatorfun @Otto_English @MollyMEP 2012: Tory HQ Symonds sent to re-elect #Johnson London Mayor
2016: ""natural choice to work with him on the #VoteLeave campaign"" 
2018: ""Boris &amp; fellow Brexiter Michael #Gove stepped in to save Carrie’s job as the party’s PR exec""
#Murdoch Brexshit float-us https://t.co/2naA0iAWR5",['voteleave']
1133453607045480448,1600767468,neutral,leave,2019-05-28T19:22:53.000Z,"@haroldthimbleby @leolliao @phoenix0879 @grahamwebb991 @TheTrut43512839 @hockeybotabc @theresa_may @Conservatives Are you taking the piss?

We wouldn't need the EU funding if we wasn't paying double to them in the 1st place.

#brexit #voteleave",['voteleave']
1133686539869982720,2388160516,negative,remain,2019-05-29T10:48:28.000Z,"If #BorisJohnson among others is being investigate for lying as part of the #VoteLeave campaign, why are we still going forward with #Brexit? And why are people supporting his bid to be the next PM? Do our MPs not see what an absolute shit show this is? #BorisJohnsonShouldNotBePM",['voteleave']
1133727545923395584,269673128,negative,other,2019-05-29T13:31:25.000Z,I'd expect such bullshit #brexit propaganda from the #tories - not #labour... democracy didn't end in 2016 to an advisory referendum predicated on the illegal #voteleave campaign | #Labour chair #ianlavery: #peoplesvote backers sneering at ordinary people https://t.co/6rgor4SyFe,['voteleave']
1134260156500516864,46269550,negative,leave,2019-05-31T00:47:49.000Z,"You're damn RIGHT we didn't know what we were voting for in #VoteLeave  

I believed we were voting to leave the #EU but apparently we were voting to get f**ked up the rear end by a rampant Establishment &amp; #Remoaners who are hell bent on destroying #Brexit  at all costs. 
#BBCQT",['voteleave']
1135289749063786496,993147985432383360,positive,leave,2019-06-02T20:59:03.000Z,"I'm so proud of Theresa May, she campaigned so hard for #brexit during the referendum. #voteleave",['voteleave']
1135306635130392576,1024022803,negative,remain,2019-06-02T22:06:09.000Z,"Listen to what the #BrexitParty is really saying #VoteLeave. They are the disgusting dregs of society who should never have this platform. #Brexit isn’t worth our humanity, let alone everything else that is wrong with #Brexit. You will all end up on the wrong side of history https://t.co/Si0NQlrAHq",['voteleave']
1135569818793455616,2843630307,positive,leave,2019-06-03T15:31:57.000Z,"The Tory-Trump post-#Brexit ‘shadow trade deals’ created to deregulate in favour of food &amp; drug lobbies. Driving USA food staples such as chlorinated chicken, hormone fed beef &amp; GM foods for sale to the UK. 

Pushed by #VoteLeave Tory MEP Daniel Hannan.
https://t.co/HgWLFsjzvJ https://t.co/lb8CQrIJQR",['voteleave']
1135835473652441088,108717435,positive,leave,2019-06-04T09:07:34.000Z,"And thanks to #Brexit and #VoteLeave, entirely necessary. #LeaveMeansTheyShouldLeave https://t.co/0RjI41mucC",['voteleave']
1136535235364052992,1600767468,negative,leave,2019-06-06T07:28:10.000Z,"#Brexit #voteleave
We need to stop the government running ruff shod over the law

https://t.co/x9H0eGAPPc",['voteleave']
1136885065659625472,3392927158,negative,other,2019-06-07T06:38:16.000Z,"@bbcquestiontime The real question that no one addresses is how important is it to continue to uphold the result of a  supposed ‘democratic’ vote where #voteleave broke the law, they lied about the benefits of #Brexit &amp; that they had a plan to achieve #Brexit (and still no one does 3yrs later).",['voteleave']
1136888729208070144,4843236069,neutral,other,2019-06-07T06:52:50.000Z,"#VoteLeave and spend £100 million on #Brexit consultants.

#DidYouVoteForThat?

#NotMyBrexit #PeoplesVote #FinalSay #Remain 

https://t.co/Kp34mocpYl",['voteleave']
