t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1106336682129977344,463810595,positive,remain,2019-03-14T23:29:54.000Z,"@Channel4News A liars #Brexit won by crooks and cheats would be a perfect fit for Trump - the lying cheat-in-chief
#LeaveEuBrokeTheLaw
#VoteLeaveBrokeTheLaw
#CrookedBrexit",['voteleavebrokethelaw']
1106429986922217472,463810595,positive,remain,2019-03-15T05:40:40.000Z,"@bbcquestiontime @JoRichardsKent Yes. #Brexit was won with every swindle, with lies and with criminality. We need a #PeoplesVote, a first vote not tained by sleaze and lies 
#CrookedBrexit
#VoteLeaveBrokeTheLaw
#LeaveEUBrokeTheLaw",['voteleavebrokethelaw']
1106700243247214592,302237917,negative,remain,2019-03-15T23:34:34.000Z,"@FT You're been listening to the wrong Yorkshiremen then. Brexit is by the elite and spivs, for the elite and spivs. It is the proceeds of crime. #VoteLeaveBrokeTheLaw #LeaveEUBrokeTheLaw #Bankski #Russia #databreach #misuseofpublicfunds #CambridgeAnalytica",['voteleavebrokethelaw']
1106734988417032192,67563916,negative,remain,2019-03-16T01:52:38.000Z,"This isn't true is it @BorisJohnson ?

@michaelgove said similar.

Did you both know it was untrue at the time?

#VoteLeaveBrokeTheLaw
#CollateralDamage
#InLimbo
#InLimbotoo
#citizensrights
#The5Million
#Brexit
#StopBrexit https://t.co/m0jBuLEC0j",['voteleavebrokethelaw']
1106859156739448832,102688431,neutral,other,2019-03-16T10:06:02.000Z,"@LeaveMnsLeave It must be spring, the Toads are migrating.
Keep marching...
Do us all a favour...
Don't come back! 
#MarchToLeave #NigelFarage  #Brexit #VoteLeaveBrokeTheLaw #SaturdayMotivation https://t.co/Kaw7mf2aUJ",['voteleavebrokethelaw']
1106879282968702976,102688431,neutral,leave,2019-03-16T11:26:00.000Z,"@BBCNewsnight @ShankerASingham Give IEA their full title, private funded Hackers of democracy #newsnight #marr #brexit #VoteLeaveBrokeTheLaw 
https://t.co/gcmCG54d8d",['voteleavebrokethelaw']
1107043053272031232,966034416333217792,neutral,remain,2019-03-16T22:16:46.000Z,@LeaveEUOfficial @NickBoles @sarahwollaston @Anna_Soubry @heidiallen75 Beware the law of unintended consequences. More Russian claptrap from 55 Tufton Street. Keep going! You're credibility is nosediving. #brexitshambles #Brexit #voteleavebrokethelaw @10DowningStreet @BrandonLewis @Anna_Soubry @SteveBakerHW,['voteleavebrokethelaw']
1107252745709473792,764089122856267648,neutral,other,2019-03-17T12:10:00.000Z,"Financial fraud,foreign money,continual lies,ignoring half(if now, not more)electorate,not one thing about brexit has been""honourable"". #VoteLeaveBrokeTheLaw #InvestigateNotInstigate 

BBC News - Theresa May asks MPs for 'honourable compromise' on Brexit
https://t.co/pp6PeoCMeV",['voteleavebrokethelaw']
1107256698291531776,744263557336997760,negative,remain,2019-03-17T12:25:43.000Z,"Please come to #PutItToThePeopleMarch next Saturday 23 March and show @theresa_may that we want Parliament to reject no deal #RevokeArt50 investigate #VoteLeaveBrokeTheLaw and  #PutItToThePeople in a #PeoplesVote 
and stop #Brexit https://t.co/Ud3qj6a3sC",['voteleavebrokethelaw']
1107277057594150912,3003123635,negative,other,2019-03-17T13:46:37.000Z,"@KateHoeyMP I know your politics relies on drumming up anger
But how angry will ppl be when they discover that the  #Brexit vote was rigged by fraudulent overspending &amp; foreign money used to target FB ads based on illegal data harvesting?
#BrexitInquiry
#VoteLeaveBrokeTheLaw",['voteleavebrokethelaw']
