t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
746791771527581696,2596203700,neutral,leave,2016-06-25T19:46:47.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/Ji0KQqHi96",['voteout']
746791894437466112,100774948,neutral,leave,2016-06-25T19:47:17.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/N0wlxjBwJE,['voteout']
746866646904561664,1517747802,neutral,leave,2016-06-26T00:44:19.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/WXO0HacgvU",['voteout']
746879852482019328,84970263,neutral,leave,2016-06-26T01:36:47.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/yrNC1DDLeC",['voteout']
747011065691652096,244235285,neutral,leave,2016-06-26T10:18:11.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/PRkxbdZMpN",['voteout']
747028536452603904,2889843369,neutral,leave,2016-06-26T11:27:36.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/CSuZYkww6o",['voteout']
747031067421380608,3101552365,neutral,leave,2016-06-26T11:37:40.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/Ti34rEsesI,['voteout']
747054051712503808,54274590,neutral,leave,2016-06-26T13:09:00.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/pIHGIKjpF4",['voteout']
747055424524943360,741152138752069632,neutral,leave,2016-06-26T13:14:27.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/bpA9wf7sO6",['voteout']
747055632407199744,718465750000934912,neutral,leave,2016-06-26T13:15:17.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/DEwN4EPfOb,['voteout']
747066953097973760,3099364635,neutral,other,2016-06-26T14:00:16.000Z,Anyone seen this on #ryanair #website #votein #voteout #brexit https://t.co/7kWxEtj332,['voteout']
747138364353167360,2265618429,positive,other,2016-06-26T18:44:01.000Z,"vor #Brexit #Verlierer nach #VoteOut #Gewinner 
NOW #Dexit The Winner Takes it all 🇩🇪
@AfD_Bund @AfD_Hamburg @AfD_MV https://t.co/EkWOU3Mvat",['voteout']
747153701970841600,3318767543,negative,other,2016-06-26T19:44:58.000Z,"@jeremycorbyn your thoughts on this article.
#Brexit could break up EU, prevent WWIII: Paul Craig Roberts https://t.co/ccR4irjeH6 #VoteOut",['voteout']
747161654861897728,130806226,neutral,leave,2016-06-26T20:16:34.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/k1UCAJBstU,['voteout']
747195256274305024,1505880222,neutral,leave,2016-06-26T22:30:05.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/qayV9nK68w,['voteout']
747167682936582144,2632472309,positive,leave,2016-06-26T20:40:31.000Z,"Join the petitions online for vote leave.
#brexit #leave #democracy #VoteLeave #GreatBritain #freedom #VoteOut #LeaveCampaign 
#walesvoteout",['voteout']
747170936126840832,41931393,positive,leave,2016-06-26T20:53:27.000Z,My last word on #Brexit #EUref #EURefResults #EUreferendum #VoteLeave #VoteOut We now need togetherness and optimism https://t.co/fdDwRcXTfx,['voteout']
747192477505961984,155198454,neutral,leave,2016-06-26T22:19:03.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/muDM1OJGzY",['voteout']
