t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
881614973566410752,85256730,neutral,other,2017-07-02T20:46:03.000Z,"So silly. The non democratic
scorned losers in the #VoteRemain
camp still think the #VoteLeave
majority who want #Brexit are
stupid idiots🇬🇧 https://t.co/BlDdTUX9JK",['voteremain']
883090321315434496,3170588596,negative,remain,2017-07-06T22:28:34.000Z,#bbcqt why is it that #Brexit leave are always so uninformed yet #voteremain were so informed. There was utter #bullshit on both sides,['voteremain']
884393940753014784,252276052,negative,other,2017-07-10T12:48:41.000Z,@theresa_may abandon #brexit its the will of 37% and some of them have developed the little englander syndrome or just resign. #VoteRemain,['voteremain']
891825972760018944,612321141,neutral,other,2017-07-31T01:00:55.000Z,"Please no Brexit for B'more! 
Keep #Britton! #VoteRemain
#Orioles #IBackTheBirds",['voteremain']
894110422890106880,835975173660631040,neutral,remain,2017-08-06T08:18:31.000Z,@Lettertolead Tim Farron expertly deals with furious #Brexiter supporter | #Brexit #BrexitShambles #StopBrexit #VoteRemain  https://t.co/QGQ,['voteremain']
894607387625181184,835975173660631040,neutral,remain,2017-08-07T17:13:16.000Z,@EUGrassroots Tim Farron expertly deals with furious #Brexiter supporter | #Brexit #BrexitShambles #StopBrexit #VoteRemain  https://t.co/QGQ,['voteremain']
896014940020117504,119363934,positive,remain,2017-08-11T14:26:23.000Z,"20,000-person #Poll shows #VoteLeave &amp; #VoteRemain voters united on proper #Brexit @WestmonsterUK #BrexitMeansBrexit https://t.co/JJQU9KeF0x",['voteremain']
899919600577642496,835975173660631040,neutral,remain,2017-08-22T09:02:07.000Z,@EUGrassroots Tim Farron expertly deals with furious #Brexiter supporter | #Brexit #BrexitShambles #StopBrexit #VoteRemain  https://t.co/QGQ,['voteremain']
901169400253960192,835975173660631040,neutral,remain,2017-08-25T19:48:22.000Z,@EUGrassroots Tim Farron expertly deals with furious #Brexiter supporter | #Brexit #BrexitShambles #StopBrexit #VoteRemain  https://t.co/QGQ,['voteremain']
905592771343335424,1699266222,neutral,leave,2017-09-07T00:45:16.000Z,"@PolihackSupreme @Heavenly_Armed @BigTuna519 @NDP (2/x) in last year's #Brexit referendum, the #voteleave camp over the #voteremain one.  Politicians must understand that when they act too",['voteremain']
910620894225104896,2987132535,negative,remain,2017-09-20T21:45:14.000Z,"Brexit bad in a number of ways for myself. I sell quite a few records in Bulgaria, postage alone for those three will sky rocket #voteremain",['voteremain']
912278862826000384,781269157144854528,positive,remain,2017-09-25T11:33:24.000Z,@Undercover_mole Agreed and #VoteLibDems #LibDems #VoteRemain @LibDems @LibDemNewswire @LibDemPress @LibDemLords #RemoanersUnite 😀 #Brexit,['voteremain']
916071994533335040,2813116140,positive,remain,2017-10-05T22:45:57.000Z,Clearly @daviddimble is #voteremain on #Brexit with those frogs on his tie 🇫🇷 #questiontime https://t.co/2PfjvdHE9V,['voteremain']
918725502805913600,252276052,positive,remain,2017-10-13T06:30:03.000Z,"@kategarraway @ChukaUmunna @GMB @johnredwood is a #brexit dinosaur and a prize plum, like @DavidDavisMP. @ChukaUmunna gets my vote anytime and @GuyVerhofstadt #VoteRemain",['voteremain']
919511667230339072,14735313,negative,other,2017-10-15T10:33:59.000Z,I was a #voteremain but with the #brexit statements that come out of some unelected #EU representatives mouths it doesn't help the case,['voteremain']
922462358731096064,835975173660631040,neutral,remain,2017-10-23T13:58:59.000Z,@HeatherJStyles Tim Farron expertly deals with furious #Brexiter supporter | #Brexit #BrexitShambles #StopBrexit #VoteRemain  https://t.co/jL0usV8jD8,['voteremain']
924468986997329920,835975173660631040,neutral,remain,2017-10-29T02:52:36.000Z,@TakingJobs Tim Farron expertly deals with furious #Brexiter supporter | #Brexit #BrexitShambles #StopBrexit #VoteRemain  https://t.co/QGQ4W,['voteremain']
925039738532368384,835975173660631040,neutral,remain,2017-10-30T16:40:34.000Z,@PoliKartoons Tim Farron expertly deals with furious #Brexiter supporter | #Brexit #BrexitShambles #StopBrexit #VoteRemain  https://t.co/QGQ,['voteremain']
926385943510175744,3056392245,negative,other,2017-11-03T09:49:55.000Z,"@BrexitChris ... in fact the ""irrevocability"" of the vote was used by #Voteremain as a scare tactic for #Brexit #EU",['voteremain']
