t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
952401845225435136,835975173660631040,neutral,remain,2018-01-14T04:47:49.000Z,@TheStephenRalph THE ONLY PARTY PINNING IT'S COLOURS TO THE MAST ON IMMIGRATION #VOTEUKIP #GE2017 110% #BREXIT ORIGINAL PARTY https://t.co/Zy1dIvD3nb,['voteukip']
954017851492446208,886232044996526080,neutral,remain,2018-01-18T15:49:15.000Z,With our ‘Tory government’ we’ll never get the #Brexit we voted for. #VoteUKIP https://t.co/SEPqoTHIAt,['voteukip']
954989973471719424,886232044996526080,negative,remain,2018-01-21T08:12:07.000Z,Once again they’re betraying #Brexit. #VoteUKIP https://t.co/GMk80Hp9Q7,['voteukip']
957889453137285120,901443409650618368,negative,remain,2018-01-29T08:13:37.000Z,"@WinderNick @britainelects @StevePeers @IpsosMORI Why people don't vote for LibDems:
1. Completely 100% wrong on Brexit
2. Legged over students in 2010
3. Destroyed PR issue for a generation with incompetent handling of 2011 AV referendum
4. Geriatric, vacuous, windbag leader
5. Nothing useful to say.

Hope that helps.
#VoteUKIP",['voteukip']
959459848680243200,835975173660631040,neutral,remain,2018-02-02T16:13:48.000Z,@MimiJ9 THE ONLY PARTY PINNING IT'S COLOURS TO THE MAST ON IMMIGRATION #VOTEUKIP #GE2017 110% #BREXIT ORIGINAL PARTY https://t.co/PAjvt9E3TK,['voteukip']
961793256924368896,113744532,negative,other,2018-02-09T02:45:56.000Z,"Sick and tired of the two party state?

Pissed off with how #Labour and #Conservatives are backsliding or not fully committing to #Brexit?

Then vote #UKIP at #LocalElections in May. Let's bring down the two party state!

#VoteUKIP #ForTheNation #OutNow https://t.co/gqRceQx5Zw",['voteukip']
962434448582209536,113744532,neutral,other,2018-02-10T21:13:48.000Z,Latest poll puts @_HenryBolton's @UKIP back up to 5%. #UKIP #VoteUKIP #LocalElections #Brexit #BrexitDeal #DrainTheSwamp #BackBolton https://t.co/Pi8Utq201t,['voteukip']
969984827637358592,835975173660631040,neutral,remain,2018-03-03T17:16:19.000Z,@Marriottliberal THE ONLY PARTY PINNING IT'S COLOURS TO THE MAST ON IMMIGRATION #VOTEUKIP #GE2017 110% #BREXIT ORIGINAL PARTY https://t.co/Zy1dIvD3nb,['voteukip']
987298020663414784,3077080487,positive,leave,2018-04-20T11:52:45.000Z,Only a strong UKIP will force the government to deliver a real and full Brexit. Vote UKIP #UKIP #voteUKIP #LocalElections2018 https://t.co/xXrjQgFuUw,['voteukip']
990170551963521024,279639272,neutral,other,2018-04-28T10:07:10.000Z,"@GO_Ealing Even in your constituency where you are standing for @ukip ? I say vote for the Brexit candidate, regardless of party. Which means where @ukip have candidates, #VoteUKIP #LocalElections2018",['voteukip']
