t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1133021578256691200,20434170,positive,leave,2019-05-27T14:46:09.000Z,Truss. We have no intention of leaving EU or you taking our freedom of movement rights away in 32 countries #Stopbrexit #FBPE #Brexit #GuyVerhofstadt #WATON #Barnier #politics #PeoplesVote #VeniceConvention #SNP #business #greens #EU #Juncker #Tusk https://t.co/RIUVUed1E6,['waton']
1133068085051764736,247981014,positive,other,2019-05-27T17:50:57.000Z,"The (quiet) but very visible anti-Brexit protestors just made their presence very obvious outside Westminster on @bbcnewsline on @BBCOneNI. Excellent positioning &amp; timing, folks!  #FBPE  #WATON",['waton']
1133075871588397056,20434170,positive,remain,2019-05-27T18:21:53.000Z,Remain have won now with more votes than leave parties #Stopbrexit #FBPE #Brexit #GuyVerhofstadt #WATON #Barnier #politics #PeoplesVote #VeniceConvention #SNP #business #greens #EU #Juncker #Tusk https://t.co/rJoLjPiVhp,['waton']
1133152071434342400,20434170,negative,remain,2019-05-27T23:24:41.000Z,UK does not want to leave EU #Stopbrexit #FBPE #Brexit #GuyVerhofstadt #WATON #Barnier #politics #PeoplesVote #VeniceConvention #SNP #business #greens #EU #Juncker #Tusk https://t.co/6uKAd3zXxB,['waton']
1133333437883002880,20434170,neutral,remain,2019-05-28T11:25:22.000Z,65% tariffs on beef doesn't seem cheaper #Stopbrexit #FBPE #Brexit #GuyVerhofstadt #WATON #Barnier #politics #PeoplesVote #VeniceConvention #SNP #business #greens #EU #Juncker #Tusk https://t.co/w4qjixfhQr,['waton']
1133339885853659136,20434170,positive,remain,2019-05-28T11:50:59.000Z,But Tories didn't win majority in any seat in Scotland #Stopbrexit #FBPE #Brexit #GuyVerhofstadt #WATON #Barnier #politics #PeoplesVote #VeniceConvention #SNP #business #greens #EU #Juncker #Tusk https://t.co/SfepgUGqZN,['waton']
1133368823942397952,20434170,positive,remain,2019-05-28T13:45:59.000Z,Especially if most of the UK overseas territories decide to stay with Scotland in EU to keep their freedom of movement in 32 countries #Stopbrexit #FBPE #Brexit #GuyVerhofstadt #WATON #Barnier #politics #PeoplesVote #VeniceConvention #SNP #greens #EU https://t.co/Nlvfnm9yOe,['waton']
1133374595938045952,20434170,positive,remain,2019-05-28T14:08:55.000Z,Does Corbyn care for those who want to stay in EU and keep their freedom of movement rights in 32 countries #Stopbrexit #FBPE #Brexit #GuyVerhofstadt #WATON #Barnier #politics #PeoplesVote #VeniceConvention #SNP #business #greens #EU #Juncker #Tusk https://t.co/MOdEVGLBzv,['waton']
1133667305060294656,247981014,positive,other,2019-05-29T09:32:02.000Z,"👇👏 @HoC_Speaker_MP on great form, again.

Parliament is Sovereign. Govt has no majority. There’s a huge majority in Parliament against a crash-out Brexit.

#JohnBercow  #FBPE  #WATON https://t.co/54Kw14jse3",['waton']
1133709598605680640,20434170,positive,remain,2019-05-29T12:20:06.000Z,60% WTO tariffs on beef doesn't seem like cheaper food #Stopbrexit #FBPE #Brexit #GuyVerhofstadt #WATON #Barnier #politics #PeoplesVote #VeniceConvention #SNP #business #greens #EU #Juncker #Tusk https://t.co/0weqKHXpDm,['waton']
1134188807937548288,20434170,positive,remain,2019-05-30T20:04:18.000Z,Only support s candidate for leader if you know they will cancel Brexit for the good of the country #Stopbrexit #FBPE #Brexit #GuyVerhofstadt #WATON #Barnier #politics #PeoplesVote #VeniceConvention #SNP #business #greens #EU #Juncker #Tusk https://t.co/3kDrf5JnKZ,['waton']
