,t_stance,size,Date
0,leave,2503,2016-01-01
1,other,8188,2016-01-01
2,remain,2832,2016-01-01
3,leave,3338,2016-01-15
4,other,12721,2016-01-15
5,remain,3963,2016-01-15
6,leave,5767,2016-01-29
7,other,22281,2016-01-29
8,remain,8113,2016-01-29
9,leave,18892,2016-02-12
10,other,76759,2016-02-12
11,remain,38867,2016-02-12
12,leave,16829,2016-02-26
13,other,66763,2016-02-26
14,remain,25370,2016-02-26
15,leave,12176,2016-03-11
16,other,45421,2016-03-11
17,remain,16230,2016-03-11
18,leave,10121,2016-03-25
19,other,38479,2016-03-25
20,remain,13857,2016-03-25
21,leave,13515,2016-04-08
22,other,47981,2016-04-08
23,remain,20918,2016-04-08
24,leave,13051,2016-04-22
25,other,48347,2016-04-22
26,remain,15023,2016-04-22
27,leave,21132,2016-05-06
28,other,66357,2016-05-06
29,remain,27810,2016-05-06
30,leave,28579,2016-05-20
31,other,87533,2016-05-20
32,remain,36461,2016-05-20
33,leave,55737,2016-06-03
34,other,196078,2016-06-03
35,remain,82717,2016-06-03
36,leave,309829,2016-06-17
37,other,1228500,2016-06-17
38,remain,584025,2016-06-17
39,leave,72646,2016-07-01
40,other,444337,2016-07-01
41,remain,149819,2016-07-01
42,leave,29239,2016-07-15
43,other,201345,2016-07-15
44,remain,60265,2016-07-15
45,leave,17331,2016-07-29
46,other,104997,2016-07-29
47,remain,31493,2016-07-29
48,leave,15664,2016-08-12
49,other,93935,2016-08-12
50,remain,29802,2016-08-12
51,leave,20749,2016-08-26
52,other,121619,2016-08-26
53,remain,34232,2016-08-26
54,leave,18366,2016-09-09
55,other,102935,2016-09-09
56,remain,30603,2016-09-09
57,leave,22751,2016-09-23
58,other,137170,2016-09-23
59,remain,41699,2016-09-23
60,leave,31894,2016-10-07
61,other,176378,2016-10-07
62,remain,56985,2016-10-07
63,leave,27561,2016-10-21
64,other,158946,2016-10-21
65,remain,49364,2016-10-21
66,leave,38971,2016-11-04
67,other,209319,2016-11-04
68,remain,89037,2016-11-04
69,leave,19878,2016-11-18
70,other,118732,2016-11-18
71,remain,34006,2016-11-18
72,leave,19610,2016-12-02
73,other,118801,2016-12-02
74,remain,32935,2016-12-02
75,leave,11513,2016-12-16
76,other,66961,2016-12-16
77,remain,19454,2016-12-16
78,leave,13953,2016-12-30
79,other,81447,2016-12-30
80,remain,26084,2016-12-30
81,leave,23446,2017-01-13
82,other,163023,2017-01-13
83,remain,44531,2017-01-13
84,leave,17243,2017-01-27
85,other,115125,2017-01-27
86,remain,35545,2017-01-27
87,leave,14100,2017-02-10
88,other,88993,2017-02-10
89,remain,27040,2017-02-10
90,leave,14384,2017-02-24
91,other,88612,2017-02-24
92,remain,27727,2017-02-24
93,leave,18678,2017-03-10
94,other,120842,2017-03-10
95,remain,39013,2017-03-10
96,leave,33457,2017-03-24
97,other,173264,2017-03-24
98,remain,57347,2017-03-24
99,leave,16435,2017-04-07
100,other,82898,2017-04-07
101,remain,30572,2017-04-07
102,leave,18028,2017-04-21
103,other,119695,2017-04-21
104,remain,40664,2017-04-21
105,leave,17634,2017-05-05
106,other,95994,2017-05-05
107,remain,31604,2017-05-05
108,leave,16134,2017-05-19
109,other,88831,2017-05-19
110,remain,33978,2017-05-19
111,leave,25978,2017-06-02
112,other,133888,2017-06-02
113,remain,52932,2017-06-02
114,leave,24017,2017-06-16
115,other,128280,2017-06-16
116,remain,41838,2017-06-16
117,leave,18370,2017-06-30
118,other,90339,2017-06-30
119,remain,33435,2017-06-30
120,leave,18075,2017-07-14
121,other,101151,2017-07-14
122,remain,34106,2017-07-14
123,leave,16887,2017-07-28
124,other,87243,2017-07-28
125,remain,32872,2017-07-28
126,leave,14805,2017-08-11
127,other,72476,2017-08-11
128,remain,25843,2017-08-11
129,leave,13805,2017-08-25
130,other,82497,2017-08-25
131,remain,26861,2017-08-25
132,leave,16148,2017-09-08
133,other,84818,2017-09-08
134,remain,33462,2017-09-08
135,leave,17136,2017-09-22
136,other,92637,2017-09-22
137,remain,36443,2017-09-22
138,leave,20640,2017-10-06
139,other,118457,2017-10-06
140,remain,43924,2017-10-06
141,leave,15252,2017-10-20
142,other,84202,2017-10-20
143,remain,32494,2017-10-20
144,leave,16308,2017-11-03
145,other,86582,2017-11-03
146,remain,31735,2017-11-03
147,leave,19877,2017-11-17
148,other,112448,2017-11-17
149,remain,40860,2017-11-17
150,leave,22012,2017-12-01
151,other,140968,2017-12-01
152,remain,47762,2017-12-01
153,leave,14887,2017-12-15
154,other,73425,2017-12-15
155,remain,31657,2017-12-15
156,leave,13640,2017-12-29
157,other,59115,2017-12-29
158,remain,28459,2017-12-29
159,leave,12965,2018-01-12
160,other,60059,2018-01-12
161,remain,25495,2018-01-12
162,leave,16206,2018-01-26
163,other,83532,2018-01-26
164,remain,32981,2018-01-26
165,leave,17951,2018-02-09
166,other,77636,2018-02-09
167,remain,34951,2018-02-09
168,leave,16966,2018-02-23
169,other,80596,2018-02-23
170,remain,31018,2018-02-23
171,leave,15386,2018-03-09
172,other,70897,2018-03-09
173,remain,27012,2018-03-09
174,leave,16787,2018-03-23
175,other,64312,2018-03-23
176,remain,29181,2018-03-23
177,leave,12571,2018-04-06
178,other,53417,2018-04-06
179,remain,22886,2018-04-06
180,leave,17164,2018-04-20
181,other,68685,2018-04-20
182,remain,30755,2018-04-20
183,leave,36034,2018-05-04
184,other,147122,2018-05-04
185,remain,69749,2018-05-04
186,leave,39354,2018-05-18
187,other,163441,2018-05-18
188,remain,79410,2018-05-18
189,leave,56872,2018-06-01
190,other,232801,2018-06-01
191,remain,104566,2018-06-01
192,leave,64693,2018-06-15
193,other,267164,2018-06-15
194,remain,129558,2018-06-15
195,leave,69564,2018-06-29
196,other,287781,2018-06-29
197,remain,132580,2018-06-29
198,leave,73810,2018-07-13
199,other,317321,2018-07-13
200,remain,150531,2018-07-13
201,leave,57577,2018-07-27
202,other,236408,2018-07-27
203,remain,124759,2018-07-27
204,leave,52578,2018-08-10
205,other,202292,2018-08-10
206,remain,114361,2018-08-10
207,leave,52778,2018-08-24
208,other,221312,2018-08-24
209,remain,108070,2018-08-24
210,leave,62131,2018-09-07
211,other,249236,2018-09-07
212,remain,121215,2018-09-07
213,leave,74942,2018-09-21
214,other,329309,2018-09-21
215,remain,163187,2018-09-21
216,leave,59199,2018-10-05
217,other,281582,2018-10-05
218,remain,110712,2018-10-05
219,leave,73297,2018-10-19
220,other,303180,2018-10-19
221,remain,149660,2018-10-19
222,leave,69819,2018-11-02
223,other,330672,2018-11-02
224,remain,149763,2018-11-02
225,leave,83085,2018-11-16
226,other,395799,2018-11-16
227,remain,151234,2018-11-16
228,leave,78555,2018-11-30
229,other,387327,2018-11-30
230,remain,172106,2018-11-30
231,leave,39352,2018-12-14
232,other,167489,2018-12-14
