,t_stance,size,Date
0,leave,2000,2016-01-01
1,other,6132,2016-01-01
2,remain,2167,2016-01-01
3,leave,2762,2016-01-15
4,other,9180,2016-01-15
5,remain,2927,2016-01-15
6,leave,4899,2016-01-29
7,other,16632,2016-01-29
8,remain,6141,2016-01-29
9,leave,15954,2016-02-12
10,other,56304,2016-02-12
11,remain,28040,2016-02-12
12,leave,13700,2016-02-26
13,other,48161,2016-02-26
14,remain,18533,2016-02-26
15,leave,9983,2016-03-11
16,other,33841,2016-03-11
17,remain,12304,2016-03-11
18,leave,8252,2016-03-25
19,other,28339,2016-03-25
20,remain,10534,2016-03-25
21,leave,11105,2016-04-08
22,other,35906,2016-04-08
23,remain,15938,2016-04-08
24,leave,10864,2016-04-22
25,other,35631,2016-04-22
26,remain,11794,2016-04-22
27,leave,17887,2016-05-06
28,other,51230,2016-05-06
29,remain,21585,2016-05-06
30,leave,23970,2016-05-20
31,other,66913,2016-05-20
32,remain,28794,2016-05-20
33,leave,47281,2016-06-03
34,other,148037,2016-06-03
35,remain,65290,2016-06-03
36,leave,261572,2016-06-17
37,other,972208,2016-06-17
38,remain,479890,2016-06-17
39,leave,56474,2016-07-01
40,other,320183,2016-07-01
41,remain,113024,2016-07-01
42,leave,23105,2016-07-15
43,other,142224,2016-07-15
44,remain,45995,2016-07-15
45,leave,13343,2016-07-29
46,other,73412,2016-07-29
47,remain,24179,2016-07-29
48,leave,12171,2016-08-12
49,other,63952,2016-08-12
50,remain,22003,2016-08-12
51,leave,16458,2016-08-26
52,other,85995,2016-08-26
53,remain,26322,2016-08-26
54,leave,14645,2016-09-09
55,other,73291,2016-09-09
56,remain,23483,2016-09-09
57,leave,18256,2016-09-23
58,other,94376,2016-09-23
59,remain,31679,2016-09-23
60,leave,25756,2016-10-07
61,other,125066,2016-10-07
62,remain,43818,2016-10-07
63,leave,22654,2016-10-21
64,other,115273,2016-10-21
65,remain,38859,2016-10-21
66,leave,34126,2016-11-04
67,other,168499,2016-11-04
68,remain,78286,2016-11-04
69,leave,16426,2016-11-18
70,other,86914,2016-11-18
71,remain,27850,2016-11-18
72,leave,16145,2016-12-02
73,other,86087,2016-12-02
74,remain,26602,2016-12-02
75,leave,9409,2016-12-16
76,other,48593,2016-12-16
77,remain,15437,2016-12-16
78,leave,11648,2016-12-30
79,other,60555,2016-12-30
80,remain,21121,2016-12-30
81,leave,20314,2017-01-13
82,other,122345,2017-01-13
83,remain,36582,2017-01-13
84,leave,14837,2017-01-27
85,other,87413,2017-01-27
86,remain,29808,2017-01-27
87,leave,11806,2017-02-10
88,other,66535,2017-02-10
89,remain,21732,2017-02-10
90,leave,12165,2017-02-24
91,other,67411,2017-02-24
92,remain,22966,2017-02-24
93,leave,16092,2017-03-10
94,other,94134,2017-03-10
95,remain,32683,2017-03-10
96,leave,28448,2017-03-24
97,other,133928,2017-03-24
98,remain,47580,2017-03-24
99,leave,14243,2017-04-07
100,other,65733,2017-04-07
101,remain,26413,2017-04-07
102,leave,15530,2017-04-21
103,other,92517,2017-04-21
104,remain,34070,2017-04-21
105,leave,15218,2017-05-05
106,other,75002,2017-05-05
107,remain,26983,2017-05-05
108,leave,14118,2017-05-19
109,other,72149,2017-05-19
110,remain,29379,2017-05-19
111,leave,23633,2017-06-02
112,other,113894,2017-06-02
113,remain,47429,2017-06-02
114,leave,21186,2017-06-16
115,other,103448,2017-06-16
